Iteration	Posterior	Likelihood	Prior	tree_length	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	shape[0]	shape[1]	shape[2]	shape[3]
5700	-9552.76	-9569.83	17.0742	1.166	0.0467657	0.0468998	0.0206416	0.0105535	0.790882	0.00777651	0.0156268	0.0321105	0.0718055	0.035563	0.0111351	0.0459599	0.00677951	0.0167544	0.00675053	0.0981653	20.0112	3.18431	22.2541
5710	-9554.41	-9570.62	16.2139	1.19378	0.0439979	0.047247	0.0219959	0.00984197	0.826027	0.00924371	0.00884703	0.0309881	0.060505	0.0410674	0.0146165	0.0452296	0.00982128	0.0167544	0.00759327	0.111098	5.62122	11.5363	39.9293
5720	-9555.84	-9574.74	18.8973	1.08202	0.0435579	0.0319095	0.0183701	0.0113284	0.727938	0.00882273	0.00917373	0.0401257	0.0605106	0.0355478	0.00595869	0.0454075	0.0161201	0.0180374	0.00920669	0.0880231	6.35262	8.89277	10.5501
5730	-9564.21	-9579.46	15.2468	1.20282	0.0546352	0.0460257	0.0274353	0.0141487	0.790882	0.00712049	0.00997937	0.0406848	0.0670827	0.0552155	0.00831089	0.0432219	0.0131285	0.0177883	0.0071631	0.101769	14.1703	5.4355	55.0247
5740	-9566.06	-9581.28	15.216	1.18581	0.0420932	0.0390041	0.0301288	0.00617584	0.814802	0.00788226	0.00845533	0.0406848	0.0613405	0.049547	0.0107637	0.0301646	0.0200992	0.0166887	0.00798387	0.109707	29.7737	42.6055	6.25981
5750	-9555.44	-9571.24	15.7984	1.20483	0.044179	0.0388901	0.0205842	0.0106149	0.840922	0.00739222	0.0110384	0.0409079	0.0616322	0.0322858	0.0088929	0.0341984	0.0224375	0.0231959	0.00765982	0.0961235	9.51285	14.6134	39.0763
5760	-9562.79	-9578.02	15.2314	1.1902	0.0449688	0.0398131	0.0295934	0.010839	0.830426	0.0125279	0.010947	0.0336018	0.0595494	0.038378	0.0134993	0.0348371	0.00839591	0.0131455	0.00968189	0.0901544	6.43915	5.34293	65.6899
5770	-9563.27	-9578.21	14.9438	1.28172	0.0520745	0.0370173	0.0258799	0.00631631	0.894199	0.0100968	0.00649621	0.0434205	0.0685616	0.0437453	0.0104913	0.0421021	0.010843	0.0236695	0.006803	0.0762849	3.22107	6.84141	54.8743
5780	-9552.72	-9570.63	17.9077	1.15059	0.0498339	0.0395046	0.0255502	0.00776627	0.782722	0.00811807	0.0116925	0.0397522	0.0661195	0.035643	0.00574632	0.0421021	0.00693787	0.0250128	0.00408868	0.0961264	4.22975	13.1013	14.532
5790	-9555.22	-9571.64	16.4273	1.28401	0.0463756	0.0347439	0.0188049	0.011125	0.916501	0.0130945	0.00925022	0.0354839	0.0682018	0.0396054	0.00852222	0.0451944	0.007926	0.0212632	0.00792331	0.0944922	3.86968	9.37697	21.5413
5800	-9566	-9584	17.997	1.19812	0.0559644	0.0365833	0.0162112	0.0196012	0.818913	0.0134569	0.010149	0.0258332	0.0616978	0.0475449	0.00984847	0.0514367	0.0129666	0.0156268	0.00229071	0.0908958	3.09917	4.83274	12.6439
5810	-9565.09	-9580.8	15.7132	1.24532	0.047519	0.0368943	0.0299385	0.0106768	0.881685	0.00884207	0.0104503	0.0311568	0.0563784	0.0394072	0.00978913	0.0514367	0.0010836	0.0220708	0.00799156	0.0674009	21.679	7.13566	28.0217
5820	-9561.24	-9577.87	16.6316	1.23456	0.0525794	0.0462801	0.020072	0.0106503	0.857511	0.0125892	0.00629072	0.037118	0.0600726	0.039565	0.0115248	0.0492585	0.00117699	0.019543	0.010331	0.0932523	20.7239	6.68172	13.1891
5830	-9570.52	-9586.12	15.5986	1.12814	0.0445825	0.0376607	0.0336252	0.00700926	0.759288	0.00897204	0.0132741	0.0321572	0.0601682	0.039565	0.00834906	0.05416	0.000474837	0.018179	0.0106705	0.102857	66.546	4.60059	11.3841
5840	-9555.93	-9573.57	17.6431	1.18478	0.0462747	0.0366004	0.0278199	0.0141934	0.803668	0.0116232	0.0115884	0.0376604	0.0706644	0.039565	0.0141174	0.0460489	0.00133806	0.0182798	0.00533744	0.0999781	8.09695	8.84109	13.3759
5850	-9558.84	-9577.14	18.3073	1.05795	0.0469878	0.0427206	0.0203372	0.0107597	0.701742	0.00846963	0.00976125	0.0373589	0.0691552	0.0362583	0.00295552	0.0485289	0.00182304	0.0141129	0.00697462	0.125474	8.78853	2.53632	31.0463
5860	-9562.09	-9579	16.913	1.2073	0.0423284	0.0363656	0.0322741	0.0117526	0.836245	0.0107966	0.00543769	0.0418799	0.0626555	0.0420561	0.00945036	0.0586293	3.76222e-05	0.0125065	0.00488925	0.100326	6.59103	17.947	15.8727
5870	-9559.36	-9576.45	17.0862	1.27204	0.0439521	0.0510267	0.0233605	0.0117526	0.87629	0.00902237	0.0112655	0.0298642	0.0818843	0.0449159	0.0081711	0.0545789	0.00176279	0.0146705	0.00951949	0.0974437	2.93635	15.1636	5.90311
5880	-9552.68	-9569.94	17.2575	1.21434	0.0371364	0.046132	0.0239116	0.00890057	0.832563	0.0106506	0.0108621	0.0484611	0.0619625	0.0386309	0.00985567	0.055439	0.00380292	0.0156898	0.0103472	0.0973959	15.6104	5.80527	10.6994
5890	-9565.75	-9580.26	14.5075	1.28027	0.0584042	0.0397406	0.0259522	0.0112017	0.873823	0.0140668	0.00678493	0.0400768	0.0675179	0.0436573	0.00531562	0.0600424	0.00219286	0.0215003	0.00999144	0.120269	11.2144	11.1973	51.4968
5900	-9559.38	-9576.54	17.1583	1.18649	0.0408053	0.0317877	0.0244241	0.0108253	0.814408	0.0143381	0.00963551	0.032581	0.0784888	0.0428082	0.0148406	0.0304789	0.0167182	0.018724	0.00562726	0.109195	8.38134	12.9975	18.2802
5910	-9559.23	-9575.72	16.4832	1.10252	0.0428048	0.0461445	0.0243045	0.0167102	0.717856	0.0117687	0.00587804	0.0440296	0.0745091	0.0375809	0.00918438	0.0299859	0.0184138	0.0174217	0.00593332	0.0982345	10.9703	24.2206	34.7742
5920	-9558.2	-9572.57	14.373	1.18814	0.0483703	0.0439634	0.0188142	0.0132767	0.798355	0.0104546	0.0108833	0.0361709	0.0752423	0.0495365	0.0125364	0.0303017	0.0204851	0.0174217	0.00232987	0.0849833	36.1555	28.4273	30.475
5930	-9556.72	-9574.29	17.5659	1.22174	0.0562076	0.0478905	0.0211468	0.0142771	0.808862	0.0148613	0.0110059	0.0378313	0.0696027	0.0512402	0.00965393	0.0327584	0.0265649	0.0139327	0.00590182	0.105305	5.79163	10.101	8.56796
5940	-9568.23	-9582.69	14.4629	1.12308	0.0412082	0.0362673	0.0202289	0.0202079	0.777993	0.00811316	0.00973997	0.032409	0.0599647	0.0382684	0.013966	0.0308888	0.015893	0.0158671	0.00206744	0.0919228	10.2948	44.0694	51.9007
5950	-9557.15	-9575.08	17.9307	1.14149	0.0504408	0.0497492	0.0188087	0.0162558	0.753374	0.0108428	0.0112012	0.0375943	0.0678312	0.0432157	0.00892468	0.0425708	0.00911226	0.0158671	0.00569844	0.124471	11.9161	14.5584	6.72099
5960	-9560.1	-9578.22	18.115	1.16281	0.0510532	0.040798	0.0227747	0.0103981	0.786914	0.00662479	0.00935453	0.0395754	0.053719	0.041109	0.0092886	0.0438569	0.00908044	0.0253477	0.0129209	0.0927832	5.04548	12.2212	8.00947
5970	-9563.87	-9580.03	16.161	1.21521	0.0406894	0.0521025	0.0269468	0.0121958	0.81523	0.0164438	0.00880534	0.0421455	0.0607246	0.0501605	0.00847063	0.0332201	0.0210636	0.0191665	0.00784898	0.13411	13.5189	15.567	24.7488
5980	-9562.53	-9577.33	14.8018	1.19512	0.0575245	0.0349205	0.0229721	0.00693559	0.832714	0.0120692	0.00749327	0.0284328	0.0634353	0.0359821	0.0110612	0.0132889	0.0449579	0.0142121	0.00912062	0.0943494	9.8643	21.2698	53.9427
5990	-9558.01	-9575.97	17.9592	1.16465	0.0441076	0.0422221	0.0213455	0.0122935	0.806197	0.0146187	0.0104609	0.0346003	0.0633393	0.0340195	0.00988059	0.0232729	0.0220926	0.0170078	0.00919076	0.086031	6.17245	12.8934	8.96662
6000	-9562.47	-9574.16	11.6977	1.08399	0.0403648	0.0372681	0.0197551	0.014259	0.712757	0.00815542	0.0087904	0.0352279	0.0735115	0.0447239	0.00869221	0.032596	0.022348	0.0170078	0.00853392	0.102793	128.489	8.68581	32.2012
6010	-9565.73	-9580.82	15.0947	1.14332	0.0406044	0.0412605	0.0269924	0.0084229	0.770013	0.00935625	0.00938419	0.0317154	0.0517864	0.0489866	0.0156609	0.034295	0.022348	0.0223968	0.0100965	0.0936702	58.3536	2.17661	29.0504
6020	-9565.79	-9580.76	14.978	1.1856	0.0542615	0.0448934	0.0214495	0.0164584	0.813743	0.00737443	0.0136153	0.0337419	0.0636612	0.0282168	0.00854169	0.0257639	0.0287881	0.0194255	0.00566185	0.115291	28.9493	6.31136	48.1768
6030	-9562.73	-9580.05	17.3224	1.12181	0.0456222	0.0448934	0.016414	0.016046	0.759121	0.00766145	0.00858378	0.0362292	0.0658199	0.037169	0.012758	0.0316124	0.0120985	0.0175519	0.0102268	0.100003	16.1269	12.9698	20.2254
6040	-9555.21	-9571.21	16.0044	1.1714	0.0387018	0.0409638	0.0263638	0.00931778	0.807156	0.0109172	0.00953789	0.0360209	0.0642509	0.046632	0.0102227	0.0295513	0.0162517	0.0186833	0.00683255	0.10615	8.24761	12.4935	45.0169
6050	-9560.68	-9578.96	18.2799	1.19517	0.0355644	0.0428156	0.0256278	0.0116271	0.84718	0.0126661	0.00915021	0.0404477	0.0529095	0.0352125	0.0102227	0.0271126	0.0165078	0.0223406	0.00578097	0.0620805	2.23784	2.57689	10.7247
6060	-9561.72	-9579.46	17.7369	1.18048	0.0605358	0.040208	0.0248794	0.00904963	0.800415	0.00964688	0.00721001	0.0314326	0.0663258	0.0393005	0.00712706	0.0314884	0.0241849	0.0173895	0.0112892	0.0967863	9.6348	14.0453	5.6214
6070	-9558.09	-9576.11	18.0162	1.06794	0.0432842	0.0434185	0.0283862	0.00703343	0.690711	0.0124732	0.00584863	0.0325012	0.0676979	0.0417207	0.0119294	0.0318097	0.0244427	0.0170675	0.00961653	0.118352	16.4109	4.93226	24.8584
6080	-9557.24	-9574.64	17.3994	1.12309	0.049089	0.0371426	0.0280588	0.0119128	0.739545	0.0110084	0.0110383	0.0319158	0.0655023	0.0487617	0.00894017	0.0456272	0.0120825	0.0152965	0.00716471	0.115938	8.91141	4.50947	34.0908
6090	-9553.93	-9570.21	16.275	1.12342	0.0478865	0.039936	0.0217202	0.011987	0.740463	0.0110084	0.00928622	0.0395995	0.0751334	0.0455192	0.00806524	0.0296204	0.018409	0.0165868	0.00819528	0.117416	6.85325	28.8188	34.259
6100	-9567.15	-9582.43	15.2832	1.21882	0.047187	0.039936	0.0256199	0.0100385	0.823277	0.0100744	0.0115769	0.0488402	0.0755109	0.0395129	0.00540057	0.0281672	0.0264414	0.0168503	0.0103889	0.107591	7.8081	42.8778	20.0109
6110	-9562.97	-9580.4	17.4252	1.11473	0.0384053	0.0433627	0.0230321	0.0122255	0.761221	0.013455	0.00897241	0.0283178	0.0644032	0.0372426	0.00878878	0.0253844	0.0202197	0.0227529	0.00694722	0.104849	13.32	11.5132	23.8432
6120	-9566.53	-9582.26	15.7349	1.10924	0.0450515	0.0488153	0.0193081	0.0198964	0.726519	0.00728259	0.0108881	0.0322962	0.0719891	0.0436934	0.00880568	0.0255356	0.0227465	0.017664	0.0087502	0.0874997	62.6095	7.22429	13.7653
6130	-9556.92	-9572.61	15.6929	1.11478	0.0435712	0.0389305	0.0233299	0.0153079	0.735192	0.0105591	0.00784437	0.0401112	0.0689099	0.0356618	0.0123096	0.048271	0.00884085	0.019047	0.00689585	0.104651	49.8766	13.5428	19.8931
6140	-9562.98	-9572.6	9.61741	1.15863	0.0520751	0.0402082	0.0273798	0.0103475	0.772974	0.0123889	0.00945693	0.0390747	0.0696287	0.0380382	0.00846815	0.0435615	0.00828957	0.0179765	0.00876405	0.104737	10.1948	81.3577	104.5
6150	-9556.27	-9574.81	18.5368	1.06281	0.0479212	0.0365741	0.0206791	0.0103475	0.701288	0.0120818	0.0127547	0.0341061	0.0685825	0.0406815	0.00592304	0.0414801	0.0057919	0.0162625	0.00833179	0.102752	9.85036	9.94755	17.0332
6160	-9567.11	-9584.03	16.9183	1.12234	0.0457591	0.0504536	0.0248412	0.013839	0.727003	0.006905	0.00589917	0.034178	0.0764395	0.0406815	0.00884791	0.0484295	0.0137515	0.0163959	0.00891801	0.104809	14.3322	8.3194	34.6421
6170	-9558.56	-9575.07	16.5138	1.13084	0.0481153	0.0371809	0.0294806	0.00508373	0.775358	0.0102846	0.0111773	0.03849	0.0635743	0.0287208	0.0109138	0.051044	0.000107595	0.0163959	0.00491286	0.090964	41.5057	7.38688	14.8043
6180	-9562.26	-9579.23	16.9716	1.24574	0.0410838	0.0392588	0.0250369	0.00907999	0.902104	0.00868628	0.00625873	0.0371458	0.0521431	0.0361173	0.00694442	0.0604329	5.32144e-05	0.0189928	0.00240204	0.073274	1.57066	4.61925	25.389
6190	-9560.96	-9576.18	15.216	1.21278	0.0460705	0.0479507	0.0234685	0.0130247	0.829874	0.00818537	0.00855811	0.0382956	0.063784	0.0445591	0.0100909	0.0569669	6.1022e-05	0.0151085	0.00678188	0.0981552	6.60549	4.22518	62.427
6200	-9551.16	-9568.23	17.0624	1.16429	0.0455301	0.0432599	0.0248036	0.0108469	0.790137	0.00694834	0.00774016	0.0382956	0.0677031	0.0409206	0.0131948	0.0436139	0.00758271	0.015673	0.00804375	0.100818	5.64198	3.95955	36.4231
6210	-9557.99	-9572.53	14.5395	1.21369	0.0406626	0.0348508	0.0272623	0.00911225	0.827514	0.0105609	0.0104179	0.042531	0.0615202	0.0409206	0.00942925	0.0449322	0.0125358	0.0282594	0.0131821	0.10666	3.86918	44.9806	37.7464
6220	-9561.06	-9577.25	16.1898	1.15417	0.0405402	0.0363741	0.0212457	0.0130397	0.793428	0.00678795	0.00892216	0.0468059	0.0695134	0.0407787	0.00756335	0.0372502	0.0158322	0.012593	0.0034936	0.0725024	3.31947	8.79204	53.4177
6230	-9561.24	-9580.04	18.7992	1.13064	0.0453808	0.0357567	0.0245126	0.00762007	0.760291	0.0119188	0.00714858	0.0345979	0.0783655	0.0323355	0.00619138	0.0345054	0.0202514	0.0286813	0.00308234	0.135965	4.19663	9.81068	3.97765
6240	-9564.98	-9581.17	16.1909	1.14289	0.044358	0.0409188	0.0266694	0.0110896	0.757631	0.014331	0.00446594	0.0336526	0.0718942	0.0444163	0.00855661	0.0469577	0.00973924	0.0237438	0.00446584	0.0990872	43.0117	5.22462	19.4999
6250	-9572.73	-9587.76	15.0331	1.18421	0.0377252	0.028405	0.0250418	0.00774529	0.810739	0.00828522	0.00937624	0.0342106	0.062057	0.0493413	0.0135664	0.0427	0.0269707	0.0169871	0.0110635	0.103836	26.5516	9.44817	46.6244
6260	-9567.53	-9582.73	15.2078	1.10348	0.0454977	0.0440583	0.0147497	0.0129683	0.730777	0.0138722	0.0130945	0.0284646	0.0741387	0.0447723	0.00524856	0.0392892	0.0155003	0.0167271	0.00431702	0.0963499	6.92628	61.201	27.1571
6270	-9560.65	-9576.74	16.0841	1.19992	0.0501332	0.0383296	0.0246765	0.00979774	0.820506	0.00855856	0.0105884	0.0475528	0.0586106	0.0497257	0.00907377	0.0399034	0.0135866	0.0161725	0.00270741	0.104236	9.69482	38.1678	10.599
6280	-9554.05	-9571.69	17.6366	1.19258	0.044307	0.0274373	0.020461	0.0163418	0.82455	0.0108708	0.00864704	0.0437868	0.0646994	0.0416901	0.0113788	0.0464447	0.0103345	0.0179289	0.00369755	0.11415	2.86249	15.6233	10.3856
6290	-9559.64	-9574.48	14.846	1.13295	0.0437863	0.0399969	0.0173223	0.0107088	0.767284	0.00712473	0.00985809	0.0448169	0.0720248	0.0344108	0.00718863	0.0506928	0.00680982	0.0124636	0.00845852	0.0790777	78.3706	7.88723	10.3856
6300	-9556.37	-9571.52	15.1527	1.21427	0.0429911	0.0401051	0.0194129	0.0113601	0.836381	0.0126079	0.0091179	0.0401122	0.0662979	0.0339195	0.00972154	0.0390956	0.0234452	0.0193226	0.0103823	0.088275	5.65036	36.1442	32.441
6310	-9558.19	-9574.67	16.4765	1.14923	0.0571839	0.0362525	0.0221096	0.010111	0.764919	0.0114142	0.0135267	0.0344558	0.0646352	0.0398315	0.0105336	0.0373105	0.016305	0.0187643	0.0118743	0.114741	29.6943	19.8954	11.1529
6320	-9556.07	-9573.98	17.9102	1.13797	0.0420225	0.0398452	0.0209309	0.0107453	0.788497	0.00757985	0.00664992	0.0304069	0.0650076	0.0396148	0.00601888	0.0396378	0.0108261	0.0203687	0.00981937	0.105489	12.0723	5.67122	16.5856
6330	-9562.67	-9580.05	17.379	1.24645	0.0524932	0.0414969	0.0238021	0.0148049	0.859746	0.00963509	0.00896653	0.0420617	0.0681574	0.0297292	0.00835467	0.0446514	0.0151162	0.0172883	0.0101437	0.0945893	7.23922	7.05258	8.97654
6340	-9561.29	-9579.18	17.8969	1.25569	0.0477779	0.0468949	0.0220754	0.0138284	0.851613	0.010541	0.0126903	0.0362996	0.0686271	0.0449006	0.00771883	0.046132	0.0151162	0.0234671	0.00801116	0.100042	3.40345	3.05476	4.59617
6350	-9557.67	-9575.32	17.6475	1.15827	0.0484203	0.0381109	0.022955	0.0145522	0.792598	0.00845635	0.00544646	0.0366973	0.0627251	0.0443089	0.00523319	0.0293245	0.0236509	0.0116135	0.0141738	0.0755166	16.7079	6.08648	12.758
6360	-9562.2	-9580.14	17.9363	1.14619	0.0464211	0.0472281	0.0237049	0.0082472	0.767987	0.00930639	0.00839822	0.0364748	0.0673925	0.0389369	0.00653307	0.0279449	0.0168954	0.0217514	0.0189637	0.112231	1.96252	7.08964	23.105
6370	-9571.2	-9589.12	17.9249	1.12437	0.0444528	0.028647	0.0202975	0.0120085	0.773118	0.00990319	0.00700899	0.0367065	0.0590634	0.0475022	0.00893822	0.039998	0.0157885	0.0103633	0.0105739	0.118283	16.5707	2.98994	17.1818
6380	-9555.91	-9571.44	15.5276	1.08494	0.0397244	0.0362046	0.022405	0.0105252	0.743047	0.0110014	0.00924236	0.0333675	0.0645602	0.0358404	0.00733197	0.0337095	0.0130971	0.0173403	0.00754373	0.105163	20.3663	4.63594	67.5839
6390	-9560.3	-9574.73	14.4242	1.11947	0.0482866	0.0410852	0.0243512	0.00716324	0.743182	0.0124202	0.0108581	0.0294673	0.0673554	0.0371295	0.00744781	0.0244532	0.030054	0.0178481	0.018369	0.111741	24.0819	73.4743	10.1852
6400	-9557.11	-9574.43	17.3165	1.11432	0.0494267	0.0369046	0.0238646	0.0155322	0.732828	0.00884869	0.00827653	0.0423996	0.0778774	0.035563	0.00548203	0.0271291	0.0219304	0.0158838	0.0123778	0.0948635	11.9458	28.8794	10.1179
6410	-9555.17	-9571.93	16.7588	1.13846	0.0387731	0.0530816	0.025423	0.010484	0.761503	0.00819088	0.00827653	0.0407865	0.0635566	0.0384118	0.007219	0.033262	0.0219304	0.0172093	0.0103567	0.123073	25.8457	14.4817	16.912
6420	-9559.8	-9575.81	16.0095	1.10764	0.0424547	0.0390893	0.025737	0.00623073	0.742969	0.00776995	0.00827653	0.0441583	0.0615166	0.0392917	0.0209412	0.0287208	0.0149279	0.0179411	0.00761719	0.116049	19.8255	21.1162	37.4562
6430	-9557.61	-9574.1	16.4826	1.18527	0.0399926	0.0390948	0.0285016	0.0114183	0.835383	0.0134123	0.00712137	0.027147	0.0530883	0.0406288	0.00825772	0.0305349	0.0158896	0.0213234	0.0134747	0.109668	5.09026	4.41303	43.9141
6440	-9555.52	-9573.27	17.7557	1.13262	0.0430533	0.037916	0.0253063	0.0137976	0.755169	0.011733	0.0116782	0.0365887	0.073514	0.0411631	0.00346298	0.042141	0.00856145	0.0182257	0.0103074	0.109572	11.9831	10.2542	16.2481
6450	-9560.07	-9577.12	17.0567	1.18769	0.0543038	0.0474239	0.019694	0.0142453	0.796419	0.0136387	0.00868402	0.0400656	0.069053	0.0392892	0.00994281	0.0256412	0.0216296	0.0218388	0.00582151	0.109841	19.236	14.7444	7.46984
6460	-9575.18	-9591.81	16.6346	1.13041	0.0401692	0.0400005	0.0242349	0.00821125	0.775584	0.010112	0.00980008	0.0329421	0.0635451	0.0399489	0.00525483	0.038645	0.0198343	0.0146879	0.00743889	0.107658	9.48775	19.791	32.0709
6470	-9574.19	-9586.61	12.4168	1.19809	0.047387	0.0407562	0.0237424	0.013145	0.83472	0.0113658	0.00468379	0.0397329	0.0589983	0.0449855	0.00600338	0.0246104	0.020887	0.0193308	0.00774138	0.0973206	56.5742	7.1924	68.4148
6480	-9558.63	-9575.6	16.9728	1.25218	0.0478037	0.0471432	0.029899	0.00897341	0.843782	0.00918383	0.00611701	0.0380899	0.0791511	0.0538964	0.00663672	0.0317323	0.0239266	0.0144318	0.011416	0.106535	6.06724	5.12509	19.0412
6490	-9562.4	-9577.52	15.126	1.17752	0.0443169	0.0414571	0.0222907	0.0128474	0.801707	0.0137189	0.00761001	0.0378295	0.0655294	0.0418354	0.00557277	0.0265407	0.0284389	0.0190793	0.00875039	0.0923633	11.4566	13.5521	57.1057
6500	-9567.43	-9583.61	16.183	1.14633	0.0458382	0.0420294	0.0246651	0.00953955	0.758027	0.0149298	0.0162124	0.0504239	0.061579	0.0390908	0.00856794	0.0217947	0.0284389	0.0147329	0.0104591	0.0986468	6.57417	14.2148	46.419
6510	-9565.07	-9580.19	15.1208	1.10374	0.0458382	0.0360423	0.0240298	0.00946703	0.719692	0.0104968	0.00734152	0.0306749	0.0798882	0.0405498	0.00532345	0.0266599	0.0282688	0.0244734	0.0149951	0.13622	36.4779	24.6931	35.7606
6520	-9558.1	-9576.47	18.3672	1.13986	0.053199	0.0401601	0.0313829	0.0153502	0.744682	0.0108246	0.0114435	0.0395132	0.0654114	0.035404	0.0126002	0.0232462	0.0294114	0.0187399	0.00849547	0.108499	5.33116	11.4218	8.05455
6530	-9558.99	-9575.99	16.9938	1.10235	0.0383955	0.0391057	0.0233581	0.0107177	0.707579	0.0104432	0.0105386	0.0485727	0.0748046	0.0467478	0.0111266	0.0328913	0.0184619	0.0177009	0.0119102	0.0987322	24.7443	15.7114	19.3312
6540	-9562.18	-9579.21	17.0288	1.1802	0.054577	0.0428423	0.0205483	0.00820615	0.767103	0.0122654	0.0122063	0.0413699	0.0771227	0.0474772	0.0103665	0.0340022	0.025363	0.019805	0.00694535	0.131566	4.55694	19.5956	19.3312
6550	-9555.71	-9574.2	18.487	1.15141	0.0470688	0.0397879	0.0176866	0.0121512	0.795042	0.00910146	0.0141457	0.0349145	0.061776	0.0381623	0.00923193	0.0417939	0.011083	0.0116884	0.00778042	0.106386	8.38988	6.5491	5.16295
6560	-9558.82	-9575.44	16.6173	1.22245	0.0496172	0.0390307	0.0277246	0.00889838	0.830099	0.00996847	0.00938288	0.0489441	0.0709443	0.034958	0.00619775	0.0436824	0.00790144	0.025474	0.00963051	0.112856	12.969	16.3056	14.0069
6570	-9562.43	-9577.59	15.1629	1.33692	0.0477474	0.0505312	0.0315835	0.010653	0.943247	0.0118681	0.0111827	0.0409708	0.0575594	0.0321163	0.0113754	0.0461296	0.00641048	0.0206486	0.0148923	0.0980901	3.47504	9.94794	36.0691
6580	-9557.13	-9574.42	17.2844	1.20323	0.0406145	0.0356204	0.0315835	0.00687391	0.849939	0.0110679	0.00989388	0.0301545	0.0582671	0.0362584	0.00741582	0.0455124	0.00571172	0.0191864	0.0151346	0.0809402	5.3901	9.23673	19.1896
6590	-9550.55	-9568.26	17.7123	1.14849	0.0453819	0.0422317	0.0211371	0.00988416	0.765026	0.00909188	0.00989388	0.0389771	0.0700878	0.0437432	0.00626212	0.0485322	0.0112904	0.0203682	0.0065845	0.108244	6.30623	12.8292	17.0438
6600	-9547.92	-9565.13	17.208	1.20034	0.0463574	0.0464545	0.0268145	0.00862645	0.820463	0.0102415	0.00871232	0.0391552	0.0638511	0.0362779	0.00550599	0.0271514	0.0294241	0.0253288	0.00597444	0.107121	7.85156	11.6957	16.3505
6610	-9558.63	-9574.36	15.7339	1.18092	0.0378906	0.0464514	0.0277834	0.00995885	0.835489	0.0101112	0.00996498	0.0296067	0.0561717	0.0336548	0.0100131	0.0234214	0.020139	0.0194328	0.0108296	0.0857932	11.6991	21.4909	36.094
6620	-9557.43	-9572.9	15.4698	1.28051	0.0439329	0.0367982	0.0256675	0.00810699	0.899647	0.0119657	0.0085278	0.034432	0.0720415	0.0366192	0.00900238	0.0234099	0.0293168	0.0290784	0.0119622	0.0862886	3.33348	7.66835	43.6464
6630	-9562.88	-9574.25	11.3667	1.27666	0.053853	0.0433734	0.0224913	0.00970725	0.893866	0.00890124	0.00851046	0.0390303	0.0653917	0.0401669	0.00951914	0.0294851	0.0285205	0.0130503	0.0107897	0.0900079	3.97897	78.9023	54.5953
6640	-9565.05	-9581.64	16.5934	1.2911	0.0519722	0.0402561	0.0252876	0.00857397	0.91402	0.00563018	0.0100397	0.0456086	0.0662862	0.0394533	0.00491581	0.029794	0.0194954	0.0189825	0.0107897	0.05865	15.3846	5.67389	9.02523
6650	-9550.11	-9568.69	18.5808	1.14276	0.0442197	0.0434525	0.0226136	0.00740928	0.783602	0.00839948	0.0105485	0.0299518	0.06175	0.0347732	0.00840774	0.0368743	0.0188035	0.0226822	0.00927376	0.102377	5.5323	5.80436	8.62462
6660	-9567.37	-9582.36	14.992	1.10629	0.0483345	0.0368498	0.0234078	0.014696	0.74737	0.0094917	0.00681165	0.0246907	0.0581937	0.0402598	0.00621362	0.0421553	0.0205677	0.0143061	0.0129436	0.103025	9.96789	13.339	75.7247
6670	-9561.29	-9577.65	16.3597	1.17214	0.0584067	0.0414425	0.0218392	0.0126296	0.768375	0.0113503	0.0124607	0.0339307	0.0730914	0.0410666	0.00846515	0.0488432	0.00576901	0.0227364	0.0117346	0.119504	42.7082	10.1637	5.61753
6680	-9549.56	-9567.58	18.0205	1.12884	0.0525215	0.0357032	0.0227094	0.00867668	0.761082	0.00597388	0.0119319	0.0347679	0.0667029	0.0418446	0.00562699	0.0457628	0.00904646	0.0167001	0.0097874	0.11769	3.1007	8.86948	21.9656
6690	-9550.64	-9568.99	18.346	1.0902	0.052846	0.0372515	0.0231442	0.00821903	0.712067	0.00947086	0.00838709	0.0411603	0.0739677	0.0425521	0.0076938	0.0392781	0.0120941	0.0167001	0.00537192	0.0920525	8.89065	13.1389	13.1504
6700	-9557.05	-9574.34	17.2912	1.1584	0.0439444	0.0326104	0.0225554	0.0082374	0.795424	0.0119276	0.00823764	0.0290739	0.0766306	0.0424693	0.00997273	0.0285878	0.0167136	0.0218267	0.0101871	0.0860092	12.4169	20.4281	9.79649
6710	-9555.99	-9573.84	17.8551	1.13197	0.0453632	0.0379062	0.0244722	0.00860125	0.770184	0.0120881	0.00682866	0.0347524	0.062795	0.0468055	0.00885316	0.0288073	0.0160378	0.0152195	0.0132531	0.111354	4.38054	8.85685	23.3874
6720	-9557.22	-9574.58	17.368	1.16371	0.0499639	0.0456722	0.0203622	0.0152453	0.786351	0.0104922	0.0126957	0.0357989	0.0667565	0.0423373	0.0044198	0.0308714	0.0122283	0.0180077	0.0125071	0.0937754	2.72851	6.15399	31.1546
6730	-9566.64	-9582.72	16.0793	1.22772	0.0486538	0.035052	0.0225561	0.013536	0.849496	0.0130135	0.0126378	0.0326215	0.0661737	0.0335521	0.00953727	0.0508738	0.00864943	0.0225834	0.00878676	0.0902545	2.80124	17.3362	32.8727
