Iteration	Posterior	Likelihood	Prior	sf[0]	sf[1]	sf[2]	sf[3]	er[0]	er[1]	er[2]	er[3]	er[4]	er[5]	gamma_rates[0]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	shape	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	tree_length
150	-9889.38	-9900.77	11.3842	0.295655	0.182884	0.231141	0.29032	0.131816	0.23944	0.0468489	0.0617233	0.439528	0.0806428	0.0844165	0.385243	0.941375	2.58897	0.747812	0.0520178	0.0299383	0.545922	0.0354321	0.0127399	0.036613	0.00936419	0.00694127	0.0475559	0.035482	0.00879571	0.0149098	0.0229533	0.0139352	0.011347	0.883947
160	-9885.92	-9897.19	11.2715	0.280414	0.177883	0.239137	0.302567	0.13178	0.259306	0.0468359	0.0617062	0.439406	0.0609659	0.0547947	0.316776	0.885424	2.74301	0.608157	0.0632561	0.0223856	0.534058	0.0395224	0.014266	0.0379889	0.00758126	0.0140429	0.0457022	0.0334782	0.00507992	0.0253804	0.0298649	0.0147555	0.00854929	0.895912
170	-9889.2	-9900.79	11.5887	0.277305	0.186911	0.22508	0.310704	0.138039	0.271623	0.0490606	0.0646373	0.399187	0.0774523	0.106752	0.427585	0.970596	2.49507	0.852884	0.0538583	0.0238892	0.526139	0.0318004	0.00803709	0.0419575	0.0124887	0.00966733	0.0373327	0.0350287	0.0120192	0.0166968	0.0296766	0.0172667	0.00710715	0.862966
180	-9888.42	-9899.4	10.9745	0.293543	0.187843	0.217867	0.300747	0.118727	0.276882	0.0431883	0.0551332	0.437224	0.0688455	0.0677509	0.348921	0.913138	2.67019	0.669791	0.0633433	0.0222147	0.577411	0.0332786	0.0111465	0.0350853	0.0117025	0.00697957	0.0324815	0.0350256	0.0121947	0.0207758	0.0338909	0.023273	0.0065069	0.92531
190	-9895.14	-9906.2	11.0591	0.283598	0.185859	0.240391	0.290152	0.0954208	0.282611	0.0440819	0.0800537	0.396081	0.101751	0.0845452	0.385505	0.941568	2.58838	0.748414	0.0689076	0.0238324	0.539954	0.0395479	0.00895577	0.0436849	0.00662701	0.0129296	0.0439053	0.0417289	0.0121947	0.0132636	0.0369254	0.0147874	0.00921071	0.916455
200	-9883.36	-9895.23	11.8661	0.290495	0.192507	0.234254	0.282744	0.134482	0.266483	0.061854	0.036189	0.419956	0.0810367	0.0804424	0.377007	0.935241	2.60731	0.729244	0.0591218	0.0238324	0.487586	0.0364286	0.0118589	0.0369712	0.00692732	0.00808562	0.0454469	0.0329819	0.0101142	0.0186575	0.0299367	0.0188263	0.00907032	0.835846
210	-9892.94	-9904.4	11.4601	0.289206	0.17376	0.241662	0.295371	0.0944056	0.247838	0.0620036	0.0434311	0.471089	0.0812327	0.0814377	0.379093	0.936809	2.60266	0.733894	0.0660703	0.0213591	0.522493	0.0399352	0.00564687	0.0390742	0.0115329	0.00782467	0.0483511	0.0348279	0.00883204	0.012127	0.031026	0.0206703	0.00665275	0.876424
220	-9887.06	-9897.8	10.7385	0.285391	0.192479	0.233086	0.289044	0.116073	0.245336	0.0587344	0.053075	0.449832	0.0769496	0.0543666	0.315641	0.884395	2.7456	0.606091	0.0562221	0.0294862	0.582576	0.0364579	0.00935478	0.0425531	0.0151159	0.00827886	0.0503204	0.0393106	0.0105449	0.0179706	0.0328659	0.0117922	0.00637308	0.949223
230	-9881.29	-9892.25	10.9653	0.29024	0.18171	0.234094	0.293956	0.116604	0.246458	0.0442524	0.0533178	0.462066	0.0773015	0.0601444	0.330544	0.897627	2.71169	0.633794	0.062721	0.0228111	0.568181	0.0329855	0.0143849	0.0388	0.0107183	0.00850956	0.0483706	0.0389872	0.00905893	0.0167473	0.0351476	0.0101599	0.00881711	0.9264
240	-9886.61	-9898.85	12.2393	0.282697	0.193181	0.232353	0.291769	0.110816	0.264184	0.0587705	0.0637778	0.429497	0.0729554	0.10919	0.431859	0.973339	2.48561	0.864491	0.0563266	0.0254432	0.452869	0.0372989	0.00835111	0.0320131	0.0063839	0.00849307	0.0370595	0.0376761	0.00772877	0.0227019	0.0405281	0.0188514	0.00612585	0.79785
250	-9885.18	-9897.04	11.853	0.291942	0.190692	0.229358	0.288008	0.103227	0.23986	0.0547462	0.0594106	0.447369	0.0953866	0.0653634	0.343291	0.908478	2.68287	0.658537	0.0517541	0.0294352	0.495726	0.0372989	0.0106701	0.0337024	0.00594317	0.0115853	0.0476198	0.0314293	0.00901329	0.0204616	0.0244275	0.0224807	0.00596589	0.837513
260	-9886.26	-9897.78	11.5167	0.29186	0.191857	0.228356	0.287927	0.101688	0.260255	0.0539295	0.0585243	0.440696	0.0849082	0.0682911	0.350178	0.914168	2.66736	0.672333	0.055787	0.0218148	0.543551	0.0349509	0.00895941	0.0391864	0.0121076	0.0147537	0.0347169	0.032191	0.00976452	0.0110199	0.0246977	0.0209297	0.00664135	0.871072
270	-9887.91	-9899.7	11.7938	0.308756	0.182087	0.221072	0.288086	0.101688	0.260255	0.0539295	0.0585243	0.440696	0.0849082	0.0585842	0.326606	0.894189	2.72062	0.62635	0.0573895	0.0281923	0.50167	0.0337937	0.0108224	0.0321646	0.00472716	0.0107425	0.0356942	0.0347031	0.00903595	0.0207654	0.0352886	0.0188765	0.00972609	0.843593
280	-9888.09	-9899.41	11.3181	0.293378	0.189934	0.214562	0.302126	0.102007	0.26879	0.054099	0.0478486	0.44208	0.085175	0.0569478	0.322408	0.890478	2.73017	0.618515	0.0534577	0.0201093	0.552758	0.0355821	0.0101772	0.0377766	0.0150945	0.00820788	0.0479233	0.0294522	0.00794823	0.0170393	0.0307136	0.0198802	0.0050819	0.891202
290	-9892.89	-9904.31	11.4192	0.290292	0.199328	0.233852	0.276528	0.11696	0.280745	0.0625498	0.0553231	0.385941	0.0984803	0.0781226	0.372085	0.931502	2.61829	0.718403	0.0698415	0.0174612	0.490224	0.0483334	0.0130982	0.0435698	0.0108885	0.0132046	0.048383	0.0354694	0.0115553	0.0188281	0.0341459	0.0207277	0.00486412	0.880595
300	-9887.26	-9899.12	11.8627	0.284978	0.193756	0.222536	0.29873	0.108141	0.285644	0.0616017	0.0581826	0.420822	0.0656088	0.0772594	0.370231	0.930078	2.62243	0.714367	0.0541312	0.0290452	0.479671	0.0407342	0.00841091	0.0427823	0.00932499	0.00731752	0.0461735	0.0392736	0.0115553	0.0190514	0.0261923	0.0159726	0.00662913	0.836265
310	-9890.76	-9902.2	11.4434	0.301794	0.172323	0.240277	0.285605	0.133528	0.208551	0.0422232	0.06248	0.481329	0.0718894	0.0738545	0.362792	0.924288	2.63907	0.698437	0.0567795	0.0229162	0.543551	0.0357908	0.00816796	0.0279102	0.00948306	0.00774983	0.0390711	0.0375025	0.00573014	0.0187916	0.0318818	0.0223938	0.0105551	0.878274
320	-9887.95	-9899.11	11.1641	0.29608	0.183074	0.231226	0.289621	0.124572	0.225759	0.0443771	0.0499925	0.482543	0.0727564	0.072679	0.360176	0.92222	2.64492	0.692931	0.0580602	0.025083	0.541858	0.0351301	0.0138019	0.044193	0.00610302	0.00885822	0.0530205	0.0325145	0.00773072	0.0234709	0.0344682	0.0140698	0.00786691	0.906229
330	-9889.13	-9900.26	11.1267	0.30339	0.189495	0.219044	0.288071	0.105586	0.24277	0.0376136	0.0695923	0.451678	0.0927603	0.0461657	0.292794	0.862888	2.79815	0.565928	0.0652852	0.0237027	0.556843	0.0308954	0.0113651	0.0351639	0.00763342	0.0111435	0.0481618	0.0336417	0.0099139	0.0244074	0.0273401	0.0157843	0.00932277	0.910604
340	-9889.18	-9899.85	10.6761	0.28412	0.191516	0.225847	0.298517	0.123309	0.279024	0.0643114	0.0603868	0.391931	0.0810379	0.0661249	0.3451	0.909984	2.67879	0.66213	0.0621899	0.0244585	0.592698	0.0391418	0.0131305	0.038132	0.015133	0.0108152	0.043999	0.0366796	0.0104121	0.0192666	0.0243945	0.0166256	0.0081079	0.955184
350	-9885.02	-9896.4	11.3802	0.271815	0.186728	0.237956	0.3035	0.126931	0.290981	0.0492484	0.0621608	0.403445	0.0672335	0.0865902	0.389647	0.944593	2.57917	0.757973	0.0549082	0.0226639	0.540352	0.0416805	0.0100447	0.032026	0.00983977	0.0105488	0.0415779	0.0319646	0.00589607	0.0181093	0.0258329	0.028655	0.0101984	0.884298
360	-9890.27	-9902.44	12.1674	0.287912	0.193175	0.216748	0.302164	0.123312	0.284633	0.0470216	0.058884	0.402996	0.0831528	0.0561559	0.320352	0.888643	2.73485	0.614712	0.0624444	0.0205536	0.482575	0.0331481	0.0065291	0.0384281	0.0104784	0.0108307	0.0459954	0.0310669	0.00603499	0.0094827	0.0338781	0.0103207	0.00452486	0.806291
