Iteration	Posterior	Likelihood	Prior	tree_length	shape[0]	shape[1]	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]
240	-9641.88	-9652.71	10.8255	1.28769	0.0886498	2.75405	0.067993	0.0312551	0.0347664	0.0105709	0.00871487	0.905064	0.0308371	0.0563698	0.0115261	0.0173042	0.050389	0.00473135	0.0163785	0.0303899	0.0113984
250	-9635.93	-9646.79	10.8549	1.28154	0.0863146	3.39796	0.0653264	0.0316624	0.0416658	0.00743304	0.0121527	0.919438	0.0211281	0.0438163	0.0115261	0.0178976	0.0385604	0.0141191	0.00925428	0.0416433	0.0059167
260	-9638.16	-9650.09	11.9329	1.13374	0.11502	11.3711	0.067948	0.0350508	0.0359612	0.0129988	0.0123265	0.743861	0.023016	0.053889	0.0119549	0.0215789	0.0310382	0.0232688	0.0185536	0.0388233	0.00346575
270	-9642.54	-9654.26	11.7151	1.19184	0.0973145	4.12317	0.0596355	0.0381406	0.0409938	0.00776878	0.0080004	0.823551	0.0251302	0.044595	0.0129166	0.0250842	0.0316079	0.0205327	0.0138432	0.0299867	0.0100559
280	-9633.86	-9646.13	12.266	1.12588	0.093668	6.30141	0.0643584	0.0330881	0.0348521	0.00881224	0.0112578	0.746524	0.0259562	0.0478996	0.0129166	0.0202825	0.0342716	0.019875	0.014375	0.0427	0.00871224
290	-9637.24	-9649.17	11.9254	1.13784	0.108162	10.7067	0.0629921	0.0421303	0.0310664	0.00918968	0.0088003	0.767457	0.0307411	0.0530173	0.0081469	0.0135519	0.0298659	0.0253644	0.0121106	0.0329527	0.0104521
300	-9637.25	-9649.69	12.4342	1.05455	0.0959125	17.2019	0.0651963	0.0270209	0.0379128	0.00798262	0.00743925	0.710199	0.0211061	0.0428792	0.00915742	0.0187811	0.0268536	0.0228632	0.0121106	0.0342137	0.0108311
310	-9636.46	-9648.11	11.6465	1.20093	0.111742	3.66384	0.0651963	0.0365171	0.0353694	0.00951808	0.00977034	0.839323	0.0261336	0.0465029	0.0079793	0.0229332	0.0400209	0.0098848	0.00966388	0.0322929	0.00982078
320	-9638.97	-9650.59	11.6173	1.18009	0.101674	8.42492	0.063257	0.0264661	0.0339686	0.0129363	0.013758	0.818737	0.0266062	0.0499187	0.0114039	0.0210674	0.0313377	0.0189077	0.00953131	0.0343045	0.0078943
330	-9635.62	-9646.4	10.7777	1.27712	0.0935244	5.81969	0.0643012	0.0360501	0.0361282	0.0124898	0.00981963	0.906746	0.0225287	0.0483991	0.0124587	0.0171922	0.0369577	0.0135362	0.00606007	0.045702	0.00875019
340	-9644.63	-9655.17	10.5357	1.16776	0.126898	32.4978	0.0668358	0.0453178	0.0351324	0.00802598	0.0121514	0.77827	0.027703	0.0424307	0.0127933	0.0129236	0.0375991	0.0151027	0.0145118	0.0513259	0.00763415
