Iteration	Posterior	Likelihood	Prior	node_rates[1]	node_rates[2]	node_rates[3]	node_rates[4]	node_rates[5]	node_rates[6]	node_rates[7]	node_rates[8]	node_rates[9]	node_rates[10]	node_rates[11]	node_rates[12]	node_rates[13]	node_rates[14]	node_rates[15]	node_rates[16]	node_rates[17]	node_rates[18]	death_rate	turnover	diversification	birth_rate	root_time	tmrca_Ursidae	tmrca_UrsidaePinn	base_rate	nu	root_rate	mean_rt	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	sf[1]	sf[2]	sf[3]	sf[4]
100	-2738.24	-2742.29	4.04946	0.0733381	0.0444868	0.0668419	0.0983815	0.0656442	0.0593469	0.107249	0.109581	0.0913564	0.154553	0.0584234	0.0645676	0.0592264	0.0658294	0.0734054	0.0832073	0.118074	0.241547	0.0266393	0.536923	0.0229755	0.0496148	48.1037	18.1398	34.2966	0.00507833	1.59308	0.35002	0.0908366	0.000372606	0.000263345	0.000320108	0.000398153	0.000315028	0.000314639	0.0004836	0.000578052	0.000845296	0.00128119	0.000312294	0.000331099	0.000317537	0.00035354	0.000397665	0.000511085	0.000913135	0.00150209	0.0544179	0.329966	0.0378525	0.114806	0.418037	0.0449207	0.179656	0.329086	0.327758	0.163499
110	-2742.82	-2746.01	3.19096	0.0881943	0.0400785	0.0470305	0.0545155	0.0563272	0.0595437	0.177018	0.117409	0.135925	0.262013	0.0601436	0.0596346	0.0589409	0.0632248	0.0824187	0.121586	0.120694	0.163159	0.0220564	0.362398	0.038806	0.0608624	48.2394	17.9593	34.4176	0.00513132	3.1068	0.351816	0.0982143	0.000437735	0.00025405	0.000271887	0.000294176	0.000298824	0.000305771	0.000766118	0.000610891	0.000767348	0.00157488	0.00030731	0.000315215	0.000313436	0.000373672	0.000523408	0.000621608	0.00072827	0.00132125	0.032473	0.458662	0.0706738	0.0749932	0.336392	0.0268057	0.187863	0.315827	0.32338	0.17293
120	-2745.78	-2742.04	-3.74682	0.0306606	0.065612	0.065152	0.0898577	0.0795029	0.0434146	0.173311	0.0879848	0.0698718	0.533106	0.0723839	0.064355	0.0656064	0.0729621	0.0589151	0.0719767	0.0845326	0.194896	0.0721137	0.518747	0.0669016	0.139015	50.901	20.5176	41.3226	0.00527834	3.37518	0.219879	0.106894	0.000236405	0.000346307	0.000345093	0.000428183	0.000400855	0.000284422	0.000647354	0.000455302	0.000698767	0.00198725	0.000360877	0.000362403	0.000365706	0.000348046	0.000345446	0.000413054	0.000737459	0.00109466	0.11464	0.340137	0.0535121	0.0885961	0.343064	0.0600507	0.172175	0.34128	0.320569	0.165976
130	-2737.28	-2746.8	9.51641	0.056123	0.0659398	0.0613819	0.0896867	0.0690456	0.0627786	0.0981106	0.0471961	0.0510866	0.194518	0.0714615	0.0720735	0.0639743	0.0647371	0.0621549	0.0737691	0.111316	0.183039	0.0228724	0.374811	0.0381515	0.0610238	46.9244	21.4527	36.8816	0.00561509	1.89722	0.327322	0.0832441	0.000332071	0.00036474	0.000351943	0.000452431	0.00039448	0.000378604	0.00048256	0.000445031	0.000657319	0.00146509	0.000402981	0.000384102	0.000361363	0.000356255	0.000381613	0.000519636	0.000826417	0.00143286	0.0954571	0.367774	0.0775906	0.0885284	0.265264	0.105386	0.168022	0.331825	0.339171	0.160982
140	-2746.49	-2749.01	2.51846	0.0798111	0.0685895	0.0851077	0.0734121	0.0617934	0.046747	0.110538	0.0732512	0.0783695	0.437192	0.0736794	0.077129	0.0649861	0.0770966	0.0805951	0.117386	0.109561	0.126252	0.0306114	0.493501	0.0314176	0.062029	51.316	17.457	43.0254	0.00529827	1.51684	0.216139	0.102305	0.000424938	0.00035386	0.000397619	0.000389665	0.000358886	0.000328165	0.000603802	0.000484294	0.000542071	0.00173076	0.000399512	0.000408565	0.000376396	0.000417747	0.00052448	0.000601214	0.000624702	0.000907041	0.0440557	0.344918	0.093906	0.087937	0.29569	0.133493	0.167553	0.330899	0.316525	0.185024
150	-2740.73	-2743.49	2.75912	0.153387	0.0696304	0.0734362	0.0605584	0.065171	0.0649593	0.112413	0.0752887	0.112244	0.497383	0.062959	0.0657103	0.0812564	0.0748388	0.0735763	0.099913	0.105416	0.193378	0.0388594	0.459915	0.0456331	0.0844925	48.3805	18.6271	36.6725	0.00584017	2.31144	0.196512	0.113418	0.000662753	0.000440603	0.000451716	0.000360682	0.000374151	0.000381567	0.00062001	0.000527674	0.000892442	0.00202623	0.000375726	0.000410415	0.000455812	0.000433385	0.000506604	0.000599579	0.000872505	0.00113851	0.0482361	0.461496	0.0213276	0.0720284	0.343635	0.0532764	0.176997	0.335411	0.307717	0.179875
160	-2734.34	-2742.47	8.12799	0.0608427	0.0712618	0.068606	0.0641493	0.0589826	0.0661965	0.0624156	0.0938819	0.186227	0.246882	0.0649276	0.0639969	0.0735162	0.0774351	0.0835059	0.102597	0.108606	0.168218	0.109089	0.803898	0.0266111	0.135701	49.3248	16.6551	35.4912	0.00515684	1.30974	0.415114	0.0956804	0.000372191	0.000373298	0.000366451	0.000332814	0.000319492	0.000335693	0.000425471	0.000522097	0.000913908	0.0017069	0.000332421	0.000364671	0.000389216	0.000414973	0.000479851	0.000544568	0.000713767	0.00150407	0.054277	0.372146	0.0239986	0.0923785	0.377987	0.0792132	0.172928	0.326582	0.326323	0.174168
170	-2740.64	-2742.46	1.81908	0.0541297	0.0911099	0.103658	0.0835376	0.0763189	0.0642043	0.105864	0.093878	0.126624	0.339165	0.0784446	0.0754508	0.0792097	0.0698975	0.0596198	0.0994162	0.088895	0.11472	0.0201133	0.433114	0.0263254	0.0464387	47.8292	17.8981	40.891	0.00540415	2.37108	0.303421	0.10023	0.000307359	0.000460216	0.000494121	0.000437688	0.000418182	0.000377358	0.000554683	0.000493866	0.000652126	0.00173631	0.000415836	0.000392741	0.000402898	0.000349965	0.000429727	0.000508831	0.000550181	0.00112985	0.0905825	0.376472	0.0242775	0.0934522	0.38238	0.0328357	0.174904	0.33934	0.312866	0.17289
180	-2738.62	-2743.44	4.82081	0.0929065	0.111784	0.0756724	0.0713788	0.0757265	0.105868	0.131102	0.113042	0.122614	0.301455	0.0812504	0.0803305	0.0908929	0.0849512	0.0920625	0.0930936	0.125117	0.185828	0.0200885	0.254652	0.0587975	0.078886	52.2321	21.2957	37.5392	0.00521181	0.809629	0.247009	0.11306	0.000482012	0.000528157	0.000434054	0.000397738	0.000409067	0.000485215	0.000584233	0.00062062	0.000803771	0.00142925	0.000421065	0.000430709	0.000458233	0.000461281	0.0004825	0.000568636	0.000810292	0.00112793	0.0645758	0.397031	0.0756212	0.0738039	0.356734	0.0322349	0.170384	0.318375	0.340216	0.171025
190	-2745.11	-2746.36	1.25715	0.115358	0.095513	0.104814	0.0564566	0.0804596	0.0710207	0.130173	0.106859	0.0636624	0.28487	0.0749428	0.0910346	0.0987745	0.0991535	0.103049	0.0944935	0.106618	0.220372	0.00459506	0.149122	0.0262191	0.0308141	52.4946	17.7938	39.8037	0.00522725	1.90075	0.254762	0.110979	0.000570836	0.000507795	0.000532105	0.000343429	0.000406164	0.000423552	0.000587194	0.000557949	0.00074236	0.0014104	0.000433803	0.000497081	0.00051731	0.000528482	0.000516303	0.000525631	0.000854631	0.00124182	0.0569434	0.374704	0.102786	0.102118	0.335023	0.028425	0.164743	0.317194	0.32963	0.188433
