Iteration	Posterior	Likelihood	Prior	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	diversification	turnover	birth_rate	death_rate	root_time	tmrca_Ursidae	tmrca_UrsidaePinn	base_rate	concentration	n_cats	mean_rt	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	sf[1]	sf[2]	sf[3]	sf[4]
120	-2793.35	-2740.64	-52.7127	0.105053	0.105053	0.61737	0.105053	0.105053	0.105053	0.105053	0.105053	0.105053	0.335166	0.105053	0.105053	0.105053	0.105053	0.105053	0.105053	0.105053	0.105053	0.0313276	0.422826	0.0542776	0.02295	51.1513	21.7773	49.719	0.00457095	0.753479	3	0.146299	0.0773066	0.4069	0.0746376	0.0555239	0.34241	0.043221	0.174533	0.337619	0.313459	0.174389
130	-2793.97	-2744.33	-49.6414	0.14931	0.14931	0.288051	0.14931	0.14931	0.14931	0.14931	0.14931	0.14931	0.354981	0.14931	0.14931	0.14931	0.14931	0.14931	0.14931	0.14931	0.14931	0.0694787	0.421612	0.120125	0.0506461	48.1043	19.2184	35.6916	0.00470516	0.753479	3	0.168444	0.054175	0.380749	0.0698407	0.0519554	0.402837	0.0404432	0.179228	0.318582	0.323109	0.179081
140	-2794.21	-2746.2	-48.0091	0.122816	0.122816	0.122816	0.122816	0.122816	0.54439	0.122816	0.122816	0.122816	0.122816	0.122816	0.122816	0.122816	0.122816	0.122816	0.122816	0.122816	0.5518	0.041582	0.269454	0.0569191	0.0153371	54.2987	17.5596	38.8316	0.00544812	0.753479	3	0.17007	0.0507711	0.376522	0.0652491	0.0634229	0.398365	0.04567	0.166178	0.326419	0.315822	0.191581
150	-2788.27	-2742.56	-45.7177	0.125877	0.125877	0.125877	0.125877	0.125877	0.125877	0.125877	0.125877	0.125877	0.396026	0.125877	0.125877	0.125877	0.219017	0.125877	0.125877	0.125877	0.125877	0.0476654	0.247478	0.0633409	0.0156755	45.7967	15.856	43.1728	0.00538896	0.753479	3	0.14606	0.0558928	0.402762	0.0691576	0.0637974	0.349844	0.0585464	0.174421	0.320878	0.331487	0.173214
160	-2801.19	-2741.5	-59.6877	0.360796	0.0949426	0.360796	0.0949426	0.208022	0.360796	0.0949426	0.0949426	0.0949426	0.360796	0.360796	0.0949426	0.208022	0.0949426	0.0949426	0.0949426	0.0949426	0.816361	0.0303428	0.680214	0.0948846	0.0645418	45.2142	19.2143	43.106	0.00553104	0.753479	4	0.221434	0.0612849	0.347917	0.0595995	0.10496	0.379001	0.047238	0.194122	0.31542	0.327919	0.162539
170	-2794.44	-2742.51	-51.9334	0.139384	0.139384	0.48275	0.139384	0.139384	0.139384	0.139384	0.139384	0.139384	0.33157	0.139384	0.139384	0.139384	0.139384	0.139384	0.139384	0.139384	0.33157	0.00930672	0.603455	0.0234695	0.0141628	48.5656	16.5502	40.8184	0.00502174	0.753479	3	0.179814	0.0539862	0.405811	0.0481629	0.101094	0.345448	0.0454981	0.199899	0.309731	0.317353	0.173017
180	-2792.58	-2743.97	-48.608	0.107906	0.107906	0.107906	0.107906	0.107906	0.107906	0.107906	0.107906	0.107906	0.107906	0.107906	0.107906	0.107906	0.107906	0.107906	0.107906	0.107906	0.757777	0.0385793	0.467071	0.0723909	0.0338117	58.4477	19.6263	41.9786	0.00542075	0.753479	2	0.14401	0.0597755	0.32319	0.10558	0.0730032	0.374732	0.0637192	0.183783	0.314359	0.324734	0.177124
190	-2792.02	-2748.98	-43.0443	0.136383	0.136383	0.136383	0.136383	0.136383	0.136383	0.136383	0.136383	0.136383	0.136383	0.136383	0.136383	0.136383	0.136383	0.136383	0.136383	0.136383	0.482711	0.0253441	0.803332	0.128867	0.103523	49.4166	17.8882	35.6989	0.00554222	0.753479	2	0.155624	0.0345232	0.431599	0.0339407	0.0865921	0.340347	0.0729982	0.18104	0.328391	0.327324	0.163245
200	-2806.42	-2748.49	-57.9312	0.09084	0.09084	0.365627	0.09084	0.365627	0.09084	0.372795	0.09084	0.09084	0.365627	0.708747	0.365627	0.09084	0.365627	0.09084	0.09084	0.09084	0.365627	0.0691251	0.385315	0.112456	0.0433311	46.1466	18.8411	44.2125	0.00526353	0.753479	4	0.232428	0.082855	0.384754	0.0409958	0.0778279	0.347958	0.0656098	0.182382	0.36314	0.293891	0.160587
210	-2789.49	-2744.25	-45.2392	0.132728	0.132728	0.132728	0.132728	0.132728	0.132728	0.132728	0.132728	0.132728	0.287561	0.132728	0.132728	0.132728	0.132728	0.132728	0.132728	0.132728	0.132728	0.0555943	0.622257	0.147175	0.0915806	52.4326	18.8779	34.7919	0.00503172	0.753479	2	0.14133	0.056574	0.351992	0.0417483	0.0792564	0.391665	0.0787647	0.193765	0.311417	0.324208	0.17061
