Iteration	Posterior	Likelihood	Prior	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[14]	br_lens[15]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[7]	br_lens[6]	br_lens[12]	br_lens[13]	er[1][0]	er[1][1]	er[1][2]	er[1][3]	er[1][4]	er[1][5]	er[2][0]	er[2][1]	er[2][2]	er[2][3]	er[2][4]	er[2][5]	sf[2][0]	sf[2][1]	sf[2][2]	sf[2][3]	sf[1][0]	sf[1][1]	sf[1][2]	sf[1][3]	norm_gamma_rates[2][0]	norm_gamma_rates[2][1]	norm_gamma_rates[2][2]	norm_gamma_rates[2][3]	shape[2]	shape[1]	norm_gamma_rates[1][0]	norm_gamma_rates[1][1]	norm_gamma_rates[1][2]	norm_gamma_rates[1][3]	shape[0]	shape[1]
1140	-9637.09	-9649.03	11.9407	0.0114959	0.0492895	0.0346234	0.0209213	0.00767634	0.0406717	0.0581606	0.0538102	0.00900314	0.748293	0.024669	0.0114959	0.0492895	0.0346234	0.0209213	0.0112641	0.0367348	0.0142289	0.0039277	0.0142289	0.0039277	0.00767634	0.0406717	0.0581606	0.0538102	0.00900314	0.024669	0.748293	0.0112641	0.0367348	0.0678428	0.370946	0.0137846	0.0483988	0.468937	0.0300906	0.100542	0.262535	0.0762817	0.0794747	0.383109	0.0980575	0.280306	0.185232	0.230569	0.303893	0.306094	0.181963	0.238081	0.273862	0.672972	0.889495	1.06683	1.3707	13.0204	0.103756	8.69153e-07	0.00138465	0.10399	3.89462	0.103756	13.0204
1150	-9636.65	-9648.04	11.3864	0.0133797	0.0492616	0.0369895	0.0131787	0.0143674	0.0389751	0.0628017	0.0444226	0.00887708	0.822445	0.0248155	0.0133797	0.0492616	0.0369895	0.0131787	0.011417	0.0365195	0.0198456	0.00621416	0.0198456	0.00621416	0.0143674	0.0389751	0.0628017	0.0444226	0.00887708	0.0248155	0.822445	0.011417	0.0365195	0.10854	0.406111	0.0162655	0.0251821	0.401657	0.0422438	0.116736	0.235328	0.0885676	0.0348729	0.433604	0.090892	0.265142	0.195074	0.232864	0.306919	0.301864	0.18493	0.223949	0.289257	0.600794	0.856307	1.07584	1.46706	8.35601	0.106111	1.16878e-06	0.00160531	0.110552	3.88784	0.106111	8.35601
1160	-9639.29	-9650.06	10.7723	0.0129134	0.0513565	0.0262506	0.0196407	0.0153264	0.0432684	0.0688242	0.0473569	0.00919008	0.86798	0.0259411	0.0129134	0.0513565	0.0262506	0.0196407	0.00777719	0.0344762	0.0184789	0.00788876	0.0184789	0.00788876	0.0153264	0.0432684	0.0688242	0.0473569	0.00919008	0.0259411	0.86798	0.00777719	0.0344762	0.107426	0.401943	0.0160986	0.0249236	0.407798	0.0418103	0.119307	0.236908	0.0612735	0.0626967	0.430589	0.0892263	0.286598	0.177985	0.231875	0.303542	0.298334	0.182768	0.234623	0.284274	0.631462	0.870883	1.07234	1.42532	9.99936	0.111158	2.11345e-06	0.0021576	0.124928	3.87291	0.111158	9.99936
1170	-9639.97	-9652.35	12.3821	0.0091232	0.0434952	0.0207245	0.0243191	0.00873582	0.030479	0.0501032	0.0456451	0.00575957	0.779535	0.0227854	0.0091232	0.0434952	0.0207245	0.0243191	0.00861054	0.0438366	0.0164219	0.00625233	0.0164219	0.00625233	0.00873582	0.030479	0.0501032	0.0456451	0.00575957	0.0227854	0.779535	0.00861054	0.0438366	0.0905463	0.36691	0.013569	0.033204	0.46053	0.0352406	0.1252	0.254274	0.0647557	0.0666874	0.394786	0.094297	0.292512	0.185366	0.227417	0.294704	0.280954	0.205439	0.220954	0.292653	0.538865	0.824509	1.08127	1.55536	5.99697	0.0877694	7.64358e-08	0.000411223	0.0628704	3.93672	0.0877694	5.99697
1180	-9639.49	-9651.08	11.5901	0.0108138	0.0453711	0.0287144	0.0243191	0.00972724	0.0431937	0.0533132	0.0346927	0.00696117	0.792251	0.0282254	0.0108138	0.0453711	0.0287144	0.0243191	0.00928535	0.0354179	0.0190582	0.00494519	0.0190582	0.00494519	0.00972724	0.0431937	0.0533132	0.0346927	0.00696117	0.0282254	0.792251	0.00928535	0.0354179	0.0717074	0.38865	0.00831032	0.0322847	0.471139	0.0279085	0.113958	0.231442	0.0822462	0.0606993	0.392771	0.118883	0.271711	0.193407	0.228847	0.306035	0.290987	0.18019	0.234226	0.294596	0.700079	0.900997	1.0628	1.33613	15.7205	0.110305	1.91948e-06	0.00205638	0.122472	3.87547	0.110305	15.7205
1190	-9642.78	-9652.9	10.1216	0.00749299	0.0499523	0.033994	0.0264177	0.0139171	0.0380714	0.0659257	0.0380746	0.0109682	0.772108	0.0342078	0.00749299	0.0499523	0.033994	0.0264177	0.0146351	0.0440843	0.0190582	0.00817622	0.0190582	0.00817622	0.0139171	0.0380714	0.0659257	0.0380746	0.0109682	0.0342078	0.772108	0.0146351	0.0440843	0.0827474	0.356755	0.00762832	0.0295229	0.486495	0.0368508	0.0980644	0.246029	0.0835617	0.0630065	0.414232	0.0951067	0.274462	0.179838	0.220614	0.325085	0.310677	0.192383	0.224252	0.272688	0.804249	0.940883	1.04446	1.21041	38.9231	0.118734	4.67813e-06	0.00320749	0.147146	3.84964	0.118734	38.9231
1200	-9642.77	-9654.09	11.3186	0.00953769	0.0500682	0.0427852	0.0142486	0.0150844	0.0330331	0.0622374	0.0326876	0.00870092	0.766658	0.03657	0.00953769	0.0500682	0.0427852	0.0142486	0.00835049	0.0425604	0.0176932	0.00717043	0.0176932	0.00717043	0.0150844	0.0330331	0.0622374	0.0326876	0.00870092	0.03657	0.766658	0.00835049	0.0425604	0.0946804	0.374528	0.0087284	0.0321032	0.447795	0.0421651	0.109999	0.26356	0.0828093	0.0430822	0.385043	0.115507	0.277252	0.195633	0.232557	0.294558	0.314172	0.189847	0.219088	0.276893	0.737368	0.916034	1.05673	1.28987	20.9175	0.123834	7.56065e-06	0.00407535	0.162406	3.83351	0.123834	20.9175
1210	-9637.3	-9648.59	11.2965	0.0103268	0.0458865	0.0271032	0.0275369	0.0153879	0.0399526	0.0715033	0.0392051	0.00830269	0.781277	0.0224347	0.0103268	0.0458865	0.0271032	0.0275369	0.0138531	0.0361641	0.0207298	0.00307401	0.0207298	0.00307401	0.0153879	0.0399526	0.0715033	0.0392051	0.00830269	0.0224347	0.781277	0.0138531	0.0361641	0.0875015	0.426731	0.0181083	0.0224611	0.413843	0.0313552	0.129394	0.239511	0.0818357	0.0549115	0.380517	0.113831	0.278723	0.194247	0.224902	0.302129	0.29341	0.199112	0.217072	0.290406	0.72053	0.909354	1.05954	1.31058	18.3088	0.104401	9.43808e-07	0.0014428	0.105775	3.89278	0.104401	18.3088
1220	-9642.49	-9653.3	10.8139	0.0133631	0.0527152	0.0340714	0.0210072	0.0146504	0.0406107	0.06469	0.0443448	0.0113343	0.801123	0.0196221	0.0133631	0.0527152	0.0340714	0.0210072	0.0104885	0.0472709	0.0182973	0.00784568	0.0182973	0.00784568	0.0146504	0.0406107	0.06469	0.0443448	0.0113343	0.0196221	0.801123	0.0104885	0.0472709	0.0783163	0.359389	0.0218903	0.0201033	0.492238	0.0280637	0.0906747	0.268222	0.0916456	0.0521947	0.409794	0.0874685	0.268928	0.200232	0.216999	0.313841	0.291262	0.177395	0.234199	0.297144	0.733126	0.914368	1.05745	1.29506	20.2129	0.114251	2.96068e-06	0.00255289	0.133918	3.86353	0.114251	20.2129
1230	-9641.25	-9653.13	11.8798	0.00724425	0.0475507	0.0316106	0.0207074	0.0103323	0.030136	0.0761989	0.0493931	0.0107745	0.758549	0.0235523	0.00724425	0.0475507	0.0316106	0.0207074	0.00735516	0.0377955	0.0167929	0.00815089	0.0167929	0.00815089	0.0103323	0.030136	0.0761989	0.0493931	0.0107745	0.0235523	0.758549	0.00735516	0.0377955	0.0685696	0.415369	0.00623823	0.0424247	0.43041	0.0369887	0.0785983	0.236837	0.0832138	0.0789185	0.427988	0.0944446	0.268928	0.200232	0.216999	0.313841	0.307281	0.187152	0.226275	0.279292	0.660223	0.88391	1.06861	1.38726	11.9716	0.094372	2.30548e-07	0.000713762	0.0790255	3.92026	0.094372	11.9716
1240	-9647.58	-9659.15	11.5747	0.00517923	0.0544022	0.0310104	0.0214254	0.0122233	0.0401274	0.0600144	0.037009	0.0103036	0.775576	0.0304065	0.00517923	0.0544022	0.0310104	0.0214254	0.010131	0.0401304	0.0170678	0.0104762	0.0170678	0.0104762	0.0122233	0.0401274	0.0600144	0.037009	0.0103036	0.0304065	0.775576	0.010131	0.0401304	0.0686172	0.475936	0.0293446	0.0410848	0.349197	0.0358205	0.0821307	0.23817	0.0927342	0.0845641	0.409302	0.0930989	0.276987	0.172666	0.224617	0.325729	0.303173	0.188005	0.227307	0.281514	0.685488	0.894867	1.06501	1.35464	14.179	0.120874	5.75031e-06	0.00355528	0.153525	3.84291	0.120874	14.179
1250	-9643.61	-9655.24	11.6269	0.0140252	0.061244	0.0415504	0.0127734	0.0114159	0.0370174	0.0653064	0.0362559	0.0116246	0.819101	0.024336	0.0140252	0.061244	0.0415504	0.0127734	0.00371665	0.0412854	0.0234928	0.00370693	0.0234928	0.00370693	0.0114159	0.0370174	0.0653064	0.0362559	0.0116246	0.024336	0.819101	0.00371665	0.0412854	0.0626405	0.422508	0.0189402	0.0323604	0.425267	0.0382839	0.111851	0.219837	0.0869141	0.0780547	0.427221	0.0761226	0.268068	0.177171	0.228931	0.32583	0.297099	0.194245	0.232782	0.275874	0.379462	0.724442	1.08183	1.81426	2.87632	0.107279	1.34718e-06	0.00172328	0.113842	3.88443	0.107279	2.87632
1260	-9648.02	-9659.95	11.9267	0.0102435	0.0495989	0.0251496	0.0121461	0.00976583	0.0374326	0.0599265	0.0404167	0.0103629	0.727331	0.0168706	0.0102435	0.0495989	0.0251496	0.0121461	0.00761857	0.0497735	0.0110524	0.00407208	0.0110524	0.00407208	0.00976583	0.0374326	0.0599265	0.0404167	0.0103629	0.0168706	0.727331	0.00761857	0.0497735	0.0819528	0.343787	0.0195945	0.0384361	0.478014	0.0382151	0.104648	0.222911	0.0978533	0.0799381	0.399708	0.094942	0.289483	0.17859	0.238716	0.293212	0.298401	0.189003	0.244166	0.26843	0.75318	0.922148	1.05398	1.27069	23.8776	0.127721	1.06234e-05	0.00482863	0.174146	3.82102	0.127721	23.8776
1270	-9633.67	-9645.63	11.9619	0.00807497	0.0463455	0.02361	0.0318365	0.0117218	0.0443447	0.0664739	0.0415484	0.0132499	0.768063	0.0191399	0.00807497	0.0463455	0.02361	0.0318365	0.00873807	0.0329481	0.0155695	0.00877693	0.0155695	0.00877693	0.0117218	0.0443447	0.0664739	0.0415484	0.0132499	0.0191399	0.768063	0.00873807	0.0329481	0.0720732	0.372535	0.0169481	0.033245	0.472145	0.0330539	0.108277	0.239954	0.0595481	0.0681479	0.421437	0.102636	0.291832	0.181815	0.228373	0.29798	0.306687	0.190396	0.229182	0.273735	0.622293	0.866602	1.07344	1.43767	9.46506	0.0992459	4.73936e-07	0.00102291	0.0917351	3.90724	0.0992459	9.46506
1280	-9638.5	-9649.84	11.3377	0.0106528	0.0404169	0.034373	0.0202883	0.00999576	0.0425183	0.0814092	0.037436	0.0070121	0.861253	0.0224856	0.0106528	0.0404169	0.034373	0.0202883	0.0130981	0.0358149	0.0107513	0.00774504	0.0107513	0.00774504	0.00999576	0.0425183	0.0814092	0.037436	0.0070121	0.0224856	0.861253	0.0130981	0.0358149	0.0695574	0.394076	0.0207679	0.0320845	0.451614	0.0319001	0.116559	0.258307	0.0641026	0.0353276	0.415218	0.110486	0.29189	0.171897	0.227558	0.308655	0.313119	0.187157	0.226292	0.273433	0.38871	0.731133	1.08248	1.79768	2.99288	0.094606	2.39068e-07	0.000726816	0.0796215	3.91965	0.094606	2.99288
1290	-9636.38	-9647.07	10.6881	0.00924427	0.0419041	0.0276062	0.0250233	0.0115838	0.0471265	0.0747048	0.0443294	0.00880579	0.918424	0.0232161	0.00924427	0.0419041	0.0276062	0.0250233	0.00712215	0.0322428	0.0219613	0.00429835	0.0219613	0.00429835	0.0115838	0.0471265	0.0747048	0.0443294	0.00880579	0.0232161	0.918424	0.00712215	0.0322428	0.0677133	0.392567	0.0202173	0.0303858	0.458063	0.0310544	0.0964021	0.215996	0.0579153	0.0659517	0.477802	0.0859326	0.278404	0.180409	0.230112	0.311074	0.304539	0.190044	0.220091	0.285327	0.42508	0.756252	1.08409	1.73458	3.50759	0.103797	8.7373e-07	0.00138829	0.104103	3.89451	0.103797	3.50759
1300	-9634.38	-9646.67	12.2861	0.00953434	0.050017	0.0399253	0.0143837	0.0122854	0.0315405	0.0644215	0.0503411	0.00838792	0.763144	0.0187089	0.00953434	0.050017	0.0399253	0.0143837	0.00599882	0.0370492	0.0180237	0.00546534	0.0180237	0.00546534	0.0122854	0.0315405	0.0644215	0.0503411	0.00838792	0.0187089	0.763144	0.00599882	0.0370492	0.0684483	0.387536	0.0236114	0.0307156	0.443573	0.0461153	0.0886338	0.244455	0.0838606	0.0612548	0.414682	0.107114	0.275806	0.188058	0.227965	0.308171	0.310602	0.193828	0.224473	0.271097	0.511745	0.80949	1.08286	1.5959	5.23988	0.0846379	4.26311e-08	0.000307193	0.0557042	3.94399	0.0846379	5.23988
1310	-9643.2	-9654.18	10.9825	0.012496	0.0600036	0.0399253	0.0120127	0.0125014	0.0273838	0.0742549	0.0439826	0.00920938	0.859554	0.0153033	0.012496	0.0600036	0.0399253	0.0120127	0.00539345	0.0488283	0.0174558	0.00729309	0.0174558	0.00729309	0.0125014	0.0273838	0.0742549	0.0439826	0.00920938	0.0153033	0.859554	0.00539345	0.0488283	0.0709885	0.401918	0.0244876	0.0268731	0.448575	0.0271573	0.117148	0.237108	0.0808165	0.0469226	0.436023	0.0819819	0.273118	0.201636	0.225743	0.299503	0.294909	0.191163	0.234913	0.279014	0.593403	0.852683	1.07661	1.47731	8.01557	0.10654	1.23176e-06	0.00164793	0.111756	3.88659	0.10654	8.01557
1320	-9651.19	-9661.29	10.0925	0.0185875	0.0607455	0.0406025	0.0120127	0.00568389	0.0341967	0.0705795	0.0372178	0.00920938	0.733835	0.0274353	0.0185875	0.0607455	0.0406025	0.0120127	0.0113074	0.0562024	0.0194634	0.0126314	0.0194634	0.0126314	0.00568389	0.0341967	0.0705795	0.0372178	0.00920938	0.0274353	0.733835	0.0113074	0.0562024	0.0672856	0.401135	0.0241651	0.0254713	0.456203	0.0257407	0.120592	0.255722	0.0752653	0.0436996	0.406073	0.0986479	0.28036	0.194224	0.217445	0.307971	0.307898	0.199583	0.221236	0.271283	0.817369	0.945457	1.04186	1.19532	44.9904	0.109759	1.80328e-06	0.00199328	0.120904	3.8771	0.109759	44.9904
1330	-9635.16	-9647.13	11.9701	0.0106594	0.0481469	0.0397913	0.0127111	0.0114139	0.0337928	0.0637491	0.0407555	0.0105528	0.800989	0.0178364	0.0106594	0.0481469	0.0397913	0.0127111	0.0112242	0.0385799	0.0153666	0.00977002	0.0153666	0.00977002	0.0114139	0.0337928	0.0637491	0.0407555	0.0105528	0.0178364	0.800989	0.0112242	0.0385799	0.0750753	0.398283	0.0243192	0.0341479	0.439453	0.0287207	0.118193	0.250635	0.0665908	0.0375133	0.430382	0.0966856	0.25927	0.179614	0.251476	0.309641	0.313146	0.198592	0.230972	0.25729	0.470879	0.785447	1.08423	1.65944	4.31514	0.105868	1.13424e-06	0.00158145	0.109869	3.88855	0.105868	4.31514
1340	-9636.74	-9648.01	11.2752	0.00954529	0.0522525	0.0372827	0.0113565	0.0117917	0.0456495	0.0574243	0.0420189	0.0112797	0.840307	0.023296	0.00954529	0.0522525	0.0372827	0.0113565	0.01047	0.0433102	0.0248952	0.00859255	0.0248952	0.00859255	0.0117917	0.0456495	0.0574243	0.0420189	0.0112797	0.023296	0.840307	0.01047	0.0433102	0.0700832	0.394358	0.0240795	0.0327893	0.447349	0.0313416	0.116203	0.246414	0.0602022	0.0588314	0.423135	0.0952148	0.272107	0.178184	0.229419	0.32029	0.320924	0.196121	0.228099	0.254856	0.517693	0.812845	1.08255	1.58691	5.39483	0.0972862	3.57815e-07	0.000888968	0.0865528	3.91256	0.0972862	5.39483
1350	-9644	-9655.63	11.6349	0.0127646	0.0319883	0.03882	0.00710935	0.0114232	0.0273855	0.0717581	0.032324	0.00799671	0.862777	0.0245123	0.0127646	0.0319883	0.03882	0.00710935	0.0124743	0.0325513	0.0174435	0.00615514	0.0174435	0.00615514	0.0114232	0.0273855	0.0717581	0.032324	0.00799671	0.0245123	0.862777	0.0124743	0.0325513	0.0547463	0.388181	0.0237023	0.0322757	0.470244	0.0308507	0.118103	0.237863	0.0611868	0.0560209	0.430055	0.0967719	0.254057	0.183827	0.236166	0.32595	0.311972	0.20116	0.207241	0.279627	0.484381	0.793588	1.08393	1.6381	4.59601	0.0998298	5.14236e-07	0.00106546	0.0932968	3.90564	0.0998298	4.59601
1360	-9642.43	-9654.42	11.9913	0.0145892	0.0583782	0.0408813	0.00478774	0.0113379	0.0310988	0.0613113	0.0408024	0.00986799	0.773781	0.0240123	0.0145892	0.0583782	0.0408813	0.00478774	0.00711408	0.0483222	0.0102222	0.00882783	0.0102222	0.00882783	0.0113379	0.0310988	0.0613113	0.0408024	0.00986799	0.0240123	0.773781	0.00711408	0.0483222	0.0624515	0.363132	0.0232811	0.0417002	0.470829	0.0386061	0.118932	0.239532	0.0406165	0.0577966	0.433073	0.110049	0.273844	0.188916	0.232721	0.304519	0.302516	0.193448	0.220492	0.283544	0.590641	0.851317	1.07689	1.48116	7.89314	0.105827	1.1286e-06	0.00157752	0.109756	3.88867	0.105827	7.89314
1370	-9636.62	-9647.88	11.2647	0.010158	0.0506523	0.0444175	0.0112401	0.00691599	0.038356	0.062227	0.0380935	0.0103985	0.796456	0.023819	0.010158	0.0506523	0.0444175	0.0112401	0.013266	0.0426771	0.016738	0.00912381	0.016738	0.00912381	0.00691599	0.038356	0.062227	0.0380935	0.0103985	0.023819	0.796456	0.013266	0.0426771	0.0664625	0.404923	0.0122828	0.0443784	0.430867	0.0410856	0.125013	0.259948	0.0960035	0.0526185	0.379047	0.0873703	0.273737	0.188842	0.23263	0.304791	0.318519	0.193947	0.202816	0.284717	0.707398	0.904019	1.06165	1.32693	16.5837	0.105671	1.107e-06	0.00156237	0.109318	3.88912	0.105671	16.5837
1380	-9643.06	-9654.91	11.8514	0.0144244	0.0399165	0.0363483	0.0254613	0.00742206	0.0308627	0.0657789	0.0371483	0.0103985	0.816665	0.0175066	0.0144244	0.0399165	0.0363483	0.0254613	0.00864783	0.0351878	0.017011	0.00767459	0.017011	0.00767459	0.00742206	0.0308627	0.0657789	0.0371483	0.0103985	0.0175066	0.816665	0.00864783	0.0351878	0.0647145	0.374651	0.01165	0.0396685	0.472526	0.0367894	0.121892	0.256107	0.0726786	0.0628507	0.384247	0.102225	0.30888	0.17608	0.21328	0.30176	0.307923	0.187495	0.211264	0.293318	0.527305	0.818193	1.08201	1.57249	5.65797	0.114406	3.0097e-06	0.0025739	0.134372	3.86305	0.114406	5.65797
1390	-9641.17	-9653.33	12.1592	0.0111444	0.0467612	0.0215725	0.0246335	0.0145161	0.0340365	0.059329	0.0336305	0.0092591	0.759701	0.027243	0.0111444	0.0467612	0.0215725	0.0246335	0.00864783	0.0414309	0.0197116	0.0150645	0.0197116	0.0150645	0.0145161	0.0340365	0.059329	0.0336305	0.0092591	0.027243	0.759701	0.00864783	0.0414309	0.0992447	0.381382	0.015473	0.0625762	0.398191	0.0431335	0.115203	0.278134	0.0721043	0.0519313	0.38121	0.101417	0.256443	0.190413	0.235189	0.317955	0.311998	0.181956	0.219235	0.286811	0.598415	0.855145	1.07609	1.47035	8.24433	0.127549	1.04687e-05	0.00479344	0.173623	3.82157	0.127549	8.24433
1400	-9642	-9653.43	11.4254	0.00959198	0.0441596	0.0266992	0.0221783	0.0162679	0.0289013	0.0721826	0.0362919	0.00836878	0.735775	0.0201382	0.00959198	0.0441596	0.0266992	0.0221783	0.00932856	0.0355778	0.0180431	0.00803119	0.0180431	0.00803119	0.0162679	0.0289013	0.0721826	0.0362919	0.00836878	0.0201382	0.735775	0.00932856	0.0355778	0.0975635	0.33275	0.0218147	0.0414668	0.48139	0.0250151	0.101808	0.251269	0.0637201	0.05836	0.432491	0.0923522	0.277448	0.203894	0.228681	0.289977	0.31847	0.182103	0.227972	0.271456	0.778281	0.931545	1.04942	1.24075	29.9634	0.112116	2.35076e-06	0.00227529	0.1277	3.87002	0.112116	29.9634
1410	-9637.39	-9649.4	12.0159	0.0107347	0.042676	0.0233885	0.0310217	0.0154249	0.0339496	0.0542176	0.0401236	0.00771408	0.809955	0.0217324	0.0107347	0.042676	0.0233885	0.0310217	0.0111876	0.0388984	0.0152132	0.00625412	0.0152132	0.00625412	0.0154249	0.0339496	0.0542176	0.0401236	0.00771408	0.0217324	0.809955	0.0111876	0.0388984	0.0507141	0.390102	0.0134174	0.0406589	0.482375	0.0227324	0.126812	0.249188	0.0616182	0.0418847	0.42891	0.0915875	0.272035	0.183387	0.237579	0.306998	0.31725	0.181405	0.230928	0.270417	0.453798	0.774854	1.0844	1.68694	3.98975	0.0841849	3.90374e-08	0.000293971	0.0546964	3.94501	0.0841849	3.98975
1420	-9637.83	-9649.2	11.3689	0.0122472	0.0505249	0.0222736	0.0290285	0.0113101	0.033737	0.0638122	0.0499825	0.0062692	0.858429	0.0182129	0.0122472	0.0505249	0.0222736	0.0290285	0.00824293	0.0408449	0.0208065	0.00561384	0.0208065	0.00561384	0.0113101	0.033737	0.0638122	0.0499825	0.0062692	0.0182129	0.858429	0.00824293	0.0408449	0.0583416	0.448775	0.0140999	0.0291682	0.423464	0.0261514	0.0962303	0.247391	0.0696936	0.0797457	0.42212	0.0848192	0.276789	0.184085	0.230961	0.308166	0.316704	0.199708	0.213637	0.269951	0.403036	0.741248	1.08329	1.77243	3.18431	0.0625888	1.33462e-10	1.72201e-05	0.0168425	3.98314	0.0625888	3.18431
1430	-9638.33	-9650.91	12.5769	0.00847711	0.057382	0.0279946	0.0290285	0.00929245	0.0322617	0.0642555	0.040965	0.0103506	0.712168	0.0272672	0.00847711	0.057382	0.0279946	0.0290285	0.0070733	0.0374376	0.0139769	0.00568725	0.0139769	0.00568725	0.00929245	0.0322617	0.0642555	0.040965	0.0103506	0.0272672	0.712168	0.0070733	0.0374376	0.0652163	0.433591	0.0151521	0.0326053	0.411724	0.041712	0.0919442	0.236372	0.0957769	0.0685783	0.387273	0.120055	0.28458	0.182493	0.221119	0.311808	0.29713	0.187365	0.2288	0.286705	0.604093	0.85791	1.07549	1.46251	8.51429	0.116208	3.631e-06	0.00282657	0.139668	3.8575	0.116208	8.51429
1440	-9644.74	-9655.5	10.7588	0.013011	0.0565375	0.0309039	0.0264502	0.0128396	0.0337825	0.0771607	0.0377112	0.00359486	0.877532	0.0274302	0.013011	0.0565375	0.0309039	0.0264502	0.00606304	0.046702	0.0212263	0.00629773	0.0212263	0.00629773	0.0128396	0.0337825	0.0771607	0.0377112	0.00359486	0.0274302	0.877532	0.00606304	0.046702	0.0747522	0.423587	0.0177874	0.0576148	0.397671	0.0285874	0.113709	0.243018	0.0817595	0.058683	0.421273	0.0815578	0.263294	0.206481	0.219998	0.310227	0.300196	0.186548	0.227802	0.285455	0.543797	0.827165	1.08092	1.54812	6.14969	0.116419	3.71006e-06	0.00285712	0.140289	3.85685	0.116419	6.14969
1450	-9643.69	-9656.04	12.3488	0.0100025	0.0438159	0.0278388	0.0264502	0.00858082	0.0310941	0.0645342	0.0382383	0.0154732	0.719991	0.0237017	0.0100025	0.0438159	0.0278388	0.0264502	0.0127254	0.0430832	0.0201923	0.0078759	0.0201923	0.0078759	0.00858082	0.0310941	0.0645342	0.0382383	0.0154732	0.0237017	0.719991	0.0127254	0.0430832	0.0479453	0.460663	0.018993	0.0489436	0.392365	0.0310896	0.105489	0.244079	0.0796282	0.0544409	0.386876	0.129486	0.294156	0.203715	0.214223	0.287906	0.297691	0.193637	0.22611	0.282561	0.648243	0.878557	1.07021	1.40299	11.0901	0.106528	1.23e-06	0.00164675	0.111723	3.88663	0.106528	11.0901
1460	-9643.93	-9656	12.0688	0.0128843	0.0439209	0.0212905	0.0223908	0.00985179	0.0430723	0.0650487	0.0491118	0.00633688	0.734435	0.0211001	0.0128843	0.0439209	0.0212905	0.0223908	0.0126414	0.0362731	0.025692	0.00894718	0.025692	0.00894718	0.00985179	0.0430723	0.0650487	0.0491118	0.00633688	0.0211001	0.734435	0.0126414	0.0362731	0.0793724	0.467081	0.0257673	0.0294964	0.351513	0.04677	0.106622	0.25005	0.0804831	0.0540884	0.377881	0.130876	0.265937	0.185632	0.243089	0.305342	0.306953	0.191036	0.213089	0.288922	0.670505	0.888423	1.06718	1.37389	12.8077	0.108337	1.52811e-06	0.00183517	0.116843	3.88132	0.108337	12.8077
1470	-9638.24	-9651.25	13.009	0.00797201	0.045276	0.0335835	0.0214809	0.0092958	0.0347198	0.0601638	0.0340784	0.00517663	0.683475	0.0218346	0.00797201	0.045276	0.0335835	0.0214809	0.0139967	0.0488421	0.021106	0.00716515	0.021106	0.00716515	0.0092958	0.0347198	0.0601638	0.0340784	0.00517663	0.0218346	0.683475	0.0139967	0.0488421	0.0655141	0.373464	0.0189739	0.0253213	0.481789	0.0349374	0.0987309	0.232489	0.0836193	0.0561961	0.426107	0.102857	0.265937	0.185632	0.243089	0.305342	0.299044	0.19265	0.216944	0.291362	0.567668	0.839711	1.07903	1.51359	6.96586	0.112517	2.45651e-06	0.00232581	0.128864	3.86881	0.112517	6.96586
1480	-9633.46	-9645.01	11.5555	0.00735704	0.0489697	0.0190381	0.0334875	0.0104786	0.0413199	0.0606055	0.0401983	0.0117406	0.791592	0.0254678	0.00735704	0.0489697	0.0190381	0.0334875	0.00966633	0.0347552	0.019377	0.0120114	0.019377	0.0120114	0.0104786	0.0413199	0.0606055	0.0401983	0.0117406	0.0254678	0.791592	0.00966633	0.0347552	0.0782238	0.392873	0.0213025	0.0284289	0.450046	0.0291256	0.105807	0.242977	0.0815948	0.0547038	0.414792	0.100126	0.272925	0.185895	0.245697	0.295484	0.299044	0.19265	0.216944	0.291362	0.6665	0.886674	1.06774	1.37908	12.4727	0.0955495	2.76247e-07	0.000781223	0.0820401	3.91718	0.0955495	12.4727
1490	-9633.93	-9645.75	11.8209	0.0114784	0.0451963	0.0357753	0.0144049	0.0104786	0.0401305	0.0676424	0.0325911	0.0104668	0.74722	0.0197949	0.0114784	0.0451963	0.0357753	0.0144049	0.0113574	0.041301	0.0145827	0.0122776	0.0145827	0.0122776	0.0104786	0.0401305	0.0676424	0.0325911	0.0104668	0.0197949	0.74722	0.0113574	0.041301	0.0852974	0.396501	0.0227302	0.0307728	0.432939	0.0317593	0.105786	0.232034	0.0804455	0.0580443	0.437515	0.0861757	0.280747	0.177319	0.244116	0.297819	0.301628	0.196194	0.218819	0.283358	0.713975	0.906705	1.0606	1.31872	17.4176	0.116667	3.80523e-06	0.00289345	0.141022	3.85608	0.116667	17.4176
