Iteration	Posterior	Likelihood	Prior	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[14]	br_lens[15]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[7]	br_lens[6]	br_lens[12]	br_lens[13]	er[1][0]	er[1][1]	er[1][2]	er[1][3]	er[1][4]	er[1][5]	er[2][0]	er[2][1]	er[2][2]	er[2][3]	er[2][4]	er[2][5]	sf[2][0]	sf[2][1]	sf[2][2]	sf[2][3]	sf[1][0]	sf[1][1]	sf[1][2]	sf[1][3]	norm_gamma_rates[2][0]	norm_gamma_rates[2][1]	norm_gamma_rates[2][2]	norm_gamma_rates[2][3]	shape[2]	shape[1]	norm_gamma_rates[1][0]	norm_gamma_rates[1][1]	norm_gamma_rates[1][2]	norm_gamma_rates[1][3]	shape[0]	shape[1]
100	-9645.77	-9658.08	12.3021	0.0121328	0.0471087	0.0435868	0.00448257	0.0157087	0.0520342	0.059548	0.0421894	0.00774398	0.709664	0.018259	0.0121328	0.0471087	0.0435868	0.00448257	0.0122394	0.0442733	0.0165129	0.0152927	0.0165129	0.0152927	0.0157087	0.0520342	0.059548	0.0421894	0.00774398	0.018259	0.709664	0.0122394	0.0442733	0.0707807	0.400324	0.0155711	0.0488449	0.434117	0.0303625	0.104172	0.257565	0.0828023	0.0602521	0.409464	0.0857453	0.267869	0.173457	0.25274	0.305935	0.297879	0.182456	0.236047	0.283618	0.640292	0.874947	1.07124	1.41352	10.5539	0.140865	2.91905e-05	0.00799123	0.214131	3.77785	0.140865	10.5539
110	-9638.33	-9649.78	11.4554	0.0107907	0.0518441	0.0382792	0.00481321	0.0118099	0.0478306	0.0693515	0.0587314	0.00972104	0.807707	0.0220045	0.0107907	0.0518441	0.0382792	0.00481321	0.0149379	0.0409297	0.0207412	0.0128544	0.0207412	0.0128544	0.0118099	0.0478306	0.0693515	0.0587314	0.00972104	0.0220045	0.807707	0.0149379	0.0409297	0.0911121	0.376641	0.0148188	0.0328452	0.44699	0.0375935	0.088227	0.254406	0.0940428	0.0717405	0.404443	0.0871405	0.276421	0.192916	0.223055	0.307608	0.319887	0.183016	0.2199	0.277197	0.404919	0.742556	1.08337	1.76915	3.21051	0.103805	8.74678e-07	0.00138904	0.104126	3.89448	0.103805	3.21051
120	-9635.42	-9647.34	11.9251	0.00977326	0.0447646	0.030528	0.00605305	0.00948481	0.0244329	0.0640321	0.0433485	0.00707247	0.808887	0.0289602	0.00977326	0.0447646	0.030528	0.00605305	0.0217562	0.0417314	0.0249378	0.00693478	0.0249378	0.00693478	0.00948481	0.0244329	0.0640321	0.0433485	0.00707247	0.0289602	0.808887	0.0217562	0.0417314	0.0800267	0.375848	0.0130158	0.0280983	0.469991	0.0330196	0.0929211	0.261831	0.0742139	0.0666857	0.409317	0.0950314	0.254442	0.190886	0.233146	0.321525	0.308169	0.194192	0.223878	0.273761	0.440624	0.766447	1.08435	1.70857	3.7592	0.0903521	1.20006e-07	0.000515147	0.0690302	3.93045	0.0903521	3.7592
130	-9632.91	-9644.82	11.9085	0.0153713	0.0513194	0.0451159	0.00496261	0.0119946	0.0297919	0.063037	0.0381062	0.0054989	0.787502	0.0242988	0.0153713	0.0513194	0.0451159	0.00496261	0.0116077	0.0407477	0.019272	0.0131642	0.019272	0.0131642	0.0119946	0.0297919	0.063037	0.0381062	0.0054989	0.0242988	0.787502	0.0116077	0.0407477	0.0965859	0.366875	0.019121	0.0335602	0.450182	0.0336752	0.102611	0.249446	0.0696075	0.0625465	0.418687	0.0971018	0.268225	0.18678	0.233398	0.311597	0.310158	0.195446	0.218867	0.275529	0.547347	0.829063	1.08066	1.54293	6.26278	0.0995912	4.97428e-07	0.00104792	0.0926577	3.90629	0.0995912	6.26278
140	-9645.83	-9657.59	11.7651	0.0132114	0.0405752	0.0498576	0.010859	0.0112634	0.0297919	0.0602559	0.036985	0.00974248	0.771834	0.0253413	0.0132114	0.0405752	0.0498576	0.010859	0.00878425	0.041861	0.0203041	0.0127517	0.0203041	0.0127517	0.0112634	0.0297919	0.0602559	0.036985	0.00974248	0.0253413	0.771834	0.00878425	0.041861	0.0866556	0.323218	0.0168456	0.0295666	0.511975	0.0317385	0.100354	0.223828	0.0767055	0.0641752	0.409477	0.12546	0.264181	0.181064	0.245731	0.309024	0.271182	0.19598	0.235887	0.296951	0.670661	0.88849	1.06716	1.37369	12.821	0.0839863	3.75478e-08	0.000288313	0.054257	3.94545	0.0839863	12.821
150	-9641.19	-9653.05	11.8636	0.0144989	0.0432691	0.0329337	0.0118653	0.00699475	0.0401641	0.0638104	0.0431828	0.010651	0.787201	0.0268914	0.0144989	0.0432691	0.0329337	0.0118653	0.0132334	0.0390238	0.0223481	0.00568802	0.0223481	0.00568802	0.00699475	0.0401641	0.0638104	0.0431828	0.010651	0.0268914	0.787201	0.0132334	0.0390238	0.0804275	0.453204	0.0162701	0.0285565	0.374662	0.0468798	0.113439	0.24611	0.0724693	0.0344558	0.442018	0.091508	0.288095	0.176216	0.23915	0.29654	0.308325	0.186464	0.211204	0.294007	0.573406	0.842651	1.07853	1.50542	7.18321	0.085295	4.83594e-08	0.000327162	0.0571792	3.94249	0.085295	7.18321
160	-9642.8	-9654.91	12.1029	0.00929865	0.0509643	0.0209048	0.0098896	0.0125103	0.0302278	0.0651867	0.0407292	0.00770301	0.74285	0.0281198	0.00929865	0.0509643	0.0209048	0.0098896	0.0241428	0.0417729	0.0148603	0.0138436	0.0148603	0.0138436	0.0125103	0.0302278	0.0651867	0.0407292	0.00770301	0.0281198	0.74285	0.0241428	0.0417729	0.056106	0.357452	0.01135	0.0336613	0.508727	0.0327032	0.0938088	0.244463	0.0810655	0.0598401	0.388353	0.132469	0.272156	0.193832	0.245745	0.288266	0.324829	0.173056	0.213248	0.288867	0.662281	0.884819	1.06833	1.38457	12.1328	0.100058	5.30776e-07	0.00108243	0.0939096	3.90501	0.100058	12.1328
170	-9641.21	-9652.34	11.1249	0.00823132	0.0526514	0.0138906	0.00959729	0.0127921	0.0370692	0.0602378	0.0354693	0.00844982	0.741484	0.0286828	0.00823132	0.0526514	0.0138906	0.00959729	0.0313467	0.0443323	0.0197388	0.0083741	0.0197388	0.0083741	0.0127921	0.0370692	0.0602378	0.0354693	0.00844982	0.0286828	0.741484	0.0313467	0.0443323	0.0736094	0.362851	0.0110013	0.0326273	0.4931	0.0268102	0.107299	0.216065	0.0672855	0.0691634	0.430236	0.109951	0.267763	0.188731	0.239608	0.303899	0.309535	0.171669	0.225467	0.293329	0.784505	0.933818	1.04825	1.23342	31.8158	0.107756	1.42635e-06	0.00177311	0.115193	3.88303	0.107756	31.8158
180	-9642.61	-9653.89	11.2856	0.00700124	0.0413254	0.0265844	0.00756156	0.00685796	0.0483827	0.0697904	0.0479544	0.00801176	0.847949	0.0287549	0.00700124	0.0413254	0.0265844	0.00756156	0.033024	0.0326677	0.0188859	0.0144126	0.0188859	0.0144126	0.00685796	0.0483827	0.0697904	0.0479544	0.00801176	0.0287549	0.847949	0.033024	0.0326677	0.0729751	0.430483	0.0154022	0.0380427	0.41345	0.0296473	0.108408	0.218295	0.0597564	0.0698782	0.439402	0.104261	0.277575	0.195646	0.248388	0.278391	0.314867	0.189097	0.214722	0.281314	0.407658	0.744448	1.0835	1.7644	3.24907	0.0966678	3.2667e-07	0.000849448	0.084937	3.91421	0.0966678	3.24907
190	-9637.12	-9648.9	11.7812	0.00817614	0.0457111	0.0320183	0.0108855	0.00519947	0.0373195	0.0643212	0.039189	0.00742581	0.817753	0.025839	0.00817614	0.0457111	0.0320183	0.0108855	0.0112333	0.0375674	0.014296	0.0111966	0.014296	0.0111966	0.00519947	0.0373195	0.0643212	0.039189	0.00742581	0.025839	0.817753	0.0112333	0.0375674	0.0687861	0.426243	0.014001	0.0382019	0.419752	0.0330163	0.112019	0.225565	0.066855	0.0579626	0.420992	0.116606	0.296895	0.181362	0.224081	0.297662	0.310238	0.18918	0.216689	0.283892	0.583168	0.84759	1.07762	1.49162	7.57425	0.0675446	6.77304e-10	3.87765e-05	0.0235914	3.97637	0.0675446	7.57425
