Iteration	Posterior	Likelihood	Prior	sf[0]	sf[1]	sf[2]	sf[3]	er[0]	er[1]	er[2]	er[3]	er[4]	er[5]	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	norm_gamma_rates[0]	norm_gamma_rates[1]	norm_gamma_rates[2]	norm_gamma_rates[3]	shape
100	-9891.54	-9903.45	11.9083	0.284996	0.187899	0.226571	0.300534	0.116843	0.249471	0.0526355	0.0526529	0.449327	0.0790713	0.0460494	0.0110416	0.0161246	0.45971	0.0135333	0.0615119	0.0460645	0.0407815	0.0107999	0.00637516	0.0313643	0.02815	0.0341266	0.00692538	0.0190378	0.0135333	0.0615119	0.0460645	0.0407815	0.0107999	0.00637516	0.0313643	0.02815	0.0341266	0.00692538	0.0190378	0.0460494	0.0110416	0.0161246	0.45971	0.0818062	0.379861	0.937384	2.60095	0.735616
110	-9881.27	-9893.53	12.2618	0.289922	0.189205	0.227268	0.293605	0.107072	0.275968	0.0580336	0.0479789	0.423766	0.0871805	0.030468	0.00987938	0.0227234	0.486845	0.00723163	0.0594294	0.0365662	0.0293192	0.00945816	0.00741216	0.0320947	0.0158129	0.0274737	0.00806458	0.0136317	0.00723163	0.0594294	0.0365662	0.0293192	0.00945816	0.00741216	0.0320947	0.0158129	0.0274737	0.00806458	0.0136317	0.030468	0.00987938	0.0227234	0.486845	0.0748824	0.365059	0.926066	2.63399	0.703249
120	-9886.48	-9898.36	11.8777	0.289958	0.197041	0.230707	0.282295	0.10809	0.251421	0.0654427	0.0623423	0.442936	0.0697682	0.0315963	0.0169801	0.0238813	0.499358	0.010973	0.0575002	0.0447934	0.0342571	0.00845734	0.0109993	0.0348927	0.0144843	0.0308004	0.00493979	0.0110666	0.010973	0.0575002	0.0447934	0.0342571	0.00845734	0.0109993	0.0348927	0.0144843	0.0308004	0.00493979	0.0110666	0.0315963	0.0169801	0.0238813	0.499358	0.0678968	0.349261	0.913417	2.66943	0.670477
130	-9889.47	-9901.27	11.8013	0.295808	0.196579	0.219256	0.288356	0.102851	0.269753	0.0604473	0.0662611	0.421467	0.0792208	0.0448486	0.0100793	0.0232084	0.509895	0.0104751	0.0646133	0.0402173	0.0342932	0.00919558	0.0062736	0.0254116	0.0205147	0.0328775	0.0040182	0.00647254	0.0104751	0.0646133	0.0402173	0.0342932	0.00919558	0.0062736	0.0254116	0.0205147	0.0328775	0.0040182	0.00647254	0.0448486	0.0100793	0.0232084	0.509895	0.0777074	0.371195	0.930819	2.62028	0.716462
140	-9884.88	-9896.46	11.5801	0.296261	0.190824	0.231754	0.281161	0.112152	0.265894	0.0483386	0.0653132	0.437333	0.070969	0.0403407	0.00862374	0.0253042	0.497854	0.0120064	0.0694887	0.0417187	0.046055	0.008524	0.00954359	0.0331444	0.0188482	0.0323414	0.00848496	0.0123209	0.0120064	0.0694887	0.0417187	0.046055	0.008524	0.00954359	0.0331444	0.0188482	0.0323414	0.00848496	0.0123209	0.0403407	0.00862374	0.0253042	0.497854	0.0738979	0.362888	0.924364	2.63885	0.69864
150	-9890.43	-9901.36	10.9288	0.267986	0.197645	0.240038	0.294331	0.115715	0.282156	0.047406	0.0455574	0.435943	0.0732232	0.0416188	0.0150239	0.0173859	0.565629	0.00781787	0.0636792	0.0463155	0.0348957	0.0138518	0.00904179	0.0449736	0.0166762	0.0328425	0.00494889	0.0144916	0.00781787	0.0636792	0.0463155	0.0348957	0.0138518	0.00904179	0.0449736	0.0166762	0.0328425	0.00494889	0.0144916	0.0416188	0.0150239	0.0173859	0.565629	0.0970051	0.409858	0.958822	2.53432	0.806801
160	-9894.16	-9906.28	12.1175	0.282449	0.204596	0.23087	0.282085	0.103895	0.275384	0.0615538	0.057557	0.433626	0.0679846	0.0330628	0.0108018	0.0231497	0.462503	0.00999049	0.0583765	0.0392608	0.0456659	0.0101286	0.014489	0.0427323	0.00958937	0.0254634	0.010557	0.0144916	0.00999049	0.0583765	0.0392608	0.0456659	0.0101286	0.014489	0.0427323	0.00958937	0.0254634	0.010557	0.0144916	0.0330628	0.0108018	0.0231497	0.462503	0.0996191	0.414717	0.962114	2.52355	0.819114
170	-9886.54	-9898.17	11.6385	0.269238	0.186107	0.245138	0.299518	0.145993	0.244944	0.0413256	0.0453283	0.44955	0.0728586	0.0415938	0.0122708	0.0203393	0.512246	0.00772342	0.0629699	0.0376826	0.0324377	0.0105851	0.00763695	0.0387016	0.0145199	0.0302362	0.00566879	0.0246083	0.00772342	0.0629699	0.0376826	0.0324377	0.0105851	0.00763695	0.0387016	0.0145199	0.0302362	0.00566879	0.0246083	0.0415938	0.0122708	0.0203393	0.512246	0.0546223	0.316319	0.88501	2.74405	0.607325
180	-9885.56	-9896.85	11.2898	0.305152	0.181545	0.231027	0.282276	0.123059	0.249177	0.0492616	0.0578334	0.436416	0.0842532	0.0348323	0.0120947	0.0189752	0.536073	0.00939211	0.0571602	0.0507261	0.0451322	0.0106088	0.00588125	0.0405671	0.0183896	0.0401871	0.00684814	0.00716589	0.00939211	0.0571602	0.0507261	0.0451322	0.0106088	0.00588125	0.0405671	0.0183896	0.0401871	0.00684814	0.00716589	0.0348323	0.0120947	0.0189752	0.536073	0.056664	0.321673	0.889824	2.73184	0.617153
190	-9890.82	-9902.87	12.0498	0.266024	0.204228	0.234519	0.295229	0.107273	0.301743	0.0466898	0.0545139	0.413632	0.0761486	0.041769	0.0110756	0.0227806	0.467116	0.0116018	0.0614659	0.042459	0.0384964	0.0116711	0.0096876	0.0295986	0.0157362	0.0390043	0.00363836	0.0114673	0.0116018	0.0614659	0.042459	0.0384964	0.0116711	0.0096876	0.0295986	0.0157362	0.0390043	0.00363836	0.0114673	0.041769	0.0110756	0.0227806	0.467116	0.0766962	0.369014	0.92914	2.62515	0.711734
