Iteration	Posterior	Likelihood	Prior	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[7]	br_lens[6]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[1]	br_lens[2]	br_lens[14]	br_lens[15]	sf[1][0]	sf[1][1]	sf[1][2]	sf[1][3]	sf[4][0]	sf[4][1]	sf[4][2]	sf[4][3]	er[4][0]	er[4][1]	er[4][2]	er[4][3]	er[4][4]	er[4][5]	er[2][0]	er[2][1]	er[2][2]	er[2][3]	er[2][4]	er[2][5]	sf[2][0]	sf[2][1]	sf[2][2]	sf[2][3]	sf[3][0]	sf[3][1]	sf[3][2]	sf[3][3]	er[3][0]	er[3][1]	er[3][2]	er[3][3]	er[3][4]	er[3][5]	er[1][0]	er[1][1]	er[1][2]	er[1][3]	er[1][4]	er[1][5]	norm_gamma_rates[3][0]	norm_gamma_rates[3][1]	norm_gamma_rates[3][2]	norm_gamma_rates[3][3]	shape[3]	shape[1]	norm_gamma_rates[1][0]	norm_gamma_rates[1][1]	norm_gamma_rates[1][2]	norm_gamma_rates[1][3]	norm_gamma_rates[2][0]	norm_gamma_rates[2][1]	norm_gamma_rates[2][2]	norm_gamma_rates[2][3]	shape[2]	shape[0]	shape[1]	shape[2]	shape[3]	shape[4]	norm_gamma_rates[4][0]	norm_gamma_rates[4][1]	norm_gamma_rates[4][2]	norm_gamma_rates[4][3]
1540	-9560.52	-9574.19	13.6647	0.0241906	0.0372539	0.00805774	0.757581	0.0507882	0.074547	0.00946668	0.0380063	0.0115681	0.0119048	0.0390555	0.00795093	0.00936778	0.0404627	0.0149543	0.00805774	0.757581	0.0507882	0.00946668	0.074547	0.0380063	0.0115681	0.0119048	0.0390555	0.00795093	0.00936778	0.0241906	0.0372539	0.0404627	0.0149543	0.330239	0.176094	0.231413	0.262254	0.26716	0.211007	0.304339	0.217494	0.0719819	0.178142	0.114417	0.0726406	0.430874	0.131944	0.108318	0.169116	0.111455	0.175434	0.315009	0.120668	0.290245	0.237302	0.213566	0.258887	0.264271	0.13918	0.14052	0.456028	0.0936036	0.454821	0.0295398	0.049	0.281403	0.091633	0.0793605	0.351548	0.0134143	0.0218641	0.503048	0.0307658	0.432385	0.761081	1.08424	1.72229	3.62322	0.1169	3.89637e-06	0.00292783	0.141711	3.85536	0.842339	0.953903	1.03675	1.16701	61.0565	0.1169	61.0565	3.62322	55.1103	55.1103	0.834347	0.951236	1.0384	1.17601
1550	-9565.41	-9582	16.5943	0.0226679	0.0339936	0.0062362	0.721415	0.0498907	0.0655685	0.0156461	0.0287148	0.0100144	0.00886432	0.0335202	0.0120871	0.00902411	0.0406537	0.0262098	0.0062362	0.721415	0.0498907	0.0156461	0.0655685	0.0287148	0.0100144	0.00886432	0.0335202	0.0120871	0.00902411	0.0226679	0.0339936	0.0406537	0.0262098	0.308584	0.173564	0.228579	0.289273	0.27573	0.177456	0.322263	0.224552	0.111398	0.121888	0.203302	0.0401252	0.409663	0.113623	0.116113	0.206135	0.104798	0.176325	0.288894	0.107734	0.294352	0.21968	0.197707	0.288261	0.283306	0.134315	0.135609	0.44677	0.0869206	0.367754	0.0357718	0.0593377	0.386385	0.0638315	0.0755668	0.399828	0.012773	0.0208189	0.461718	0.0292951	0.558684	0.835049	1.07979	1.52648	6.64278	0.107217	1.33708e-06	0.00171682	0.113666	3.88462	0.774214	0.930048	1.05018	1.24556	28.8361	0.107217	28.8361	6.64278	35.8585	35.8585	0.796433	0.938113	1.04598	1.21948
1560	-9568.38	-9584.98	16.6096	0.0187941	0.0389736	0.0128531	0.758667	0.0305445	0.0595495	0.0087684	0.0318845	0.0123701	0.0139118	0.0313621	0.0110641	0.00902411	0.0331256	0.0253612	0.0128531	0.758667	0.0305445	0.0087684	0.0595495	0.0318845	0.0123701	0.0139118	0.0313621	0.0110641	0.00902411	0.0187941	0.0389736	0.0331256	0.0253612	0.297243	0.175307	0.246622	0.280828	0.242381	0.191566	0.331308	0.234746	0.0727343	0.159802	0.121021	0.0773831	0.484353	0.0847068	0.0872667	0.189892	0.124561	0.211978	0.291775	0.0945266	0.308038	0.197421	0.235488	0.259053	0.322618	0.137075	0.140662	0.399645	0.0675916	0.337588	0.0278171	0.1038	0.363177	0.100026	0.0783837	0.398215	0.0132491	0.0528445	0.42692	0.0303872	0.732664	0.914186	1.05752	1.29563	20.1382	0.0914404	1.44021e-07	0.000564288	0.0716887	3.92775	0.497036	0.801039	1.0835	1.61842	4.88047	0.0914404	4.88047	20.1382	43.6797	43.6797	0.81476	0.944555	1.04238	1.19831
1570	-9562.75	-9576.39	13.6323	0.0287779	0.0418079	0.0105035	0.785541	0.0545335	0.0617962	0.00842643	0.0350196	0.0106762	0.0219257	0.0248232	0.0102711	0.00727796	0.0392002	0.0234778	0.0105035	0.785541	0.0545335	0.00842643	0.0617962	0.0350196	0.0106762	0.0219257	0.0248232	0.0102711	0.00727796	0.0287779	0.0418079	0.0392002	0.0234778	0.321819	0.178147	0.220195	0.279838	0.231621	0.222687	0.284922	0.26077	0.103965	0.221491	0.13183	0.0803625	0.394816	0.0675358	0.0949046	0.293222	0.103399	0.175965	0.202901	0.129608	0.26057	0.213043	0.250652	0.275735	0.303246	0.129714	0.135808	0.431233	0.0807139	0.365454	0.0227541	0.0706471	0.371788	0.0886437	0.0764177	0.381407	0.010522	0.0419672	0.454896	0.0347894	0.500751	0.803194	1.08336	1.6127	4.96818	0.117836	4.28032e-06	0.00306838	0.144479	3.85245	0.509469	0.808196	1.08297	1.59936	5.1821	0.117836	5.1821	4.96818	104.506	104.506	0.878543	0.965566	1.02897	1.12692
1580	-9564.81	-9580.02	15.2089	0.0214575	0.0447595	0.00666462	0.78517	0.0436903	0.0597041	0.00567446	0.0425642	0.0122288	0.0280906	0.0248232	0.0132116	0.00425274	0.0353918	0.0236646	0.00666462	0.78517	0.0436903	0.00567446	0.0597041	0.0425642	0.0122288	0.0280906	0.0248232	0.0132116	0.00425274	0.0214575	0.0447595	0.0353918	0.0236646	0.321668	0.174603	0.229457	0.274271	0.277089	0.216193	0.30462	0.202098	0.0894249	0.141979	0.198269	0.0746162	0.416407	0.0793043	0.0821289	0.209316	0.117131	0.125612	0.288986	0.176825	0.278389	0.215421	0.228438	0.277752	0.308452	0.113089	0.155764	0.422695	0.118386	0.342117	0.0228271	0.0445017	0.383846	0.0883221	0.0801991	0.325609	0.00471119	0.0335458	0.515578	0.0403565	0.606763	0.859201	1.0752	1.45884	8.64538	0.102209	7.10162e-07	0.0012518	0.0997369	3.89901	0.42598	0.756851	1.08411	1.73306	3.5216	0.102209	3.5216	8.64538	73.5162	73.5162	0.85589	0.958348	1.03388	1.15188
1590	-9565.86	-9582.44	16.5791	0.0227472	0.0362946	0.0115994	0.834222	0.0583888	0.0623584	0.00747173	0.0345549	0.00955166	0.0267781	0.0248232	0.00927815	0.00895403	0.0470279	0.013382	0.0115994	0.834222	0.0583888	0.00747173	0.0623584	0.0345549	0.00955166	0.0267781	0.0248232	0.00927815	0.00895403	0.0227472	0.0362946	0.0470279	0.013382	0.308497	0.18594	0.230293	0.27527	0.206693	0.251721	0.308929	0.232657	0.0608007	0.170397	0.188213	0.0534999	0.370377	0.156712	0.0986231	0.273928	0.13081	0.171531	0.272534	0.0525728	0.268861	0.198048	0.240578	0.292513	0.301795	0.124699	0.134897	0.438609	0.129172	0.362467	0.0234069	0.045632	0.352336	0.0869864	0.0675892	0.411084	0.00397044	0.0303877	0.452958	0.0340112	0.692638	0.897889	1.06394	1.34554	14.9065	0.110435	1.94796e-06	0.00207155	0.122845	3.87508	0.758312	0.9241	1.05307	1.26452	24.9674	0.110435	24.9674	14.9065	7.17875	7.17875	0.573291	0.842593	1.07854	1.50558
1600	-9561.79	-9580.03	18.2332	0.0314781	0.042017	0.00757944	0.763427	0.0461086	0.0719874	0.00953435	0.0346577	0.0127105	0.0353629	0.0310794	0.0114566	0.00848153	0.0455312	0.0184525	0.00757944	0.763427	0.0461086	0.00953435	0.0719874	0.0346577	0.0127105	0.0353629	0.0310794	0.0114566	0.00848153	0.0314781	0.042017	0.0455312	0.0184525	0.289878	0.20164	0.209967	0.298514	0.239754	0.237005	0.290869	0.232372	0.0870171	0.142629	0.0966608	0.0396275	0.474377	0.159688	0.162149	0.253241	0.0854363	0.180405	0.243814	0.0749539	0.306407	0.212493	0.217611	0.263489	0.278467	0.11506	0.127304	0.479169	0.130229	0.40359	0.0222133	0.0214861	0.343382	0.0790992	0.0556005	0.439559	0.0145077	0.0435719	0.418782	0.0279784	0.666906	0.886852	1.06769	1.37855	12.5061	0.0786347	1.22206e-08	0.000164557	0.0429899	3.95685	0.379905	0.724765	1.08187	1.81346	2.88178	0.0786347	2.88178	12.5061	6.12855	6.12855	0.543124	0.826804	1.08097	1.5491
1610	-9556.08	-9574.6	18.5225	0.0246462	0.0424813	0.0105746	0.752325	0.0618275	0.0635055	0.0132797	0.0344635	0.0134252	0.017749	0.0366684	0.00724561	0.00706599	0.0387052	0.0255998	0.0105746	0.752325	0.0618275	0.0132797	0.0635055	0.0344635	0.0134252	0.017749	0.0366684	0.00724561	0.00706599	0.0246462	0.0424813	0.0387052	0.0255998	0.296406	0.188587	0.218292	0.296716	0.25298	0.216878	0.317505	0.212638	0.113054	0.130261	0.0882785	0.0361911	0.486376	0.14584	0.190299	0.20573	0.0578976	0.137939	0.282591	0.125544	0.299272	0.223056	0.197614	0.280058	0.285608	0.125317	0.135182	0.453892	0.141691	0.398976	0.0241684	0.0342027	0.3149	0.0860614	0.103093	0.434518	0.0141821	0.0430722	0.372246	0.032889	0.594374	0.853161	1.07651	1.47596	8.05922	0.112392	2.42313e-06	0.00230998	0.128501	3.86919	0.524117	0.816429	1.0822	1.57726	5.56889	0.112392	5.56889	8.05922	6.12855	6.12855	0.543124	0.826804	1.08097	1.5491
1620	-9572.82	-9587.22	14.3924	0.0144037	0.0449894	0.0104726	0.756023	0.0386115	0.075723	0.0112291	0.0389002	0.0106876	0.0158295	0.0311696	0.00934826	0.00589514	0.045607	0.0237354	0.0104726	0.756023	0.0386115	0.0112291	0.075723	0.0389002	0.0106876	0.0158295	0.0311696	0.00934826	0.00589514	0.0144037	0.0449894	0.045607	0.0237354	0.29605	0.210171	0.233877	0.259902	0.240786	0.206424	0.293366	0.259423	0.0693033	0.148805	0.112214	0.0413433	0.4788	0.149535	0.0699092	0.306026	0.0967401	0.183298	0.190239	0.153788	0.300803	0.219082	0.198624	0.281491	0.27225	0.157259	0.12886	0.441631	0.125805	0.396394	0.024012	0.0339813	0.312863	0.106945	0.0779276	0.328452	0.0302553	0.0247542	0.510855	0.0277557	0.563829	0.837727	1.07936	1.51908	6.8253	0.121306	5.98998e-06	0.00362845	0.154819	3.84155	0.857421	0.958844	1.03356	1.15018	75.1534	0.121306	75.1534	6.8253	23.7594	23.7594	0.752603	0.921928	1.05408	1.27139
1630	-9555.41	-9570.6	15.1945	0.0234658	0.039974	0.0125148	0.801767	0.0526094	0.0641583	0.0108076	0.0371139	0.00817628	0.0248145	0.0313326	0.00933318	0.0072382	0.0425077	0.0126232	0.0125148	0.801767	0.0526094	0.0108076	0.0641583	0.0371139	0.00817628	0.0248145	0.0313326	0.00933318	0.0072382	0.0234658	0.039974	0.0425077	0.0126232	0.287106	0.210567	0.226037	0.27629	0.279471	0.215101	0.313556	0.191872	0.098135	0.123405	0.0784779	0.0342864	0.533823	0.131872	0.139731	0.177937	0.149823	0.183509	0.268462	0.0805386	0.286127	0.222114	0.206372	0.285387	0.27164	0.135349	0.15237	0.440642	0.0989092	0.356708	0.0364509	0.0404872	0.372761	0.094684	0.0726039	0.429174	0.0281884	0.0230631	0.421112	0.0258595	0.619966	0.865505	1.07371	1.44082	9.33564	0.100762	5.84622e-07	0.00113594	0.0958051	3.90306	0.51032	0.80868	1.08293	1.59807	5.20359	0.100762	5.20359	9.33564	66.0152	66.0152	0.848179	0.955831	1.03552	1.16047
1640	-9561.95	-9577.08	15.1332	0.022821	0.039974	0.0162377	0.80755	0.0556849	0.0653883	0.0108838	0.0410986	0.0143518	0.0327311	0.0255888	0.0121399	0.0078545	0.0373542	0.0144846	0.0162377	0.80755	0.0556849	0.0108838	0.0653883	0.0410986	0.0143518	0.0327311	0.0255888	0.0121399	0.0078545	0.022821	0.039974	0.0373542	0.0144846	0.285121	0.205756	0.224475	0.284648	0.245408	0.205976	0.340349	0.208267	0.129564	0.135974	0.0822227	0.0426421	0.464293	0.145304	0.103122	0.19835	0.157325	0.152165	0.29926	0.0897781	0.285752	0.221822	0.215326	0.2771	0.291959	0.132526	0.144063	0.431452	0.132789	0.36139	0.0319919	0.0511821	0.339546	0.0831015	0.0796178	0.498135	0.0188692	0.0179298	0.365344	0.0201038	0.66736	0.88705	1.06762	1.37797	12.5436	0.0996927	5.04521e-07	0.00105536	0.0929294	3.90601	0.764643	0.926486	1.05193	1.25694	26.4126	0.0996927	26.4126	12.5436	37.6834	37.6834	0.801198	0.939806	1.04505	1.21394
1650	-9566.88	-9585.76	18.8847	0.0208277	0.033447	0.0134644	0.705313	0.041607	0.0670972	0.0091512	0.0404588	0.0109335	0.00585659	0.0450811	0.00898577	0.00320493	0.0364886	0.0191106	0.0134644	0.705313	0.041607	0.0091512	0.0670972	0.0404588	0.0109335	0.00585659	0.0450811	0.00898577	0.00320493	0.0208277	0.033447	0.0364886	0.0191106	0.307444	0.187345	0.242049	0.263162	0.267473	0.179614	0.327994	0.224918	0.129378	0.10222	0.155802	0.0425811	0.424923	0.145096	0.100505	0.167007	0.153333	0.122702	0.27657	0.179882	0.283256	0.219885	0.222181	0.274679	0.270774	0.131044	0.14973	0.448452	0.0752245	0.38476	0.0355509	0.0654244	0.350914	0.0881263	0.0692775	0.413825	0.0313072	0.0155644	0.442533	0.027493	0.411641	0.747183	1.08366	1.75752	3.30613	0.108826	1.61848e-06	0.00188856	0.118237	3.87987	0.510311	0.808675	1.08293	1.59808	5.20337	0.108826	5.20337	3.30613	21.7143	21.7143	0.741925	0.917812	1.05595	1.28432
1660	-9563.94	-9580.23	16.2872	0.0202948	0.034231	0.0108155	0.750693	0.0468815	0.0651856	0.00932967	0.0428876	0.0137408	0.00628876	0.0450811	0.0112589	0.0104155	0.0434621	0.0189951	0.0108155	0.750693	0.0468815	0.00932967	0.0651856	0.0428876	0.0137408	0.00628876	0.0450811	0.0112589	0.0104155	0.0202948	0.034231	0.0434621	0.0189951	0.314769	0.185897	0.220107	0.279227	0.255834	0.190856	0.328231	0.22508	0.0413139	0.153289	0.132095	0.05253	0.541147	0.0796258	0.0719206	0.281839	0.103193	0.229608	0.231687	0.0817521	0.276867	0.214925	0.184663	0.323545	0.267033	0.115822	0.146974	0.470171	0.132317	0.301106	0.0299359	0.0471986	0.415235	0.0742075	0.0500251	0.383013	0.0226068	0.045452	0.475521	0.0233817	0.568863	0.840325	1.07893	1.51188	7.0104	0.113746	2.80588e-06	0.00248539	0.132445	3.86507	0.693811	0.898381	1.06376	1.34405	15.0308	0.113746	15.0308	7.0104	46.4219	46.4219	0.820093	0.946395	1.04131	1.1922
1670	-9565.26	-9580.2	14.936	0.0210817	0.0418871	0.00683913	0.771967	0.0404794	0.0714054	0.0113924	0.0379744	0.012448	0.00715968	0.0450811	0.0139018	0.00407994	0.0368239	0.0163347	0.00683913	0.771967	0.0404794	0.0113924	0.0714054	0.0379744	0.012448	0.00715968	0.0450811	0.0139018	0.00407994	0.0210817	0.0418871	0.0368239	0.0163347	0.301609	0.206732	0.212852	0.278807	0.228805	0.207457	0.322074	0.241664	0.0418661	0.182887	0.137571	0.0626728	0.427322	0.147681	0.0543401	0.212946	0.145751	0.205947	0.319247	0.0617685	0.301196	0.256747	0.196151	0.245906	0.273994	0.117722	0.141948	0.466335	0.0889166	0.327434	0.0325535	0.0689612	0.401438	0.0806962	0.0594798	0.378368	0.0232362	0.0467173	0.468166	0.0240326	0.586531	0.849273	1.07729	1.4869	7.71557	0.102026	6.93186e-07	0.00123677	0.0992393	3.89952	0.799042	0.939041	1.04547	1.21644	36.8414	0.102026	36.8414	7.71557	49.082	49.082	0.824846	0.948022	1.04035	1.18678
1680	-9565.71	-9583.55	17.8376	0.0215795	0.0413864	0.0104096	0.758579	0.0402622	0.0804389	0.00887947	0.0439499	0.00864607	0.0139002	0.0450811	0.0142308	0.00402766	0.0435867	0.0206655	0.0104096	0.758579	0.0402622	0.00887947	0.0804389	0.0439499	0.00864607	0.0139002	0.0450811	0.0142308	0.00402766	0.0215795	0.0413864	0.0435867	0.0206655	0.299001	0.204944	0.214959	0.281095	0.221612	0.21902	0.340025	0.219343	0.0997733	0.133871	0.141775	0.0458757	0.486346	0.0923595	0.0448535	0.30359	0.150674	0.175002	0.252398	0.073482	0.302807	0.220608	0.211472	0.265113	0.33577	0.121376	0.14828	0.394574	0.105242	0.322651	0.032078	0.102042	0.358469	0.0795174	0.0707243	0.323292	0.0198539	0.0399171	0.525678	0.0205344	0.704153	0.902684	1.06216	1.331	16.1929	0.100523	5.65857e-07	0.00111758	0.0951609	3.90372	0.599524	0.855687	1.07597	1.46881	8.29613	0.100523	8.29613	16.1929	7.76607	7.76607	0.587713	0.849862	1.07718	1.48525
1690	-9560.39	-9577.27	16.8878	0.0254623	0.0396636	0.0140317	0.764233	0.038066	0.0635528	0.00873558	0.03873	0.0110268	0.0134801	0.0426351	0.00928182	0.0102122	0.0407933	0.0187665	0.0140317	0.764233	0.038066	0.00873558	0.0635528	0.03873	0.0110268	0.0134801	0.0426351	0.00928182	0.0102122	0.0254623	0.0396636	0.0407933	0.0187665	0.308511	0.186081	0.219013	0.286396	0.279172	0.19988	0.310311	0.210637	0.0769565	0.122569	0.129806	0.0420028	0.540174	0.0884919	0.0440434	0.298107	0.151857	0.171842	0.24784	0.0863109	0.277549	0.234893	0.205277	0.282281	0.301178	0.104978	0.12752	0.466325	0.0779817	0.310286	0.0293309	0.0933037	0.384941	0.104158	0.0719214	0.348829	0.0261392	0.0338694	0.481763	0.0374777	0.804828	0.941087	1.04434	1.20974	39.165	0.122557	6.72924e-06	0.0038453	0.158566	3.83758	0.596735	0.854322	1.07627	1.47268	8.16666	0.122557	8.16666	39.165	7.28701	7.28701	0.576066	0.844005	1.07829	1.50164
1700	-9564.55	-9580.04	15.4883	0.0225689	0.0415985	0.0117615	0.782401	0.0509179	0.0616435	0.00594822	0.0353469	0.0143051	0.00260479	0.0426351	0.00921614	0.00628324	0.0314907	0.0191299	0.0117615	0.782401	0.0509179	0.00594822	0.0616435	0.0353469	0.0143051	0.00260479	0.0426351	0.00921614	0.00628324	0.0225689	0.0415985	0.0314907	0.0191299	0.322029	0.196078	0.230894	0.251	0.247758	0.223291	0.308831	0.220121	0.0753678	0.120039	0.147498	0.0411357	0.440451	0.175508	0.210651	0.153527	0.134637	0.192517	0.218174	0.0904938	0.278755	0.231569	0.206169	0.283507	0.306735	0.106915	0.163445	0.422906	0.0803795	0.319826	0.0372322	0.0337697	0.451664	0.077128	0.0629845	0.41227	0.0228912	0.0296608	0.439372	0.0328208	0.409548	0.745749	1.08358	1.76113	3.276	0.0924235	1.69198e-07	0.000611572	0.0741214	3.92527	0.734624	0.914958	1.05719	1.29323	20.4578	0.0924235	20.4578	3.276	59.0684	59.0684	0.839798	0.953059	1.03728	1.16987
1710	-9574.98	-9585.61	10.6316	0.0222178	0.0336265	0.0151211	0.74523	0.0461782	0.0621559	0.00594822	0.0313782	0.00719792	0.00140613	0.0426351	0.00689502	0.00496236	0.041633	0.0200228	0.0151211	0.74523	0.0461782	0.00594822	0.0621559	0.0313782	0.00719792	0.00140613	0.0426351	0.00689502	0.00496236	0.0222178	0.0336265	0.041633	0.0200228	0.307553	0.195595	0.224492	0.27236	0.279431	0.204491	0.271503	0.244574	0.064367	0.122025	0.133451	0.050767	0.479499	0.149891	0.216007	0.191311	0.126884	0.126292	0.254223	0.0852829	0.287506	0.197499	0.222245	0.29275	0.322239	0.10776	0.164737	0.405265	0.153811	0.266203	0.0320077	0.0198704	0.461803	0.0663053	0.0943076	0.379004	0.0223751	0.0287344	0.429467	0.0461118	0.803372	0.940574	1.04463	1.21143	38.5607	0.099431	4.8641e-07	0.00103627	0.0922294	3.90673	0.813002	0.943945	1.04273	1.20032	42.8274	0.099431	42.8274	38.5607	108.791	108.791	0.8809	0.966302	1.02845	1.12435
1720	-9562.37	-9578.57	16.2024	0.0256784	0.0464226	0.0112678	0.77241	0.0519432	0.0767223	0.00950354	0.0366559	0.00714849	0.00380874	0.0450998	0.0134722	0.00615769	0.0331205	0.015927	0.0112678	0.77241	0.0519432	0.00950354	0.0767223	0.0366559	0.00714849	0.00380874	0.0450998	0.0134722	0.00615769	0.0256784	0.0464226	0.0331205	0.015927	0.282874	0.181692	0.232656	0.302778	0.246646	0.202437	0.314123	0.236794	0.101459	0.119986	0.127006	0.0565201	0.447642	0.147387	0.149597	0.242542	0.122263	0.158459	0.244963	0.0821765	0.269698	0.219133	0.236131	0.275038	0.303819	0.106967	0.174574	0.41464	0.129476	0.251332	0.0269438	0.0289865	0.507447	0.0558151	0.0643622	0.4138	0.016137	0.0429114	0.432474	0.0303152	0.806852	0.941798	1.04395	1.2074	40.0283	0.106977	1.29897e-06	0.00169221	0.112989	3.88532	0.463072	0.780648	1.08434	1.67194	4.1625	0.106977	4.1625	40.0283	20.8185	20.8185	0.736784	0.915806	1.05683	1.29058
1730	-9561.83	-9580.61	18.776	0.02095	0.0403612	0.0110626	0.717525	0.0443847	0.065121	0.00561214	0.0396709	0.0105822	0.00542407	0.0544216	0.00552027	0.0104858	0.0498887	0.0219566	0.0110626	0.717525	0.0443847	0.00561214	0.065121	0.0396709	0.0105822	0.00542407	0.0544216	0.00552027	0.0104858	0.02095	0.0403612	0.0498887	0.0219566	0.288237	0.20056	0.221273	0.289929	0.259683	0.203255	0.315392	0.221671	0.100588	0.133499	0.125916	0.050077	0.443799	0.146121	0.130758	0.249965	0.197421	0.0614644	0.235831	0.124561	0.277603	0.216761	0.233575	0.272061	0.29244	0.130414	0.155273	0.421873	0.124686	0.362125	0.0239267	0.0403412	0.381986	0.0669351	0.0788157	0.335492	0.0142854	0.0379877	0.509635	0.023784	0.616387	0.863809	1.07412	1.44568	9.14131	0.0971409	3.50277e-07	0.000879567	0.0861723	3.91295	0.602733	0.85725	1.07563	1.46438	8.44857	0.0971409	8.44857	9.14131	6.43157	6.43157	0.552492	0.831794	1.08028	1.53544
1740	-9553.95	-9571.23	17.2798	0.0196596	0.0424192	0.00635105	0.72662	0.0478426	0.0744643	0.0089068	0.0422661	0.00793351	0.00994326	0.0455981	0.00808116	0.0112202	0.0450288	0.0183663	0.00635105	0.72662	0.0478426	0.0089068	0.0744643	0.0422661	0.00793351	0.00994326	0.0455981	0.00808116	0.0112202	0.0196596	0.0424192	0.0450288	0.0183663	0.312065	0.192094	0.214617	0.281224	0.242218	0.22543	0.309325	0.223026	0.105698	0.134974	0.137831	0.0506305	0.414832	0.156035	0.087616	0.20589	0.138907	0.16804	0.296949	0.102598	0.297794	0.226758	0.19084	0.284609	0.285121	0.12715	0.151386	0.436343	0.125383	0.364149	0.0447251	0.0177407	0.380693	0.0673093	0.0880202	0.409735	0.0129786	0.0424241	0.42028	0.0265616	0.611918	0.861679	1.07463	1.45178	8.90636	0.119141	4.8682e-06	0.00327186	0.148356	3.84837	0.793095	0.936919	1.04662	1.22337	34.6556	0.119141	34.6556	8.90636	8.01549	8.01549	0.593402	0.852682	1.07661	1.47731
1750	-9559.19	-9577.34	18.1519	0.0247026	0.0450156	0.00858955	0.743917	0.0506319	0.0645076	0.00714708	0.0459548	0.00849027	0.011507	0.0455981	0.0141426	0.00558427	0.0500462	0.017871	0.00858955	0.743917	0.0506319	0.00714708	0.0645076	0.0459548	0.00849027	0.011507	0.0455981	0.0141426	0.00558427	0.0247026	0.0450156	0.0500462	0.017871	0.302557	0.189176	0.208078	0.30019	0.260501	0.20282	0.31929	0.217389	0.0805667	0.124272	0.0919167	0.0389272	0.521832	0.142485	0.085987	0.255802	0.119101	0.164915	0.275965	0.0982299	0.288613	0.219031	0.210353	0.282003	0.30035	0.146745	0.148482	0.404424	0.0666666	0.338285	0.052932	0.0581814	0.406142	0.0777931	0.0788709	0.407505	0.0261391	0.0249309	0.438753	0.0238006	0.630162	0.87028	1.0725	1.42706	9.92116	0.118013	4.35639e-06	0.00309547	0.145004	3.8519	0.613753	0.862555	1.07442	1.44927	9.00181	0.118013	9.00181	9.92116	9.41244	9.41244	0.621352	0.866159	1.07355	1.43894
1760	-9566.27	-9583.77	17.4948	0.0234065	0.0396269	0.01212	0.765833	0.052213	0.060161	0.00778259	0.0574445	0.0116354	0.015283	0.0328079	0.0119773	0.00520514	0.0473929	0.0175116	0.01212	0.765833	0.052213	0.00778259	0.060161	0.0574445	0.0116354	0.015283	0.0328079	0.0119773	0.00520514	0.0234065	0.0396269	0.0473929	0.0175116	0.31873	0.178012	0.229417	0.273842	0.257518	0.212997	0.326687	0.202798	0.0958592	0.121633	0.103941	0.0658108	0.493085	0.11967	0.124576	0.203586	0.0947894	0.170596	0.183342	0.223111	0.292778	0.208041	0.231329	0.267853	0.289725	0.136746	0.159735	0.413794	0.0659581	0.358507	0.053966	0.046362	0.39824	0.0769664	0.0778476	0.403836	0.0257999	0.0359636	0.433061	0.0234918	0.61654	0.863882	1.0741	1.44547	9.14955	0.121749	6.24359e-06	0.00370428	0.156144	3.84015	0.718412	0.908501	1.05989	1.3132	18.014	0.121749	18.014	9.14955	10.9697	10.9697	0.646505	0.877772	1.07044	1.40528
1770	-9566.78	-9579.95	13.1626	0.0232729	0.0357195	0.0140147	0.791021	0.0412383	0.0622674	0.00689463	0.0335505	0.012199	0.0195517	0.0251786	0.0146652	0.00382243	0.0375783	0.0218415	0.0140147	0.791021	0.0412383	0.00689463	0.0622674	0.0335505	0.012199	0.0195517	0.0251786	0.0146652	0.00382243	0.0232729	0.0357195	0.0375783	0.0218415	0.311632	0.174047	0.224308	0.290013	0.262697	0.197171	0.333256	0.206876	0.0892105	0.123697	0.133785	0.0329587	0.498648	0.1217	0.134385	0.151459	0.102254	0.27834	0.197779	0.135783	0.29777	0.211173	0.234812	0.256244	0.262069	0.123692	0.150691	0.463548	0.132256	0.340565	0.0182883	0.0604766	0.344455	0.103959	0.086812	0.385141	0.0256847	0.035803	0.443173	0.0233869	0.794661	0.93748	1.04632	1.22154	35.2124	0.101521	6.47913e-07	0.00119576	0.0978632	3.90094	0.852162	0.957135	1.03468	1.15603	69.7418	0.101521	69.7418	35.2124	23.3616	23.3616	0.750632	0.921173	1.05443	1.27377
