Iteration	Posterior	Likelihood	Prior	dp	r	csf[1]	csf[2]	csf[3]
700	-60.0922	-62.7729	2.68075	0.0347816	0.226975	0.435174	0.203187	0.361639
710	-46.8597	-50.8738	4.01411	0.0296874	0.0987331	0.113321	0.352848	0.533831
720	-52.039	-54.5204	2.48143	0.137975	0.143714	0.319211	0.341461	0.339328
730	-54.7154	-57.3697	2.65435	0.0837398	0.180657	0.508744	0.348747	0.142508
740	-43.693	-46.6765	2.98346	0.111977	0.119509	0.28137	0.381447	0.337183
750	-55.3167	-58.9902	3.67344	0.04368	0.118808	0.344863	0.183323	0.471813
760	-41.4827	-45.289	3.80626	0.0229155	0.12629	0.156361	0.248778	0.594861
770	-46.8848	-50.8766	3.99178	0.0191751	0.111478	0.329642	0.0792691	0.591089
780	-50.1104	-53.7929	3.68255	0.0246123	0.136964	0.269991	0.306769	0.42324
790	-56.5346	-59.7633	3.22869	0.0419715	0.164991	0.179001	0.626279	0.19472
800	-57.3293	-60.2664	2.93706	0.147825	0.0883006	0.373195	0.546718	0.0800869
810	-64.2129	-65.7474	1.53448	0.186252	0.190132	0.450178	0.264605	0.285216
820	-60.9208	-63.6901	2.76931	0.130086	0.122815	0.438421	0.342415	0.219165
830	-61.356	-62.3641	1.00808	0.245657	0.183366	0.326479	0.259582	0.413939
840	-43.3741	-44.9171	1.543	0.300365	0.0751673	0.10158	0.328158	0.570262
850	-47.0072	-49.294	2.28679	0.20964	0.091512	0.0856304	0.262033	0.652337
860	-57.9131	-60.3017	2.38866	0.0955516	0.195414	0.371579	0.134535	0.493886
870	-47.0479	-51.1468	4.09894	0.0262628	0.0936749	0.430527	0.497921	0.0715528
880	-45.7346	-47.6886	1.95403	0.186136	0.148293	0.424373	0.0829587	0.492668
890	-53.3768	-55.741	2.36416	0.188348	0.105067	0.280875	0.708802	0.0103231
900	-54.0057	-57.4445	3.43883	0.0446604	0.141288	0.91654	0.0251313	0.0583287
910	-57.8138	-60.4453	2.63156	0.097193	0.169483	0.411866	0.401049	0.187085
920	-47.6955	-50.1351	2.43958	0.214557	0.0713162	0.156509	0.210936	0.632555
930	-61.5782	-64.9988	3.42059	0.0791664	0.108606	0.438692	0.40482	0.156488
940	-42.5026	-46.3673	3.86471	0.0446935	0.0986676	0.440899	0.319904	0.239197
950	-47.5155	-50.5158	3.00029	0.140691	0.0891124	0.188525	0.342635	0.46884
960	-52.8293	-55.6045	2.77522	0.0771249	0.175184	0.340116	0.350755	0.309129
970	-47.604	-51.223	3.61902	0.0593196	0.10861	0.117957	0.70186	0.180183
