A	-5.349	151.743
B	-9.252	147.964
C	-15.699	143.174
D	-7.709	140.164
E	-5.417	142.361
F	-3.641	143.24
G	-1.931	132.825
H	-3.248	128.606
I	-8.577	118.477
J	-1.096	119.773
K	7.367	125.376
L	14.609	121.201
M	10.016	119.048
O	0.971	114.433
P	-7.576	111.665
Q	-2.061	101.821
R	4.263	102.129
S	23.608	120.894
T	23.366	103.535
U	27.493	89.604
