Iteration	Posterior	Likelihood	Prior	sf[0]	sf[1]	sf[2]	sf[3]	er[0]	er[1]	er[2]	er[3]	er[4]	er[5]	gamma_rates[0]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	shape	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	tree_length
150	-9892.24	-9903.22	10.9841	0.280229	0.195887	0.234402	0.289481	0.115673	0.243339	0.0702895	0.0457147	0.452764	0.0722201	0.0606695	0.331855	0.898762	2.70871	0.636293	0.00838553	0.0403759	0.0516303	0.0186382	0.0703985	0.0414717	0.546778	0.00776041	0.0067311	0.0428994	0.0115997	0.0165788	0.013552	0.00653579	0.041178	0.924513
160	-9887.21	-9898.07	10.8527	0.275663	0.197496	0.236328	0.290512	0.11687	0.264073	0.0618157	0.0432139	0.44443	0.069597	0.0607502	0.332056	0.898936	2.70826	0.636678	0.0134366	0.0462408	0.039373	0.021673	0.0586627	0.0438533	0.561292	0.0130007	0.0074961	0.0436801	0.0106178	0.0191158	0.0146274	0.0130782	0.0315004	0.937649
170	-9884.21	-9895.67	11.4688	0.279893	0.184332	0.240336	0.295439	0.107152	0.27898	0.0596636	0.0417094	0.428958	0.0835373	0.0649568	0.342321	0.907666	2.68506	0.656616	0.0082072	0.0337055	0.0392031	0.0253397	0.0564554	0.0467884	0.534771	0.0100073	0.00974747	0.030794	0.00956568	0.0154743	0.00544359	0.0090437	0.041391	0.875937
180	-9886.34	-9898.28	11.9416	0.285348	0.183328	0.239027	0.292297	0.111963	0.253724	0.0558349	0.0459095	0.451237	0.0813321	0.0839184	0.384224	0.940624	2.59123	0.745485	0.0128768	0.0336803	0.0337217	0.0222759	0.0577887	0.0424773	0.485108	0.0100073	0.00652751	0.0438464	0.00821644	0.0187889	0.00607938	0.0135037	0.0333165	0.828214
190	-9884.82	-9895.95	11.1316	0.292147	0.184576	0.22899	0.294287	0.111492	0.252656	0.0464529	0.0458312	0.46221	0.0813577	0.0503044	0.304596	0.874189	2.77091	0.586345	0.0099436	0.0403709	0.0361805	0.0193225	0.0535784	0.0462132	0.559161	0.0101715	0.00956973	0.0449894	0.0093039	0.0219882	0.00654061	0.00601411	0.0366677	0.910016
200	-9882.34	-9894.05	11.7101	0.29107	0.187582	0.228146	0.293202	0.120667	0.282156	0.0467592	0.0504892	0.418034	0.0818941	0.0666598	0.346363	0.911031	2.67595	0.664652	0.00973018	0.0373951	0.0347401	0.0193474	0.0527597	0.0369173	0.51731	0.012248	0.00770434	0.0334377	0.0132084	0.0195571	0.0266692	0.00965625	0.0210948	0.851775
210	-9890.08	-9900.44	10.3645	0.275259	0.197701	0.231623	0.295416	0.103337	0.272572	0.0411467	0.0487743	0.455057	0.0791126	0.037473	0.265834	0.835424	2.86127	0.52168	0.0123773	0.0361635	0.0417487	0.0206779	0.0606694	0.0393555	0.629836	0.0114778	0.0130328	0.0406078	0.0123306	0.0170197	0.0332607	0.0052143	0.0132769	0.987049
220	-9890.93	-9901.75	10.8186	0.275245	0.187099	0.234266	0.30339	0.132208	0.285417	0.0383413	0.0593223	0.42403	0.0606804	0.065141	0.342761	0.908034	2.68406	0.657486	0.0113413	0.0443087	0.0430094	0.0173536	0.0535856	0.0550132	0.575231	0.00754724	0.0076406	0.0438801	0.00613611	0.0154727	0.0168093	0.00654601	0.0370854	0.94096
230	-9888.22	-9898.89	10.6694	0.292737	0.185278	0.231987	0.289998	0.121913	0.245054	0.0440487	0.0693232	0.463706	0.055955	0.0387677	0.270062	0.839892	2.85128	0.528416	0.0102892	0.0427735	0.0301941	0.0248304	0.0546798	0.0416994	0.620314	0.00869437	0.00832608	0.0342933	0.0104105	0.0187792	0.0258907	0.00461677	0.020732	0.956523
240	-9892.37	-9902.92	10.552	0.28291	0.190334	0.22811	0.298646	0.124788	0.260791	0.0370964	0.0696517	0.428936	0.0787363	0.0603618	0.331087	0.898098	2.71045	0.634829	0.0184234	0.0427735	0.0393228	0.0211831	0.0576874	0.0424932	0.602335	0.00911724	0.00709284	0.0488759	0.0114187	0.014837	0.0303347	0.00446975	0.0173674	0.967732
250	-9891.94	-9902.64	10.6958	0.281745	0.198769	0.22207	0.297415	0.127202	0.28361	0.0489397	0.0531391	0.40685	0.080259	0.0469395	0.295046	0.865077	2.79294	0.569772	0.0151297	0.0562667	0.0378958	0.0259597	0.0641456	0.0475335	0.567307	0.00884165	0.0117057	0.0396518	0.0107751	0.0165229	0.0344763	0.00539417	0.0120747	0.95368
260	-9886.96	-9897.86	10.9036	0.286019	0.193638	0.231316	0.289028	0.113616	0.253319	0.0515581	0.0563416	0.453478	0.0716869	0.0632306	0.338158	0.904158	2.69445	0.648451	0.0151995	0.0522171	0.0336434	0.0202913	0.058731	0.0431027	0.577902	0.0100284	0.00678458	0.0344969	0.0107751	0.0102807	0.0257429	0.00539417	0.0279084	0.932498
270	-9884.03	-9895.78	11.7494	0.288478	0.193793	0.228469	0.28926	0.115983	0.258598	0.0486844	0.0575157	0.446038	0.0731808	0.0787698	0.373467	0.932557	2.61521	0.721427	0.00982813	0.033164	0.0359303	0.0171634	0.0631562	0.0373413	0.506038	0.0100284	0.00829637	0.0409382	0.0155412	0.0165466	0.0279085	0.00505316	0.0206278	0.847561
280	-9881.89	-9893.81	11.9236	0.288167	0.194662	0.228223	0.288948	0.129605	0.251444	0.0571296	0.0565298	0.426186	0.0791062	0.0864502	0.389365	0.944389	2.5798	0.757319	0.0119818	0.033164	0.0429136	0.0250552	0.0545504	0.0387772	0.489095	0.0113756	0.00584049	0.0344183	0.00912165	0.0188683	0.0181788	0.00964571	0.0269682	0.829954
