Iteration	Posterior	Likelihood	Prior	birth_rate
1240	-55.9708	-55.2317	-0.739046	0.0917971
1250	-56.5477	-55.7969	-0.750772	0.11525
1260	-55.9883	-55.2499	-0.738476	0.0906583
1270	-55.9739	-55.2349	-0.738933	0.0915708
1280	-57.0089	-56.2794	-0.729514	0.0727336
1290	-60.0111	-59.291	-0.720009	0.0537237
1300	-55.9909	-55.2474	-0.74341	0.100525
1310	-56.2053	-55.4581	-0.747206	0.108118
1320	-56.0559	-55.3189	-0.73703	0.0877652
1330	-56.5153	-55.7648	-0.750483	0.114672
1340	-56.1834	-55.4365	-0.746919	0.107545
1350	-55.9487	-55.2083	-0.740369	0.0944431
1360	-55.955	-55.213	-0.741937	0.0975806
1370	-61.3794	-60.6041	-0.775308	0.164322
1380	-56.5825	-55.8506	-0.731933	0.0775717
1390	-56.2547	-55.5069	-0.747816	0.109337
1400	-56.1753	-55.4399	-0.735378	0.0844615
1410	-56.4906	-55.7403	-0.750257	0.11422
1420	-56.2306	-55.4831	-0.747524	0.108754
1430	-57.6023	-56.8442	-0.758109	0.129923
1440	-56.8963	-56.1428	-0.75355	0.120806
1450	-56.5991	-55.8479	-0.751219	0.116144
1460	-55.9918	-55.2484	-0.743437	0.10058
1470	-55.9949	-55.2566	-0.738297	0.0903004
1480	-56.1724	-55.437	-0.735412	0.0845289
1490	-55.9715	-55.2288	-0.74276	0.0992246
1500	-56.0575	-55.3205	-0.737002	0.0877101
1510	-56.1849	-55.4496	-0.735269	0.0842431
1520	-56.8339	-56.0808	-0.75309	0.119885
1530	-57.6847	-56.9581	-0.72663	0.0669651
1540	-56.0712	-55.3344	-0.736777	0.0872604
1550	-55.947	-55.2062	-0.74083	0.0953656
1560	-56.8684	-56.1381	-0.730238	0.074182
1570	-56.5264	-55.7941	-0.732313	0.0783325
1580	-56.0185	-55.2744	-0.744132	0.101969
1590	-56.7963	-56.0435	-0.752805	0.119317
1600	-56.2902	-55.542	-0.748227	0.110159
1610	-56.1865	-55.4512	-0.73525	0.0842066
1620	-55.9925	-55.2541	-0.738362	0.0904304
1630	-56.2003	-55.4652	-0.735097	0.0839002
1640	-56.8263	-56.0733	-0.753032	0.11977
1650	-56.2964	-55.5623	-0.734137	0.0819801
1660	-56.0919	-55.3555	-0.736459	0.0866232
1670	-56.143	-55.3966	-0.746356	0.106418
1680	-57.0817	-56.3268	-0.754851	0.123407
1690	-55.9556	-55.2136	-0.741977	0.0976605
1700	-56.2323	-55.4848	-0.747546	0.108797
1710	-55.9491	-55.2077	-0.741413	0.0965323
1720	-55.9473	-55.2062	-0.741061	0.0958285
1730	-56.0177	-55.2799	-0.737758	0.0892222
1740	-56.1297	-55.3937	-0.735937	0.0855793
1750	-56.0086	-55.2647	-0.74389	0.101486
1760	-57.5473	-56.7895	-0.757786	0.129277
1770	-55.9756	-55.2367	-0.738872	0.0914497
1780	-56.0326	-55.2882	-0.744446	0.102598
1790	-56.6586	-55.9068	-0.751716	0.117138
1800	-56.0296	-55.2921	-0.737513	0.0887317
1810	-56.0179	-55.2737	-0.744116	0.101937
1820	-56.0779	-55.3412	-0.736671	0.0870482
1830	-55.9841	-55.2455	-0.7386	0.0909052
1840	-56.1611	-55.4256	-0.735545	0.0847946
1850	-56.5152	-55.7828	-0.732392	0.0784902
1860	-58.7073	-57.9434	-0.763928	0.141562
1870	-56.0352	-55.2978	-0.737404	0.0885138
1880	-57.0861	-56.357	-0.729139	0.0719843
1890	-56.1136	-55.3775	-0.736151	0.0860076
1900	-55.9495	-55.2092	-0.74027	0.0942451
1910	-56.05	-55.3052	-0.744802	0.10331
1920	-56.9799	-56.2257	-0.754148	0.122002
1930	-56.3454	-55.5966	-0.748828	0.111363
1940	-56.0284	-55.284	-0.744354	0.102414
1950	-57.3185	-56.5904	-0.728092	0.0698893
1960	-56.1848	-55.4495	-0.73527	0.0842452
1970	-60.6884	-59.9698	-0.71854	0.0507852
1980	-56.154	-55.4075	-0.746515	0.106735
1990	-56.7312	-56.0001	-0.731008	0.0757221
2000	-55.9494	-55.2092	-0.740274	0.094254
2010	-55.9681	-55.2255	-0.74262	0.0989456
2020	-55.953	-55.2112	-0.741796	0.0972983
2030	-57.1538	-56.3985	-0.755333	0.124372
2040	-56.0543	-55.3172	-0.737058	0.0878211
2050	-56.3726	-55.6391	-0.733475	0.0806555
2060	-56.0759	-55.3306	-0.745286	0.104278
2070	-56.2459	-55.4981	-0.74771	0.109126
2080	-55.9521	-55.2104	-0.741727	0.0971591
2090	-56.3716	-55.6225	-0.749102	0.111909
2100	-55.9671	-55.2245	-0.742579	0.0988632
2110	-57.432	-56.6749	-0.757095	0.127895
2120	-56.2711	-55.5231	-0.748007	0.10972
2130	-56.4396	-55.7066	-0.732945	0.0795956
2140	-56.2808	-55.5327	-0.748119	0.109944
2150	-56.6567	-55.9252	-0.731458	0.0766219
2160	-55.948	-55.2068	-0.741252	0.0962105
2170	-56.1136	-55.3677	-0.745913	0.105532
2180	-56.0336	-55.2891	-0.744468	0.102641
2190	-57.3086	-56.5523	-0.756331	0.126368
2200	-55.9472	-55.2062	-0.741038	0.0957817
2210	-56.1362	-55.3899	-0.746257	0.106219
2220	-57.9491	-57.189	-0.760058	0.133822
2230	-56.7077	-55.9555	-0.752114	0.117933
2240	-57.4022	-56.6745	-0.727739	0.0691842
2250	-57.5148	-56.7875	-0.727284	0.0682728
2260	-56.0473	-55.3025	-0.744749	0.103204
2270	-55.9686	-55.2295	-0.739129	0.0919632
2280	-56.2777	-55.5434	-0.734311	0.0823285
2290	-56.3516	-55.6179	-0.733651	0.0810076
2300	-56.0804	-55.335	-0.745365	0.104435
2310	-57.672	-56.9135	-0.758512	0.13073
2320	-56.3592	-55.6102	-0.748974	0.111653
2330	-56.3189	-55.585	-0.733934	0.0815735
2340	-57.0427	-56.3134	-0.729348	0.072402
2350	-56.9664	-56.2367	-0.729727	0.0731595
2360	-58.0245	-57.2991	-0.725425	0.0645562
2370	-56.5442	-55.7935	-0.750742	0.115189
2380	-56.0618	-55.3248	-0.73693	0.0875664
2390	-56.2554	-55.5075	-0.747823	0.109352
2400	-55.9473	-55.2067	-0.740636	0.0949775
2410	-56.6398	-55.8882	-0.751561	0.116827
2420	-56.6183	-55.8866	-0.7317	0.0771058
2430	-56.6612	-55.9298	-0.73143	0.0765654
2440	-56.0333	-55.2888	-0.744461	0.102628
2450	-56.0806	-55.3352	-0.745368	0.104442
2460	-56.3054	-55.557	-0.748396	0.110498
2470	-56.243	-55.4954	-0.747676	0.109058
2480	-56.3313	-55.5975	-0.733825	0.0813557
2490	-55.9528	-55.2129	-0.739957	0.09362
2500	-56.7248	-55.9726	-0.75225	0.118206
2510	-56.1222	-55.3862	-0.736035	0.0857765
2520	-56.2557	-55.5079	-0.747827	0.10936
2530	-58.8641	-58.1412	-0.722873	0.059452
2540	-56.0956	-55.3592	-0.736404	0.0865144
2550	-57.637	-56.8787	-0.758311	0.130327
2560	-57.2203	-56.4645	-0.755767	0.125241
2570	-56.3934	-55.6441	-0.749323	0.112352
2580	-56.1738	-55.427	-0.74679	0.107286
2590	-56.2816	-55.5335	-0.748129	0.109963
2600	-56.1755	-55.4287	-0.746814	0.107333
2610	-56.3761	-55.627	-0.749148	0.112002
2620	-55.968	-55.2289	-0.739152	0.092009
2630	-56.707	-55.9759	-0.731151	0.0760083
2640	-56.127	-55.391	-0.735972	0.0856491
2650	-56.0784	-55.3331	-0.74533	0.104366
2660	-56.3912	-55.6578	-0.733324	0.0803532
2670	-55.9541	-55.2122	-0.741875	0.0974565
2680	-56.1687	-55.4333	-0.735454	0.0846144
2690	-58.3087	-57.5842	-0.724504	0.0627127
2700	-56.0043	-55.2663	-0.738061	0.0898278
2710	-56.0557	-55.3108	-0.744914	0.103534
2720	-57.4229	-56.6953	-0.727654	0.0690137
2730	-56.8113	-56.0584	-0.752919	0.119544
2740	-56.0529	-55.3159	-0.737081	0.0878671
2750	-57.121	-56.3658	-0.755115	0.123935
2760	-57.6159	-56.8577	-0.758188	0.130082
2770	-56.226	-55.4912	-0.734823	0.0833518
2780	-55.9779	-55.2391	-0.738794	0.0912946
2790	-55.947	-55.2061	-0.740915	0.0955356
2800	-56.0448	-55.3001	-0.7447	0.103106
2810	-56.0111	-55.2732	-0.737904	0.0895143
2820	-56.0204	-55.2762	-0.744175	0.102056
2830	-58.3636	-57.6014	-0.76223	0.138165
2840	-56.292	-55.5438	-0.748246	0.110199
2850	-56.5633	-55.8124	-0.75091	0.115525
2860	-56.1471	-55.4007	-0.746417	0.106539
2870	-56.0985	-55.3622	-0.736362	0.0864306
2880	-55.9479	-55.2074	-0.740502	0.0947098
2890	-56.5348	-55.7841	-0.750658	0.115022
2900	-55.949	-55.2087	-0.740328	0.0943616
2910	-57.1395	-56.4106	-0.728889	0.071483
2920	-56.2532	-55.5054	-0.747798	0.109301
2930	-56.9157	-56.162	-0.753691	0.121087
2940	-55.9809	-55.2378	-0.743096	0.0998979
2950	-55.9503	-55.2087	-0.741554	0.0968131
2960	-56.4594	-55.7094	-0.749966	0.113638
2970	-55.9736	-55.2347	-0.738941	0.091587
2980	-56.9293	-56.1755	-0.753789	0.121284
2990	-56.7414	-55.989	-0.752381	0.118467
3000	-56.466	-55.716	-0.750029	0.113763
3010	-56.0035	-55.2654	-0.738081	0.0898686
3020	-56.6733	-55.942	-0.731355	0.0764164
3030	-56.1453	-55.3989	-0.74639	0.106486
3040	-56.4004	-55.6672	-0.733249	0.0802046
3050	-56.3409	-55.5921	-0.748781	0.111267
3060	-56.0277	-55.2901	-0.737551	0.0888085
3070	-56.0429	-55.3057	-0.737259	0.0882237
3080	-56.9369	-56.1831	-0.753844	0.121393
3090	-56.6468	-55.8951	-0.751619	0.116943
3100	-56.2449	-55.5102	-0.734631	0.0829681
3110	-57.0483	-56.319	-0.729321	0.0723475
3120	-55.956	-55.2163	-0.739737	0.0931791
3130	-57.3531	-56.5965	-0.756609	0.126924
3140	-56.4843	-55.7341	-0.750199	0.114104
3150	-56.5921	-55.8603	-0.73187	0.0774456
3160	-56.5822	-55.8312	-0.751074	0.115854
3170	-56.3024	-55.554	-0.748363	0.110431
3180	-56.9392	-56.1853	-0.75386	0.121425
3190	-56.0535	-55.3086	-0.744871	0.103448
3200	-56.9937	-56.2395	-0.754245	0.122196
3210	-56.7505	-56.0196	-0.730895	0.0754966
3220	-55.9615	-55.2221	-0.739438	0.092581
3230	-56.0652	-55.3283	-0.736874	0.0874546
3240	-56.299	-55.5649	-0.734113	0.0819325
3250	-55.9797	-55.241	-0.738735	0.0911752
3260	-56.3545	-55.6056	-0.748924	0.111554
3270	-56.1702	-55.4235	-0.746741	0.107188
3280	-56.1987	-55.4636	-0.735115	0.0839347
3290	-56.0722	-55.3354	-0.736761	0.087227
3300	-56.5838	-55.8327	-0.751088	0.115881
3310	-56.5291	-55.7785	-0.750607	0.114919
3320	-56.119	-55.373	-0.745996	0.105698
3330	-55.9524	-55.2124	-0.73999	0.0936859
3340	-55.9532	-55.2133	-0.739925	0.0935551
3350	-55.9509	-55.2093	-0.741612	0.096929
3360	-56.1627	-55.416	-0.746637	0.10698
3370	-56.0726	-55.3274	-0.745227	0.10416
3380	-56.212	-55.4647	-0.747292	0.108291
3390	-56.6234	-55.8918	-0.731668	0.0770408
3400	-56.0652	-55.3283	-0.736874	0.087454
3410	-57.8115	-57.0522	-0.759302	0.132309
3420	-56.2925	-55.5443	-0.748253	0.110211
3430	-57.2981	-56.5418	-0.756265	0.126235
