Iteration	Posterior	Likelihood	Prior	sf[1]	sf[2]	sf[3]	sf[4]	diversification	turnover	birth_rate	death_rate	root_time	tmrca_Ursidae	base_rate	tmrca_UrsidaePinn	clock_rate	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]
250	-2799.86	-2757.72	-42.1383	0.178849	0.343423	0.333432	0.144296	0.0594566	0.21294	0.0755426	0.016086	54.2913	19.092	0.0060193	34.698	0.163888	0.0713497	0.399025	0.0573888	0.0491052	0.357611	0.0655202
260	-2796.26	-2751.42	-44.8342	0.175615	0.336026	0.319751	0.168608	0.0345628	0.704509	0.116967	0.0824045	62.8408	15.9564	0.00504207	37.3705	0.173111	0.0578321	0.464324	0.0255216	0.0743289	0.298827	0.0791673
270	-2790.35	-2747.75	-42.5992	0.181375	0.332562	0.319194	0.166869	0.0561611	0.266004	0.0765142	0.0203531	59.1477	16.3334	0.00516559	35.639	0.189759	0.0675542	0.366464	0.0305458	0.0802048	0.389956	0.0652751
280	-2797.12	-2756.3	-40.82	0.182915	0.340327	0.322242	0.154516	0.027805	0.658535	0.0814286	0.0536236	57.0537	19.4842	0.00520265	34.2356	0.166989	0.0606293	0.388586	0.0702357	0.071983	0.349982	0.0585838
290	-2793.64	-2753.53	-40.1087	0.197762	0.317938	0.319793	0.164507	0.0608739	0.224273	0.0784733	0.0175995	54.3153	18.1591	0.00551329	34.1796	0.15452	0.063598	0.391416	0.0652453	0.0828572	0.355475	0.0414092
300	-2804.38	-2762.3	-42.0809	0.18413	0.306781	0.348659	0.16043	0.0514921	0.0965063	0.0569922	0.0055001	56.9116	19.6463	0.00533208	39.1771	0.152358	0.0929618	0.380063	0.039896	0.0804539	0.366417	0.0402082
310	-2799.77	-2758.42	-41.3483	0.194152	0.316364	0.337553	0.151931	0.0330018	0.636228	0.090721	0.0577192	57.8279	16.1229	0.00502304	34.7475	0.167674	0.0951928	0.26601	0.101655	0.058454	0.445144	0.0335443
320	-2802.14	-2758.89	-43.2456	0.207357	0.310127	0.330899	0.151617	0.0407523	0.604838	0.103128	0.0623759	59.8315	18.2345	0.00529694	34.3842	0.151371	0.0933974	0.260993	0.0383345	0.0991186	0.436748	0.0714088
330	-2809.25	-2762.68	-46.5692	0.19332	0.340014	0.327431	0.139235	0.0324203	0.667483	0.0974997	0.0650794	61.1372	16.5442	0.00604314	37.6512	0.135886	0.0770625	0.37725	0.0143776	0.0468897	0.4255	0.0589196
340	-2795.8	-2751	-44.8042	0.172989	0.317719	0.328886	0.180406	0.0669073	0.544325	0.146831	0.079924	60.1497	17.0473	0.00569212	34.9899	0.148242	0.0677154	0.422148	0.0260324	0.0424261	0.384995	0.0566831
