Iteration	Posterior	Likelihood	Prior	ucln_sigma	tmrca_UrsidaePinn	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	sf[1]	sf[2]	sf[3]	sf[4]	ucln_mean	base_rate	root_time	diversification	turnover	death_rate	birth_rate	mean_rt	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	tmrca_Ursidae
120	-2753.24	-2742.19	-11.0443	0.591542	49.6215	0.0573862	0.0368793	0.179875	0.0407924	0.0919381	0.0712202	0.114988	0.0706277	0.0769178	0.342314	0.031044	0.081908	0.0722407	0.0951164	0.156785	0.043743	0.0971555	0.0526033	0.190371	0.322292	0.320911	0.166426	0.0825369	0.00542983	53.0553	0.0543034	0.482166	0.0505629	0.104866	0.0951963	0.0837831	0.39355	0.0565673	0.0859901	0.301318	0.078792	19.9269
130	-2752.02	-2742.36	-9.65984	0.573349	37.069	0.0521297	0.0777046	0.128493	0.0927439	0.0555269	0.115379	0.0959811	0.109423	0.161018	0.317219	0.078682	0.185559	0.0919748	0.0580525	0.0552522	0.134532	0.117411	0.0816485	0.174347	0.331731	0.334385	0.159537	0.0994343	0.00518299	48.81	0.0351118	0.313354	0.0160234	0.0511352	0.111596	0.069067	0.405898	0.0663533	0.0556837	0.32292	0.0800788	20.4533
140	-2758.14	-2742.27	-15.8774	0.564894	42.8844	0.0669253	0.0682309	0.23246	0.140413	0.198133	0.10949	0.172793	0.0694555	0.141404	0.37547	0.075595	0.110449	0.188432	0.0995147	0.101209	0.0346392	0.0964066	0.0884656	0.180681	0.342171	0.320035	0.157112	0.117488	0.00532859	50.4298	0.0507195	0.714749	0.127087	0.177806	0.131638	0.0529208	0.348401	0.0508415	0.0526199	0.400274	0.0949419	19.7989
150	-2764.17	-2745.66	-18.5071	0.606411	43.0663	0.0881539	0.0622242	0.0942157	0.32413	0.0688423	0.278092	0.275849	0.103578	0.101112	0.371478	0.106899	0.0449226	0.136644	0.209395	0.0676063	0.08547	0.126489	0.361946	0.175688	0.338498	0.323832	0.161982	0.161314	0.00561139	48.1991	0.0300916	0.610011	0.0470685	0.0771602	0.161503	0.0525233	0.35853	0.0860062	0.0948319	0.384273	0.0238357	18.9545
160	-2761.76	-2745.33	-16.4267	0.738274	41.4035	0.0802363	0.0317798	0.243261	0.235731	0.265065	0.0388753	0.0570481	0.0468411	0.1166	0.332746	0.038528	0.0642773	0.0256294	0.043188	0.0294525	0.0501247	0.205453	0.114061	0.196079	0.317225	0.323123	0.163573	0.117912	0.00523908	45.5142	0.0528382	0.272622	0.0198038	0.072642	0.112161	0.0802309	0.34084	0.0183066	0.0689141	0.391558	0.10015	24.3694
170	-2762.27	-2742.7	-19.573	0.632262	33.9009	0.1105	0.0230714	0.0896924	0.124186	0.0743908	0.129649	0.131057	0.0848918	0.152988	0.423908	0.0565202	0.0723116	0.097868	0.230436	0.121812	0.0849635	0.35395	0.130422	0.195338	0.321085	0.313005	0.170572	0.148212	0.00501149	48.7439	0.0433399	0.656098	0.082684	0.126024	0.138479	0.0681695	0.382037	0.0311901	0.0646404	0.394384	0.0595787	21.8027
180	-2762.24	-2747.69	-14.55	0.403194	39.7966	0.104198	0.172221	0.128631	0.154961	0.147963	0.079103	0.183409	0.0709223	0.0973704	0.339902	0.102336	0.106301	0.178982	0.142725	0.0689322	0.0961551	0.287653	0.201196	0.166946	0.333945	0.327268	0.171842	0.173954	0.00506097	46.6298	0.0373697	0.567054	0.0489453	0.0863149	0.147942	0.0625894	0.36409	0.0510508	0.088343	0.33435	0.0995768	20.1437
190	-2767.72	-2746.96	-20.7647	0.709464	34.5915	0.0400524	0.101522	0.376658	0.24826	0.112348	0.15919	0.068992	0.0783495	0.0891406	0.32795	0.0675196	0.108659	0.0342707	0.0485798	0.205007	0.191169	0.167709	0.0487519	0.165088	0.326269	0.321742	0.186901	0.171346	0.00581986	46.8945	0.0792443	0.141598	0.0130718	0.0923161	0.137452	0.0533971	0.400144	0.0456654	0.0753684	0.340473	0.0849523	18.118
200	-2759.81	-2742.12	-17.6832	0.65183	40.5342	0.0667127	0.118893	0.102942	0.0683961	0.128781	0.104072	0.212676	0.09069	0.128603	0.333844	0.0691266	0.495415	0.0698031	0.139233	0.168754	0.0457625	0.152218	0.20584	0.188089	0.318495	0.312845	0.180571	0.183865	0.0053385	45.5583	0.0313389	0.363487	0.0178964	0.0492353	0.150098	0.0549503	0.42152	0.0241994	0.061531	0.350376	0.0874234	20.2874
210	-2769.8	-2748.1	-21.7035	0.83081	40.8848	0.128495	0.184276	0.142231	0.147185	0.2813	0.230019	0.113776	0.117203	0.120964	0.356195	0.0553137	0.160956	0.111168	0.0734176	0.0299204	0.137084	0.111571	0.515946	0.175513	0.318343	0.319745	0.186399	0.195635	0.0053467	48.9655	0.0336266	0.285349	0.0134266	0.0470531	0.167612	0.0544032	0.417322	0.0496217	0.0510719	0.341028	0.0865528	19.9793
