Iteration	Posterior	Likelihood	Prior	turnover	diversification	birth_rate	death_rate	root_time	tmrca_Ursidae	tmrca_UrsidaePinn	base_rate	clock_rate	sf[1]	sf[2]	sf[3]	sf[4]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]
250	-2792.34	-2751.17	-41.1766	0.445601	0.0365245	0.0658812	0.0293567	58.1028	18.0632	35.989	0.00517983	0.182961	0.180303	0.307374	0.33339	0.178933	0.0584886	0.401647	0.0417745	0.0865411	0.388749	0.0227994
260	-2789.87	-2746.39	-43.483	0.488672	0.0513248	0.100376	0.0490507	61.144	16.8624	35.4172	0.00546424	0.159618	0.17796	0.33844	0.316625	0.166976	0.0718896	0.346357	0.0401533	0.0746279	0.382384	0.0845888
270	-2793.52	-2753.08	-40.4341	0.573866	0.0468968	0.110052	0.0631549	56.3429	18.7039	35.4381	0.00546399	0.165583	0.174771	0.332376	0.316072	0.176781	0.0590758	0.368672	0.0867361	0.0954894	0.33138	0.0586468
280	-2796.14	-2754.92	-41.2191	0.389161	0.0534892	0.0875667	0.0340775	56.2002	18.1098	35.0484	0.0057066	0.161874	0.186712	0.313998	0.337668	0.161622	0.0796228	0.263843	0.060373	0.0735794	0.46716	0.0554222
290	-2795.25	-2750.1	-45.1475	0.567242	0.0418001	0.09659	0.0547899	62.1232	18.1784	38.6838	0.00579227	0.157743	0.191238	0.319509	0.323713	0.165539	0.0711646	0.331292	0.0385944	0.0689866	0.438	0.0519628
300	-2799.17	-2750.47	-48.7022	0.244059	0.0531546	0.0703158	0.0171612	68.4616	18.5611	33.9817	0.00546528	0.158978	0.165275	0.362432	0.308732	0.163562	0.0363949	0.374541	0.0557738	0.0942542	0.376585	0.0624513
310	-2798.28	-2754.76	-43.5266	0.181975	0.0707735	0.0865175	0.015744	55.8423	16.7241	34.8337	0.00598896	0.155696	0.175264	0.336397	0.310264	0.178075	0.0244092	0.399537	0.108641	0.0780446	0.331991	0.0573775
320	-2802.86	-2757.42	-45.4389	0.686981	0.0315029	0.100642	0.0691393	63.319	18.7716	35.5967	0.00514429	0.143072	0.166532	0.328403	0.320143	0.184922	0.0784724	0.428016	0.0752658	0.059402	0.30615	0.0526935
330	-2792.21	-2752.73	-39.4856	0.480534	0.0273333	0.0526181	0.0252848	55.1651	16.0057	35.1181	0.0055865	0.174743	0.161405	0.324339	0.334119	0.180138	0.0691448	0.390146	0.0532568	0.0636795	0.366676	0.057097
340	-2793.51	-2751.61	-41.9054	0.386341	0.037893	0.0617493	0.0238563	58.5042	16.6711	34.1494	0.00510999	0.173227	0.177012	0.31282	0.316351	0.193817	0.0785633	0.361889	0.0472661	0.0664372	0.39517	0.0506744
350	-2794.58	-2752.56	-42.0203	0.426175	0.0608293	0.106007	0.0451774	56.9118	19.7531	34.0366	0.00570221	0.160972	0.185217	0.331885	0.328568	0.154329	0.0790612	0.364183	0.037983	0.0668583	0.38048	0.0714342
360	-2795.65	-2752.54	-43.1028	0.369549	0.0469938	0.0745401	0.0275462	58.5807	15.892	34.0237	0.00492723	0.18526	0.177362	0.321397	0.318455	0.182786	0.0855052	0.361953	0.0289226	0.0773801	0.337609	0.10863
370	-2791.33	-2746.31	-45.0197	0.166293	0.0518301	0.0621682	0.0103381	62.6616	17.8933	34.1696	0.00556055	0.149478	0.186733	0.308917	0.334846	0.169504	0.0648908	0.372352	0.0373232	0.101468	0.35597	0.0679965
380	-2798.93	-2750.45	-48.4801	0.747049	0.0178297	0.0704868	0.0526571	68.3883	16.6425	36.9548	0.00518597	0.154078	0.191465	0.35723	0.280953	0.170353	0.0536458	0.397387	0.0412787	0.0808024	0.361827	0.0650594
390	-2797.26	-2747.4	-49.8586	0.588001	0.0240781	0.0584422	0.0343641	71.1211	19.8999	34.5475	0.00515857	0.157596	0.165788	0.320418	0.347046	0.166748	0.0572399	0.344879	0.052594	0.0676349	0.401531	0.0761221
400	-2789	-2747.15	-41.8447	0.46443	0.0284122	0.0530503	0.0246381	59.1028	17.6642	34.404	0.00535075	0.170717	0.171414	0.331291	0.324889	0.172406	0.0454147	0.387763	0.0549163	0.0655201	0.397391	0.0489949
410	-2793.05	-2753.24	-39.8102	0.36934	0.0310762	0.0492757	0.0181995	55.4952	16.6629	33.9759	0.00527511	0.181686	0.181787	0.339297	0.31273	0.166187	0.0639466	0.374038	0.0529726	0.0632011	0.383326	0.0625157
420	-2795.57	-2751.99	-43.5779	0.122109	0.0480807	0.0547683	0.00668769	59.9509	17.5064	36.4889	0.00519229	0.193887	0.181639	0.339586	0.316993	0.161782	0.050052	0.376684	0.0341745	0.074649	0.390601	0.0738394
430	-2795.82	-2752.43	-43.3821	0.507147	0.033964	0.0689132	0.0349491	59.6055	17.1864	37.5104	0.00491656	0.170042	0.185021	0.33111	0.320098	0.163771	0.0534801	0.333356	0.0639162	0.0660624	0.373599	0.109587
440	-2790.18	-2749.16	-41.0199	0.418566	0.0324017	0.0557273	0.0233255	57.2439	17.6333	37.2854	0.00562525	0.148802	0.182553	0.333852	0.318467	0.165128	0.0674485	0.388266	0.0611693	0.0738638	0.328666	0.0805864
450	-2794.69	-2749.63	-45.0559	0.62973	0.0481094	0.129931	0.0818212	55.3616	16.64	34.669	0.00638162	0.152619	0.184397	0.32463	0.316451	0.174522	0.0594239	0.354471	0.0538917	0.065076	0.392517	0.0746205
460	-2792.45	-2749.97	-42.4838	0.643701	0.0168679	0.0473421	0.0304741	59.3769	16.2142	34.6162	0.00542568	0.140245	0.186233	0.334596	0.307837	0.171335	0.0796465	0.382592	0.0533782	0.0680522	0.344081	0.0722503
470	-2796.1	-2754.65	-41.452	0.602767	0.0236315	0.0594902	0.0358587	57.8001	17.6434	34.1571	0.00549561	0.16214	0.195323	0.317778	0.315122	0.171777	0.0411788	0.363308	0.102635	0.069683	0.352326	0.0708687
480	-2792.58	-2752.41	-40.1686	0.421634	0.046999	0.0812616	0.0342627	55.2834	17.5311	34.7403	0.00563334	0.16674	0.183785	0.32847	0.326115	0.16163	0.0692562	0.378822	0.0200212	0.0863647	0.367372	0.0781636
490	-2793.97	-2755.32	-38.6431	0.393449	0.0501586	0.0826948	0.0325362	53.7364	17.4283	34.6452	0.00555184	0.161467	0.176162	0.35174	0.320052	0.152046	0.0590549	0.326339	0.0765551	0.0780268	0.423041	0.0369826
500	-2793.08	-2753.7	-39.3795	0.69232	0.0262147	0.0852011	0.0589864	54.6023	17.971	35.1988	0.00514944	0.193012	0.169294	0.350595	0.322292	0.157818	0.0494416	0.404663	0.0640931	0.0874777	0.363362	0.0309624
510	-2795.2	-2753.39	-41.8139	0.405287	0.0596309	0.100268	0.0406374	54.655	16.9448	35.2953	0.00483531	0.194928	0.197766	0.299718	0.346245	0.15627	0.0699131	0.346765	0.0549227	0.0847454	0.369926	0.073728
520	-2793.25	-2748.26	-44.9851	0.170729	0.032007	0.0385966	0.00658957	62.3502	17.9985	35.8826	0.00518452	0.170028	0.188669	0.331931	0.330318	0.149082	0.0540083	0.317015	0.0821934	0.0683713	0.398908	0.0795043
530	-2792.61	-2752.95	-39.6575	0.321576	0.0649463	0.0957311	0.0307848	54.3973	17.2579	34.0649	0.00555877	0.184367	0.178787	0.33826	0.314349	0.168603	0.0395265	0.451808	0.060154	0.098381	0.291944	0.0581859
540	-2792.74	-2747.82	-44.9134	0.722534	0.0207442	0.0747629	0.0540187	63.3713	18.2325	34.373	0.00540637	0.153027	0.161097	0.345539	0.331248	0.162116	0.0538126	0.388838	0.0815871	0.0657958	0.35371	0.0562565
