Iteration	Posterior	Likelihood	Prior	sf[1]	sf[2]	sf[3]	sf[4]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	mean_rt	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	death_rate	root_time	tmrca_Ursidae	birth_rate	tmrca_UrsidaePinn	base_rate	node_rates[1]	node_rates[2]	node_rates[3]	node_rates[4]	node_rates[5]	node_rates[6]	node_rates[7]	node_rates[8]	node_rates[9]	node_rates[10]	node_rates[11]	node_rates[12]	node_rates[13]	node_rates[14]	node_rates[15]	node_rates[16]	node_rates[17]	node_rates[18]	turnover	root_rate	nu	diversification
100	-2736.94	-2742.77	5.83447	0.175115	0.329882	0.310874	0.184129	0.0830312	0.370907	0.0627369	0.0577793	0.371678	0.053868	0.125409	0.000549104	0.000582888	0.000570292	0.00050404	0.000529522	0.000503483	0.000621123	0.000512653	0.000678557	0.00150511	0.000522657	0.000527747	0.000543185	0.00052387	0.00057681	0.000597951	0.000667785	0.000731098	0.0402703	54.7516	18.4644	0.0806054	43.2262	0.00525762	0.109229	0.114732	0.109941	0.0940439	0.103737	0.0903992	0.116508	0.0873203	0.111791	0.440768	0.0976932	0.101126	0.106998	0.0996295	0.0996507	0.119768	0.107693	0.146333	0.499598	0.131777	0.478926	0.0403351
110	-2738.65	-2745.3	6.65582	0.153579	0.340532	0.333598	0.17229	0.0554461	0.421635	0.0644035	0.0593142	0.351087	0.0481141	0.105626	0.000394793	0.000451752	0.000397969	0.000487579	0.000401881	0.000537701	0.00043502	0.000360152	0.000825473	0.00144928	0.000491324	0.000503226	0.000465082	0.000486254	0.000462438	0.000454671	0.00071741	0.00113061	0.039226	48.1519	19.8181	0.0591074	34.9679	0.00515261	0.061834	0.0921608	0.0712845	0.0965405	0.0632767	0.110716	0.0807638	0.0514024	0.130337	0.313767	0.0927147	0.0979941	0.0831882	0.0973346	0.0914062	0.0880903	0.0883917	0.190073	0.66364	0.248775	1.29814	0.0198814
120	-2730.87	-2743.22	12.3476	0.181684	0.328344	0.322614	0.167359	0.0552964	0.418351	0.0369681	0.0900825	0.362013	0.0372896	0.128812	0.000554248	0.000528493	0.000561247	0.000487885	0.000485392	0.000499551	0.000516448	0.000803351	0.000634846	0.00191679	0.000494476	0.000500474	0.000516711	0.000515888	0.000562542	0.000665014	0.000726863	0.000812053	0.039742	49.6151	21.5557	0.0796757	43.9726	0.00541687	0.107542	0.0977295	0.109823	0.0889703	0.08805	0.0930388	0.0800766	0.161681	0.100955	0.541327	0.091165	0.0914037	0.0973989	0.0933796	0.097095	0.110605	0.134929	0.133441	0.498797	0.166383	0.486377	0.0399338
130	-2736.51	-2743.38	6.86518	0.181826	0.329407	0.318028	0.170739	0.0516165	0.340969	0.0956894	0.074495	0.337922	0.0993084	0.119542	0.000712035	0.000534574	0.000569574	0.000568785	0.000656811	0.000600569	0.000618354	0.000562265	0.0006788	0.00172512	0.000580702	0.000567987	0.000566038	0.000593956	0.000611755	0.000594368	0.000711451	0.000900446	0.0440776	47.3654	21.4023	0.088243	43.9474	0.005996	0.134182	0.0843009	0.0959752	0.0906848	0.120046	0.105663	0.105523	0.0900249	0.086631	0.414862	0.0990367	0.0946595	0.0940092	0.0947957	0.103322	0.100733	0.0975218	0.139786	0.499503	0.160562	1.31648	0.0441653
140	-2741.05	-2740.49	-0.560454	0.182162	0.330824	0.310757	0.176257	0.0580173	0.385144	0.0717444	0.106127	0.315497	0.0634705	0.125035	0.000450564	0.000492522	0.0005255	0.000399308	0.000518625	0.000447989	0.000390244	0.000521757	0.00081048	0.0018779	0.000458843	0.000472015	0.000484617	0.000478982	0.000443754	0.000429104	0.000627108	0.0010328	0.014296	47.1902	18.476	0.052009	34.6175	0.00496303	0.0875957	0.102233	0.115523	0.0671737	0.115256	0.0893654	0.0724091	0.122189	0.161964	0.505199	0.0937394	0.091165	0.0962435	0.0990476	0.0939726	0.0848514	0.0880688	0.164643	0.274876	0.251556	4.13554	0.037713
150	-2744.09	-2743.26	-0.829032	0.180107	0.333675	0.308443	0.177775	0.0663175	0.339258	0.0363276	0.0967099	0.405478	0.0559086	0.0909986	0.000322799	0.000307973	0.000284961	0.000361135	0.000451533	0.000344054	0.000503882	0.000590796	0.000716554	0.00186457	0.00042682	0.000414342	0.000374984	0.000403851	0.000428707	0.000574596	0.000859484	0.00171137	0.0176268	48.8722	21.3488	0.0406081	39.91	0.00536496	0.0508038	0.0560378	0.0474593	0.0489567	0.0826565	0.0548161	0.0975569	0.0963244	0.0706355	0.253599	0.0856704	0.0734436	0.0587712	0.0810189	0.0695324	0.0902851	0.123918	0.196488	0.434071	0.441493	2.40992	0.0229813
160	-2735.35	-2740.75	5.39157	0.180208	0.327762	0.324825	0.167205	0.0468662	0.367515	0.0353438	0.0674614	0.411313	0.0715013	0.0901308	0.000353139	0.00034059	0.000354017	0.000350486	0.000338291	0.000365823	0.000595219	0.000503834	0.000700843	0.00126726	0.000352448	0.000336019	0.000334035	0.000341875	0.000422538	0.000550877	0.000900021	0.00138045	0.0671235	48.09	19.8636	0.102959	37.9918	0.00515307	0.0648505	0.0630229	0.0682344	0.069175	0.0644419	0.072046	0.13923	0.0735273	0.0447152	0.183366	0.066855	0.0699364	0.0691661	0.0604787	0.0722092	0.0917854	0.12202	0.227294	0.651944	0.308482	2.33492	0.0358355
170	-2739.08	-2740.41	1.32329	0.182815	0.325298	0.32527	0.166617	0.0878861	0.345795	0.0317618	0.0841943	0.376903	0.07346	0.111488	0.000385511	0.00040617	0.000373126	0.00045521	0.000536132	0.000486018	0.000573806	0.000448296	0.000933785	0.00137214	0.000478629	0.000434652	0.000415872	0.000417732	0.00046975	0.000474997	0.000834245	0.00136564	0.0531648	47.5409	20.407	0.0808147	34.2191	0.00494091	0.068257	0.0773721	0.0639965	0.0851611	0.117917	0.102092	0.129912	0.0915471	0.130208	0.250403	0.0991005	0.0946408	0.0870387	0.0812993	0.0877917	0.102355	0.0899159	0.247773	0.657861	0.305017	1.92889	0.0276499
180	-2734.93	-2742.77	7.83342	0.200843	0.314228	0.309497	0.175433	0.0744687	0.324217	0.0583174	0.0713405	0.409411	0.062245	0.12446	0.000419248	0.000458117	0.000468156	0.000488758	0.00051448	0.000490454	0.000565872	0.0006373	0.000627471	0.00165849	0.000490317	0.000485846	0.000463772	0.000474714	0.000507006	0.000558504	0.000785725	0.000992331	0.0203427	46.5143	18.3665	0.0581349	39.7433	0.00500601	0.073753	0.093653	0.0976636	0.0975698	0.107846	0.0977536	0.117263	0.140294	0.051094	0.465738	0.0976987	0.0981924	0.0893737	0.0959124	0.0937449	0.108814	0.11432	0.199593	0.349921	0.196863	0.851923	0.0377923
190	-2729.94	-2744.07	14.1297	0.186641	0.322206	0.31719	0.173963	0.0599267	0.455972	0.0803935	0.0574094	0.290277	0.0560217	0.105787	0.00053922	0.000502304	0.00049318	0.000497676	0.000502155	0.000504445	0.000518799	0.000516917	0.000943001	0.00151638	0.000498252	0.000498356	0.000498329	0.000542828	0.000588031	0.000574634	0.000682287	0.000977054	0.0216109	54.7806	17.8833	0.0478919	33.9886	0.0059944	0.0814576	0.0839875	0.0809435	0.0834202	0.0849148	0.0846926	0.0753514	0.0784862	0.180966	0.313605	0.0826266	0.0836126	0.0836034	0.0826613	0.0984503	0.097743	0.0939805	0.133661	0.451243	0.192328	0.385631	0.026281
