Iteration	Posterior	Likelihood	Prior	sf[1]	sf[2]	sf[3]	sf[4]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	mean_rt	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	death_rate	root_time	tmrca_Ursidae	birth_rate	tmrca_UrsidaePinn	base_rate	node_rates[1]	node_rates[2]	node_rates[3]	node_rates[4]	node_rates[5]	node_rates[6]	node_rates[7]	node_rates[8]	node_rates[9]	node_rates[10]	node_rates[11]	node_rates[12]	node_rates[13]	node_rates[14]	node_rates[15]	node_rates[16]	node_rates[17]	node_rates[18]	turnover	root_rate	nu	diversification
1250	-2746.41	-2744.52	-1.8946	0.173765	0.320583	0.3144	0.191252	0.0409708	0.406788	0.0231583	0.0964551	0.354428	0.0781993	0.175162	0.000720572	0.000729987	0.00077885	0.000668473	0.000757998	0.000732631	0.000709961	0.000601959	0.00101499	0.00149242	0.000680486	0.000695226	0.000723928	0.000704181	0.00070751	0.000706192	0.000910108	0.00104037	0.0255944	53.7392	17.425	0.0762876	34.9849	0.0046794	0.159024	0.154608	0.175493	0.13999	0.178253	0.168006	0.15	0.108892	0.193217	0.433804	0.145719	0.145124	0.157392	0.152019	0.148952	0.153441	0.148389	0.240596	0.335499	0.204065	1.36492	0.0506932
1260	-2742.71	-2747.19	4.47852	0.201113	0.312297	0.30254	0.18405	0.10367	0.389259	0.0222977	0.0837976	0.325682	0.0752933	0.152814	0.000848948	0.000791317	0.000792941	0.000666703	0.000732191	0.000735441	0.00053683	0.000521864	0.000919298	0.00190476	0.000752954	0.000806441	0.000788249	0.000791591	0.000692003	0.000595844	0.000793426	0.00139861	0.048389	50.6178	18.914	0.101553	39.0709	0.00525133	0.175588	0.154912	0.15553	0.120545	0.145487	0.126703	0.0886401	0.0876391	0.159055	0.383833	0.133373	0.153394	0.146466	0.153743	0.147739	0.115815	0.111116	0.191065	0.476488	0.341605	1.5565	0.0531644
1270	-2741.8	-2744.99	3.18986	0.196333	0.309417	0.313355	0.180895	0.0646522	0.345651	0.0488872	0.108803	0.34186	0.090146	0.144597	0.00069645	0.000851768	0.00078755	0.000734969	0.000730311	0.000719267	0.000850966	0.000560181	0.000736491	0.00162588	0.000787667	0.000792518	0.000805088	0.000742912	0.000690345	0.000735937	0.000933208	0.00137389	0.0901567	47.6595	19.8192	0.101066	35.4614	0.00542612	0.129758	0.164089	0.140419	0.125805	0.124087	0.119884	0.186147	0.0627266	0.0712416	0.2931	0.145096	0.145228	0.149862	0.146883	0.126944	0.127508	0.143749	0.20022	0.892056	0.306179	1.73325	0.0109095
1280	-2737.49	-2747.17	9.67237	0.180177	0.329878	0.330339	0.159606	0.0784463	0.301586	0.055225	0.0949325	0.420537	0.0492736	0.154475	0.000780743	0.000742793	0.000786383	0.000696449	0.00071734	0.000725312	0.000808119	0.000664997	0.000796157	0.00154047	0.000743554	0.000750284	0.000751668	0.000741906	0.000785555	0.000827925	0.000924707	0.00118577	0.0638423	50.0337	21.2513	0.0913194	39.6906	0.00518987	0.158872	0.140486	0.157284	0.127076	0.135127	0.134282	0.150695	0.0979394	0.108789	0.334714	0.141312	0.145228	0.145762	0.143906	0.142	0.160727	0.158328	0.198023	0.69911	0.258933	0.683003	0.027477
1290	-2741.49	-2741.36	-0.132601	0.176099	0.315838	0.332855	0.175208	0.0568298	0.387698	0.0533	0.0545879	0.390379	0.0572056	0.138238	0.000717011	0.000751708	0.000713061	0.000716793	0.000663278	0.000593298	0.00059765	0.000469621	0.000698913	0.00153297	0.00073118	0.000731748	0.000742566	0.000744683	0.000765079	0.000656831	0.000728935	0.00113229	0.130769	49.558	19.5	0.165427	34.3642	0.00515055	0.132057	0.146352	0.131345	0.135755	0.114974	0.0890408	0.0813499	0.078027	0.0926727	0.334307	0.142582	0.141341	0.145542	0.142802	0.146364	0.150722	0.10433	0.178721	0.790496	0.260958	2.08396	0.0346576
1300	-2734.29	-2743.87	9.58193	0.179793	0.338141	0.311624	0.170442	0.0710168	0.363758	0.0558106	0.106071	0.329306	0.0740376	0.160015	0.000766895	0.000663844	0.00065629	0.000653821	0.00068578	0.000679379	0.0007141	0.00067926	0.000816998	0.00167552	0.000688152	0.000704131	0.000678128	0.000720654	0.000756269	0.000724517	0.00073764	0.000857472	0.0352013	46.704	20.3989	0.078692	34.3653	0.00502029	0.159629	0.135517	0.132507	0.12563	0.138362	0.131347	0.12909	0.137366	0.164855	0.486521	0.134842	0.139307	0.128948	0.141207	0.145889	0.155396	0.13324	0.160624	0.44733	0.180979	0.73939	0.0434907
1310	-2735.15	-2744.74	9.5874	0.169057	0.3505	0.306124	0.174319	0.0734139	0.390442	0.0900236	0.0644468	0.33669	0.044984	0.13576	0.000648994	0.000737736	0.00068234	0.00071635	0.000708222	0.000719145	0.000530797	0.000447584	0.000559546	0.00162725	0.000717339	0.00069495	0.000683547	0.000680106	0.000603754	0.000522998	0.000580538	0.00085113	0.022162	51.3189	19.2551	0.0670193	35.0028	0.00529455	0.114224	0.146446	0.12552	0.136165	0.133095	0.135116	0.103372	0.0686476	0.0924961	0.412049	0.134434	0.136538	0.132231	0.125977	0.130931	0.0971348	0.100426	0.118871	0.33068	0.202641	0.866914	0.0448573
1320	-2741.63	-2745.06	3.43108	0.191341	0.316928	0.320785	0.170946	0.0961654	0.386474	0.0647974	0.0637919	0.333268	0.0555027	0.142183	0.000799187	0.000717783	0.000746003	0.000644276	0.000699994	0.000668663	0.000847262	0.000517748	0.000572832	0.00175154	0.000706343	0.000754466	0.000743217	0.000782312	0.000794139	0.000704947	0.000641939	0.00111895	0.00709621	47.3274	18.5114	0.0341872	35.1053	0.00537047	0.150075	0.134319	0.144828	0.114063	0.134813	0.111837	0.167331	0.0784809	0.0885963	0.360309	0.125869	0.137178	0.132988	0.143791	0.147548	0.148195	0.114332	0.12473	0.207569	0.291976	1.59059	0.027091
1330	-2738.55	-2740.61	2.06199	0.179991	0.339639	0.316517	0.163852	0.0366266	0.364829	0.0761014	0.073069	0.381735	0.0676398	0.124523	0.000760038	0.000685503	0.000596302	0.00060867	0.00066195	0.0006305	0.000538274	0.00058853	0.000616551	0.00117937	0.000659738	0.000675465	0.000674677	0.000698625	0.000614485	0.000551299	0.0007147	0.00117191	0.0152676	57.9271	18.9684	0.0608762	40.1845	0.00518406	0.157897	0.138381	0.103967	0.106687	0.127242	0.116857	0.105922	0.116107	0.0730814	0.167661	0.128137	0.126389	0.126085	0.134204	0.135324	0.101743	0.110947	0.164783	0.250798	0.287339	1.56047	0.0456086
1340	-2743.18	-2744.86	1.68192	0.187971	0.320778	0.317781	0.173471	0.0708578	0.325283	0.066708	0.0948855	0.387794	0.0544716	0.146305	0.000868443	0.000713874	0.000714404	0.000737788	0.000689196	0.000757954	0.00058194	0.000456793	0.000915387	0.00161043	0.000751338	0.000801936	0.00078209	0.000787953	0.000652435	0.000602584	0.000862712	0.00127959	0.0252817	45.1283	18.8704	0.0957724	35.7415	0.00532171	0.189517	0.13363	0.133829	0.137024	0.118762	0.142738	0.110368	0.0535457	0.137922	0.330437	0.140251	0.142116	0.134658	0.159267	0.136861	0.108337	0.118126	0.206098	0.263977	0.274796	1.1518	0.0704907
1350	-2737.97	-2744.92	6.94857	0.187837	0.315001	0.317555	0.179607	0.0594635	0.40054	0.0497969	0.055887	0.321412	0.112901	0.137424	0.000717307	0.000646357	0.000570482	0.000778946	0.000759774	0.000739585	0.000657393	0.000639948	0.000880256	0.00155182	0.000745313	0.000694863	0.00062888	0.000642663	0.000662504	0.000748741	0.000905216	0.00128876	0.100857	53.1908	18.4872	0.131208	34.7302	0.00549628	0.145022	0.12422	0.0966104	0.147226	0.14025	0.134134	0.114133	0.0854925	0.138291	0.277743	0.136218	0.134988	0.110978	0.11786	0.115993	0.12508	0.147373	0.182019	0.768685	0.286937	0.600926	0.0303503
1360	-2745.34	-2748.67	3.33188	0.175179	0.344409	0.311582	0.16883	0.0658184	0.38416	0.0812559	0.064029	0.296453	0.108284	0.136117	0.000714676	0.000794778	0.000809469	0.000644778	0.000820371	0.000726984	0.000614858	0.000643923	0.000862832	0.00101713	0.000686626	0.000673811	0.000738347	0.000693692	0.000656236	0.000596571	0.000790057	0.00108763	0.0244382	51.5221	19.7427	0.052052	35.0263	0.00541301	0.130452	0.143549	0.148977	0.110799	0.175677	0.142345	0.118318	0.126355	0.138451	0.154302	0.127434	0.126261	0.150106	0.122699	0.133606	0.10886	0.111562	0.180349	0.469496	0.221508	1.74692	0.0276138
1370	-2737.08	-2743.35	6.26666	0.171706	0.330078	0.32171	0.176506	0.0660752	0.363171	0.0815729	0.0828649	0.29761	0.108706	0.130792	0.000567388	0.000720787	0.000729504	0.000696156	0.000729166	0.000664918	0.000604277	0.000528496	0.000772117	0.0017144	0.000714042	0.000666363	0.000683407	0.000603502	0.000575477	0.000622554	0.000747614	0.00100132	0.00879797	46.077	18.9459	0.0550381	33.9247	0.00570606	0.0968651	0.122625	0.12568	0.11777	0.129341	0.109017	0.112102	0.0667324	0.127096	0.393472	0.126235	0.12404	0.130014	0.109523	0.102007	0.0997002	0.118508	0.143534	0.159852	0.207434	1.13645	0.0462401
1380	-2736.65	-2743.9	7.24801	0.20064	0.307332	0.320445	0.171583	0.0806005	0.343602	0.0374605	0.108942	0.341015	0.0883804	0.125043	0.000592308	0.000608211	0.000588177	0.000720268	0.000687841	0.000639986	0.000614329	0.000557501	0.000837856	0.0012483	0.000671995	0.000651102	0.000621607	0.000614378	0.000606135	0.000573491	0.0007548	0.0011563	0.0570937	60.7147	18.7284	0.103575	36.6994	0.00542554	0.109236	0.112434	0.105048	0.140437	0.128484	0.113274	0.112125	0.108438	0.127688	0.215081	0.125073	0.122642	0.11177	0.117372	0.109105	0.114333	0.0970717	0.181168	0.551233	0.245074	0.553153	0.0464809
1390	-2726.77	-2742.27	15.4925	0.178493	0.311247	0.339258	0.171003	0.0617675	0.404562	0.0729599	0.0737149	0.319267	0.0677296	0.133312	0.000585653	0.000607447	0.000594267	0.000603101	0.000619532	0.000627205	0.000686286	0.000685283	0.000881055	0.00148745	0.000635504	0.000635771	0.00061828	0.000634014	0.000629152	0.00066536	0.000780719	0.00106043	0.0409195	51.5024	18.8289	0.048106	35.1317	0.00537154	0.100297	0.11427	0.109363	0.10635	0.112468	0.115114	0.139034	0.123911	0.168601	0.318439	0.118204	0.118415	0.111903	0.118304	0.117761	0.116493	0.131242	0.159445	0.850612	0.235389	0.402462	0.00718647
1400	-2735.38	-2745.94	10.558	0.179605	0.306956	0.341371	0.172068	0.0726909	0.278476	0.0625383	0.0834321	0.45554	0.0473229	0.143017	0.0006677	0.000641935	0.000658579	0.000676255	0.000666078	0.000630829	0.000699034	0.0006412	0.000812881	0.00159013	0.000630601	0.000605488	0.000629722	0.000621066	0.000637391	0.000644532	0.000749082	0.00109409	0.016505	49.0479	17.7441	0.102771	36.4449	0.00518135	0.136237	0.122951	0.129376	0.133104	0.129176	0.128018	0.145289	0.123252	0.148878	0.356366	0.12793	0.115482	0.124836	0.118237	0.121495	0.124538	0.124251	0.164894	0.160599	0.257423	0.534179	0.0862663
1410	-2726.22	-2742.67	16.4518	0.186431	0.321511	0.32658	0.165478	0.0658575	0.352058	0.0525258	0.0755889	0.412716	0.0412532	0.142287	0.000684237	0.000660636	0.000672892	0.000707663	0.000753268	0.000704419	0.000671385	0.000712712	0.00111764	0.00147482	0.000701874	0.000685612	0.000668027	0.000682423	0.000686815	0.000713714	0.000876051	0.00129937	0.0509151	49.0849	17.7573	0.0966873	34.2588	0.00548257	0.124348	0.120991	0.125461	0.128532	0.145168	0.130547	0.119628	0.124923	0.223199	0.248512	0.129618	0.12642	0.120005	0.123686	0.125256	0.125289	0.135069	0.184508	0.526595	0.289492	0.462833	0.0457723
1420	-2744.83	-2743.3	-1.53295	0.183832	0.335999	0.322027	0.158141	0.0547446	0.321676	0.108048	0.0801151	0.395502	0.0399143	0.127776	0.000566073	0.0005877	0.00065464	0.000613303	0.000778831	0.00073438	0.000529188	0.000450069	0.000482817	0.00176204	0.000700479	0.000692722	0.000666111	0.000656004	0.000532889	0.000463249	0.000505994	0.000700433	0.00851682	46.9379	18.0131	0.0315	43.3637	0.00555451	0.0906257	0.0947738	0.118877	0.0950307	0.154632	0.138006	0.111866	0.0739318	0.0797784	0.476318	0.1258	0.12642	0.116838	0.123007	0.113199	0.0786773	0.0881236	0.0940685	0.270375	0.158135	2.94143	0.0229832
1430	-2739.16	-2747.07	7.91544	0.164187	0.32741	0.337185	0.171217	0.0662866	0.369217	0.101327	0.0548369	0.370901	0.0374316	0.145222	0.000600096	0.000703739	0.000613188	0.000665891	0.000675931	0.000666	0.000777927	0.00066605	0.000700544	0.0016646	0.000655895	0.000641372	0.000651461	0.000633715	0.000696593	0.000700294	0.00078101	0.00103889	0.0538563	48.0911	19.6059	0.0800953	34.579	0.00520114	0.10728	0.14031	0.10549	0.130264	0.134124	0.129678	0.154751	0.131218	0.0939569	0.416029	0.125792	0.12642	0.1303	0.120208	0.123476	0.144386	0.124899	0.175424	0.672402	0.224063	1.31609	0.026239
1440	-2732.47	-2741.32	8.85318	0.181056	0.330244	0.328252	0.160448	0.048882	0.352265	0.0502697	0.0886913	0.390117	0.0697749	0.155548	0.000741465	0.000701696	0.00071762	0.000667404	0.000643961	0.00066168	0.000819575	0.000794829	0.000873082	0.00152317	0.000659262	0.000674112	0.000714137	0.000711598	0.000750625	0.000720802	0.000834531	0.000972966	0.0661651	48.7616	16.6037	0.11932	34.8913	0.0052237	0.143113	0.126914	0.133011	0.129537	0.120561	0.126918	0.167171	0.174963	0.144114	0.400819	0.125992	0.12642	0.141744	0.131678	0.140772	0.14662	0.129354	0.190164	0.554517	0.182356	1.40742	0.0531552
1450	-2734.2	-2745.71	11.5149	0.182627	0.333108	0.322426	0.161839	0.0371863	0.453314	0.02396	0.0832759	0.323707	0.0785566	0.128226	0.000691037	0.00064672	0.000594475	0.000607302	0.000589897	0.00063824	0.000597944	0.000583524	0.000899116	0.00145025	0.000607774	0.000625386	0.000627951	0.000624795	0.000633263	0.000627907	0.000764439	0.00142735	0.0700365	48.6958	18.333	0.0985614	35.5687	0.00522423	0.144632	0.126458	0.106456	0.119965	0.113301	0.124193	0.106397	0.105523	0.169427	0.183549	0.11253	0.120145	0.121127	0.119272	0.119919	0.122514	0.117868	0.174783	0.710588	0.371653	1.57288	0.0285249
1460	-2741.59	-2746.66	5.07619	0.191002	0.323267	0.326388	0.159343	0.0800457	0.264734	0.100986	0.0869737	0.388153	0.079108	0.133313	0.000498112	0.000568554	0.000546818	0.000538748	0.000583033	0.000485905	0.000564985	0.000576291	0.0010361	0.00159312	0.000523305	0.00051293	0.000555786	0.00053951	0.000567655	0.000562296	0.000679284	0.0009605	0.0353322	47.6632	18.5569	0.0657162	34.4222	0.00512026	0.0879746	0.109132	0.100642	0.10224	0.119538	0.093589	0.105548	0.120605	0.243873	0.407939	0.108198	0.0962082	0.112948	0.104145	0.106591	0.115138	0.104497	0.160835	0.537648	0.214342	1.49367	0.030384
1470	-2739.91	-2748.19	8.27427	0.174024	0.330891	0.328471	0.166614	0.0853678	0.374726	0.10599	0.0868543	0.282103	0.0649584	0.128835	0.000691586	0.000624142	0.000616515	0.000548212	0.00058933	0.000573312	0.00049867	0.000563539	0.00088538	0.00140037	0.000588325	0.00059824	0.000597453	0.000617491	0.000596136	0.000610245	0.000910606	0.00129446	0.012135	54.2052	16.0386	0.063296	39.7592	0.00516016	0.14407	0.125696	0.12274	0.10097	0.116907	0.10569	0.0862025	0.0889722	0.11967	0.264539	0.111509	0.116518	0.116212	0.115352	0.123979	0.107075	0.129447	0.22349	0.191718	0.278224	0.967828	0.051161
1480	-2738.22	-2740.41	2.18505	0.190758	0.323369	0.32198	0.163893	0.0797044	0.398068	0.0234318	0.0911394	0.367823	0.0398326	0.117196	0.000488983	0.000605187	0.000533969	0.000643768	0.000570469	0.00054976	0.000648054	0.000567499	0.000852435	0.0013437	0.000595219	0.000591916	0.000567352	0.000604545	0.000661072	0.000614381	0.000788099	0.00150469	0.0728807	48.6225	18.6019	0.112961	34.6518	0.00526503	0.0690431	0.127313	0.100261	0.130349	0.102505	0.0969275	0.111759	0.116605	0.123407	0.139249	0.114196	0.111907	0.102576	0.112941	0.116704	0.134414	0.0989679	0.200403	0.645184	0.371177	2.71094	0.0400804
1490	-2744.58	-2744.25	-0.333406	0.181715	0.33525	0.320871	0.162164	0.102596	0.344676	0.0338622	0.0798205	0.40416	0.0348856	0.14656	0.000618814	0.000768073	0.00079694	0.000570743	0.000560641	0.000554545	0.000949815	0.000696947	0.000612724	0.00187811	0.000609867	0.000634754	0.000702106	0.000646874	0.000714488	0.000763149	0.000740155	0.00108027	0.0380892	52.625	20.0712	0.118143	39.431	0.00525901	0.111477	0.147236	0.158214	0.104369	0.100527	0.0916453	0.213352	0.122686	0.0939012	0.442536	0.112684	0.119248	0.144862	0.122148	0.123857	0.147862	0.142363	0.139118	0.322398	0.271707	2.31353	0.0800542
1500	-2731.38	-2741.94	10.563	0.182519	0.333819	0.316285	0.167377	0.103266	0.361971	0.0676452	0.0699296	0.360552	0.0366361	0.127125	0.00072147	0.000648404	0.000675201	0.000706728	0.000706485	0.000722949	0.000565685	0.000423197	0.000878939	0.00139395	0.000709009	0.000712482	0.000675467	0.000693268	0.000616583	0.000519094	0.000789637	0.00113573	0.0303016	52.4547	17.6171	0.0660743	35.4778	0.00570337	0.131966	0.112586	0.121983	0.126969	0.126884	0.125747	0.103183	0.0615572	0.118161	0.280607	0.120859	0.127769	0.114789	0.122077	0.121032	0.0951854	0.0868451	0.190057	0.458599	0.208211	0.791609	0.0357727
1510	-2728.64	-2740.62	11.9768	0.172687	0.328123	0.337314	0.161876	0.0566376	0.386651	0.0353056	0.0591877	0.406765	0.0554528	0.143685	0.000579639	0.000639025	0.000609584	0.000594226	0.000608793	0.000586917	0.00067683	0.000671496	0.000813606	0.00163177	0.000602669	0.000600631	0.0006002	0.0006012	0.000612689	0.000605649	0.000650547	0.00108117	0.04705	52.6355	16.5645	0.0705458	37.0138	0.00493614	0.112489	0.136956	0.125027	0.118715	0.124617	0.115668	0.148355	0.152559	0.185581	0.367163	0.122051	0.122136	0.121961	0.121225	0.122366	0.12588	0.119514	0.144072	0.666943	0.29399	0.692232	0.0234958
1520	-2731.31	-2744.2	12.8966	0.174036	0.323408	0.334478	0.168078	0.0935059	0.362148	0.0606932	0.0647972	0.357051	0.0618037	0.136754	0.00068549	0.000638922	0.000608216	0.000628345	0.000620049	0.00064902	0.000713056	0.000685403	0.000749937	0.00130714	0.000622537	0.000629151	0.000633965	0.00063214	0.000602273	0.000650043	0.000806793	0.00112328	0.0700227	47.9796	16.0534	0.111304	34.9766	0.00511852	0.145481	0.126572	0.114574	0.123468	0.120226	0.132398	0.165654	0.126781	0.118816	0.246056	0.122051	0.121199	0.123079	0.124635	0.122366	0.112964	0.141032	0.174213	0.629112	0.264694	1.10799	0.0412812
1530	-2734.58	-2747.49	12.9173	0.179368	0.322258	0.305733	0.192641	0.0630026	0.39113	0.0554984	0.0592512	0.363868	0.0672501	0.137243	0.000654329	0.000617292	0.000607511	0.000658079	0.000609424	0.000676605	0.000723259	0.000725459	0.000783228	0.00159917	0.000669088	0.000694912	0.000653842	0.00068272	0.000688858	0.000709218	0.000827779	0.00099234	0.0140333	46.3283	15.1855	0.0839357	37.3669	0.00554244	0.113749	0.110805	0.107276	0.122793	0.105236	0.117388	0.13478	0.13207	0.113637	0.38797	0.114676	0.126766	0.111946	0.123995	0.122366	0.126209	0.129714	0.168992	0.167191	0.189095	0.751872	0.0699024
1540	-2748.39	-2748.93	0.543128	0.185334	0.332977	0.315903	0.165786	0.0770807	0.418554	0.058534	0.0634057	0.333366	0.0490598	0.127586	0.000782032	0.000486184	0.000490996	0.000533618	0.000567641	0.00060743	0.000847732	0.000572992	0.000649887	0.00130383	0.000597392	0.000618624	0.00054722	0.000655841	0.000685365	0.000708478	0.000747413	0.0010689	0.0658539	50.3252	17.3566	0.0890546	36.5188	0.00517478	0.169772	0.0974105	0.0992704	0.0934437	0.106593	0.116674	0.195229	0.0800472	0.103716	0.238256	0.112794	0.118092	0.0904945	0.121	0.132475	0.132411	0.141408	0.147459	0.739478	0.26566	2.48172	0.0232007
1550	-2747.52	-2745.74	-1.78128	0.183627	0.321129	0.324228	0.171016	0.0565901	0.353363	0.0313684	0.064513	0.402002	0.0921632	0.123366	0.000652014	0.000710151	0.000773206	0.000572436	0.000540294	0.000683928	0.000620548	0.000397003	0.00116158	0.00175559	0.00062328	0.000650441	0.000636939	0.000639355	0.00060916	0.000561482	0.000688616	0.00167131	0.0457952	49.2086	19.8717	0.0928226	36.5086	0.00568457	0.115095	0.136399	0.158584	0.100315	0.0890059	0.122423	0.118309	0.0421491	0.26393	0.174399	0.101085	0.118203	0.113452	0.110641	0.114303	0.100018	0.0975282	0.144747	0.493362	0.44327	2.54208	0.0470274
1560	-2746.46	-2742.6	-3.86699	0.181434	0.320339	0.333178	0.165049	0.0474292	0.435666	0.0314048	0.0540695	0.360537	0.0708937	0.110394	0.0005095	0.000608574	0.000650347	0.000573049	0.000636814	0.000632123	0.000564937	0.000515944	0.000751671	0.00150162	0.000629772	0.000686279	0.000683164	0.000637416	0.000642247	0.000759882	0.000743567	0.00138296	0.0151862	51.7702	21.8449	0.0679925	38.2242	0.00568449	0.0824119	0.101174	0.115871	0.0940824	0.116517	0.108363	0.0696472	0.0432912	0.141087	0.165125	0.107536	0.114039	0.112943	0.127417	0.0968477	0.129117	0.138236	0.123377	0.223352	0.363196	3.2843	0.0528062
1570	-2733.7	-2742.66	8.96048	0.188397	0.324424	0.309812	0.177367	0.055403	0.374537	0.0563247	0.102369	0.339603	0.0717637	0.135484	0.000624009	0.000631748	0.000621837	0.000650756	0.000645799	0.000588865	0.000588841	0.000532437	0.000759393	0.00142445	0.00061654	0.000615453	0.000620775	0.000592622	0.000614076	0.000655192	0.000816416	0.00113166	0.0152046	50.5845	18.0419	0.0567238	34.4103	0.00501459	0.13561	0.127468	0.123515	0.13602	0.134043	0.112488	0.103203	0.0826894	0.106923	0.312727	0.123525	0.122373	0.124496	0.123092	0.113267	0.131648	0.129666	0.19595	0.268046	0.255396	0.829012	0.0415192
1580	-2742.48	-2744.57	2.09576	0.180671	0.32582	0.321072	0.172437	0.123207	0.410523	0.0326795	0.0724558	0.297555	0.0635793	0.156865	0.000584415	0.000637333	0.000638272	0.000589158	0.000585555	0.000596235	0.000693965	0.000518341	0.000748856	0.00210567	0.000580042	0.000582673	0.000609696	0.000589685	0.000530171	0.000519628	0.000666216	0.000879914	0.062481	46.1741	20.4119	0.094502	34.2445	0.00487394	0.117466	0.130969	0.131354	0.12321	0.121732	0.125193	0.189559	0.0946791	0.151931	0.658341	0.118549	0.119469	0.130558	0.119628	0.122347	0.0952069	0.11802	0.155359	0.66116	0.20571	0.962502	0.032021
1590	-2750.23	-2740.76	-9.46462	0.181876	0.321323	0.323214	0.173587	0.0671915	0.412052	0.0393968	0.0580933	0.366265	0.0570016	0.150805	0.000706388	0.000544019	0.000589168	0.000677646	0.0005651	0.000915892	0.000882615	0.000572639	0.00076077	0.00154542	0.000767952	0.00078229	0.000662507	0.000744307	0.000787047	0.000826092	0.000915722	0.00109169	0.0131615	50.4077	17.6485	0.0507344	36.9987	0.00508913	0.133463	0.1018	0.119543	0.123581	0.0793513	0.20087	0.181701	0.0655557	0.0985931	0.378697	0.14273	0.159071	0.111997	0.148365	0.144144	0.165161	0.159488	0.200386	0.25942	0.228644	3.22347	0.0375729
1600	-2739.67	-2747.07	7.39358	0.188944	0.338783	0.305183	0.16709	0.0397714	0.296948	0.0947226	0.104181	0.404241	0.0601354	0.152678	0.000786066	0.00076222	0.000788107	0.000747013	0.000806671	0.000781997	0.000625526	0.000501436	0.000821419	0.00144224	0.000775947	0.00077036	0.000785126	0.000750033	0.000701359	0.000613356	0.000635668	0.000958027	0.0952343	51.4484	19.7204	0.121664	35.7196	0.00513007	0.162511	0.139533	0.149625	0.140588	0.163846	0.153	0.11438	0.085854	0.182052	0.32696	0.150641	0.151868	0.157625	0.148463	0.143944	0.129487	0.109635	0.138185	0.782766	0.235309	1.1425	0.0264295
1610	-2742.48	-2740.96	-1.51512	0.185134	0.312508	0.322482	0.179876	0.0635282	0.345219	0.0286588	0.0705894	0.443347	0.0486582	0.139435	0.000490538	0.000704054	0.000593288	0.000703958	0.00072327	0.000751388	0.000745821	0.000580086	0.000699154	0.00158872	0.000737693	0.000745722	0.00069086	0.000641446	0.000609151	0.000644536	0.000717385	0.00119169	0.0316957	52.3163	17.2684	0.0621374	38.9926	0.00515031	0.080588	0.144313	0.1013	0.137294	0.144793	0.14139	0.162974	0.101621	0.116562	0.309115	0.136072	0.150394	0.129089	0.13919	0.109901	0.126648	0.123642	0.154938	0.51009	0.307825	1.84864	0.0304417
1620	-2746.38	-2741.21	-5.16181	0.169858	0.343527	0.321583	0.165033	0.0808819	0.391296	0.0468174	0.089872	0.329042	0.0620907	0.154827	0.0006428	0.000669974	0.000712341	0.000806917	0.00072299	0.000592129	0.000480835	0.000543595	0.000905738	0.00187535	0.000615357	0.000587423	0.0006367	0.000580627	0.000571934	0.000565469	0.000667542	0.000659887	0.0363153	49.6185	18.6818	0.101624	38.3596	0.00523876	0.134138	0.123105	0.13928	0.18699	0.154949	0.112199	0.0764847	0.0987327	0.199732	0.610077	0.121067	0.113858	0.132671	0.110402	0.111264	0.107084	0.108795	0.146052	0.35735	0.105873	1.84304	0.0653087
1630	-2743.41	-2745.14	1.73481	0.189513	0.333206	0.320586	0.156695	0.0514338	0.326167	0.0471481	0.0725844	0.464106	0.0385611	0.142089	0.000504574	0.000534157	0.000524574	0.00060077	0.000528698	0.000563393	0.000597429	0.000853835	0.000903177	0.00137504	0.000558992	0.000561993	0.000569272	0.000582548	0.000596553	0.000686282	0.000921227	0.00115066	0.0170278	53.1269	19.4538	0.040677	39.2891	0.00475953	0.0867497	0.10476	0.100733	0.134195	0.10391	0.120104	0.125646	0.195807	0.155398	0.31841	0.118254	0.11664	0.119698	0.119515	0.125277	0.1254	0.162982	0.224126	0.41861	0.259393	0.892867	0.0236492
1640	-2749.02	-2744.91	-4.10842	0.176382	0.297385	0.350398	0.175835	0.0678125	0.384846	0.0523082	0.0739075	0.382617	0.0385084	0.116964	0.000527645	0.000549423	0.000564703	0.000481932	0.000416166	0.000577995	0.00065174	0.00026431	0.000673095	0.00164	0.000496852	0.00048611	0.000486036	0.000514291	0.000573736	0.000489103	0.000789546	0.00140931	0.026877	48.0312	22.2976	0.0478329	43.2638	0.00501813	0.101305	0.121246	0.127336	0.091812	0.065601	0.132604	0.140079	0.030083	0.0288469	0.331357	0.100264	0.0977585	0.0977289	0.095983	0.10899	0.119675	0.0752591	0.239418	0.561892	0.32227	3.49184	0.020956
