Iteration	Posterior	Likelihood	Prior	n_cats	base_rate	mean_rt	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	sf[1]	sf[2]	sf[3]	sf[4]	birth_rate	diversification	turnover	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	concentration	death_rate	root_time	tmrca_UrsidaePinn	tmrca_Ursidae
120	-2831.87	-2772.39	-59.4797	5	0.00542831	0.0930205	0.183038	0.026273	0.026273	0.026273	0.275373	0.352	0.026273	0.026273	0.026273	0.339372	0.026273	0.026273	0.026273	0.026273	0.026273	0.026273	0.183038	0.026273	0.171955	0.326827	0.320535	0.180683	0.0501207	0.0189359	0.622194	0.0870175	0.421169	0.085169	0.0432577	0.311127	0.0522597	0.753479	0.0311848	49.4763	35.8918	17.5338
130	-2845.95	-2782.92	-63.032	3	0.00523889	0.0923373	0.16096	0.024236	0.16096	0.024236	0.16096	0.16096	0.024236	0.024236	0.024236	0.566439	0.024236	0.024236	0.024236	0.024236	0.024236	0.024236	0.16096	0.024236	0.172841	0.343358	0.322187	0.161614	0.0305706	0.0224735	0.264868	0.116139	0.372582	0.0814573	0.0491341	0.310938	0.0697494	0.753479	0.00809717	43.7289	38.7623	24.5342
140	-2831.17	-2767.3	-63.865	5	0.00517966	0.0988553	0.153903	0.0161313	0.0161313	0.0161313	0.153903	0.153903	0.0161313	0.0161313	0.0161313	0.2735	0.0161313	0.0161313	0.0161313	0.0161313	0.0161313	0.0161313	0.377706	0.472905	0.179615	0.32518	0.334813	0.160391	0.0474185	0.0430898	0.0912874	0.0516392	0.360494	0.0661531	0.0607527	0.400926	0.0600351	0.753479	0.00432871	47.7947	34.3711	23.7184
150	-2833	-2771.73	-61.2703	3	0.00577741	0.0738248	0.152417	0.0191155	0.0191155	0.0191155	0.152417	0.152417	0.0191155	0.0191155	0.0191155	0.337374	0.0191155	0.0191155	0.0191155	0.0191155	0.0191155	0.0191155	0.152417	0.152417	0.183374	0.331069	0.327451	0.158106	0.0602322	0.0364262	0.395238	0.0201017	0.345465	0.114117	0.057894	0.400785	0.0616375	0.753479	0.0238061	49.4172	38.0574	17.4722
160	-2833.35	-2769.09	-64.2678	3	0.0050579	0.0726729	0.141666	0.0169831	0.0169831	0.0169831	0.141666	0.141666	0.0169831	0.0169831	0.0169831	0.395985	0.0169831	0.0169831	0.0169831	0.0169831	0.0169831	0.0169831	0.141666	0.141666	0.1835	0.318116	0.319805	0.17858	0.0587478	0.0114124	0.805739	0.0203617	0.404396	0.0584541	0.0849173	0.369436	0.0624349	0.753479	0.0473354	48.7998	45.2431	20.0838
170	-2850.09	-2788.37	-61.7208	2	0.0049633	0.101403	0.30868	0.0216817	0.0216817	0.0216817	0.30868	0.30868	0.0216817	0.0216817	0.0216817	0.30868	0.0216817	0.0216817	0.0216817	0.0216817	0.0216817	0.0216817	0.30868	0.0216817	0.177551	0.348312	0.29335	0.180787	0.0487882	0.013272	0.727968	0.114067	0.347455	0.0588045	0.0880359	0.316313	0.0753242	0.753479	0.0355162	54.7168	36.0381	26.9491
180	-2837.57	-2772.03	-65.5488	3	0.00610149	0.0820395	0.141874	0.0161827	0.141874	0.0161827	0.357512	0.141874	0.0161827	0.0161827	0.0161827	0.357512	0.0161827	0.0161827	0.0161827	0.0161827	0.0161827	0.0161827	0.141874	0.0161827	0.170798	0.324148	0.336745	0.168309	0.0679784	0.0512915	0.245473	0.11501	0.379608	0.0882718	0.0637291	0.31316	0.0402208	0.753479	0.0166869	45.5762	42.6429	18.8411
190	-2836.16	-2775.94	-60.2154	3	0.00521897	0.0876257	0.216265	0.0147204	0.0147204	0.0147204	0.292408	0.292408	0.0147204	0.0147204	0.0147204	0.292408	0.0147204	0.0147204	0.0147204	0.0147204	0.0147204	0.0147204	0.292408	0.0147204	0.174639	0.310375	0.343497	0.17149	0.0588234	0.0361973	0.384644	0.0821434	0.400873	0.0286502	0.0534349	0.364004	0.0708943	0.753479	0.0226261	49.6944	35.9205	23.6962
200	-2840.16	-2773.14	-67.0155	3	0.00555027	0.0876615	0.143461	0.0119554	0.143461	0.0119554	0.143461	0.143461	0.0119554	0.0119554	0.0119554	0.364546	0.0119554	0.0119554	0.0119554	0.0119554	0.0119554	0.143461	0.364546	0.0119554	0.172839	0.337736	0.313942	0.175483	0.0710462	0.0624819	0.120545	0.0364333	0.310909	0.0372451	0.0694652	0.473204	0.0727436	0.753479	0.00856429	49.3075	35.7376	24.7001
210	-2829.89	-2768.88	-61.011	3	0.00559236	0.0678847	0.158696	0.0199051	0.0199051	0.0199051	0.158696	0.158696	0.0199051	0.0199051	0.0199051	0.328375	0.0199051	0.0199051	0.0199051	0.0199051	0.0199051	0.0199051	0.158696	0.0199051	0.178818	0.33111	0.310631	0.179441	0.0750129	0.0418652	0.441893	0.0976618	0.342835	0.07454	0.0765982	0.345759	0.0626062	0.753479	0.0331477	49.736	35.7565	21.2888
