Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	TL
180	-5209.25	-5226.5	17.2499	0.0054445	0.00226428	0.00192286	0.001269	0.0026514	0.00238514	0.0035033	7.48616e-05	0.106023	0.000822744	0.00174318	0.00015679	0.00131192	0.00322061	0.0043587	0.00177028	0.000262064	0.00122074	0.00222123	0.00155514	0.000623617	0.0027891	0.00119613	0.14879
190	-5201.57	-5218.77	17.2048	0.00650871	0.0012707	0.000863212	0.00144322	0.00335316	0.00148188	0.00245156	8.16452e-05	0.115844	0.000710236	0.00212889	0.000331734	0.00145058	0.00174164	0.00191061	0.00125601	0.000328056	0.00195709	0.0030931	0.000967531	0.00041998	0.00169862	0.00201093	0.153303
200	-5198.45	-5215.72	17.2722	0.00722703	0.000728799	0.00120308	0.00167824	0.00127648	0.000290291	0.0024845	0.000239484	0.113237	0.000633765	0.00344635	0.000232028	0.00125429	0.00132341	0.00272869	0.000294771	0.000659546	0.0005408	0.00237723	0.000925291	0.000852117	0.00152684	0.0014034	0.146563
210	-5198.23	-5215.56	17.3288	0.00484629	0.000905598	0.00148389	0.00138875	0.0010756	0.000659553	0.00222402	0.000158987	0.11105	0.000296512	0.00093503	0.000270164	0.00221931	0.000768428	0.00377297	0.000423091	0.000230185	0.000816575	0.00134565	0.000849689	0.000888236	0.00234233	0.00195047	0.140902
220	-5198.26	-5215.56	17.3	0.00526282	0.00137146	0.00139138	0.00202481	0.00334403	0.000595485	0.00203348	0.000159468	0.111313	0.000230082	0.00205011	0.00011654	0.00040891	0.000385344	0.00232348	0.00132284	0.000244704	0.00034613	0.00139928	0.00105437	0.000781199	0.00396733	0.00165729	0.143784
230	-5207.81	-5225.02	17.2059	0.00795771	0.000349446	0.000429576	0.0035538	0.00338178	0.000279439	0.00530408	9.14564e-05	0.111313	0.000444341	0.00432146	0.000564534	0.000324993	0.000552196	0.00183718	0.000726151	0.000475746	0.000500036	0.00193899	0.000468545	0.00179682	0.00333726	0.00324158	0.15319
240	-5199.65	-5216.98	17.3276	0.00468435	0.000650811	0.000195244	0.00310381	0.00340816	0.000169502	0.00467841	9.77067e-05	0.107413	0.000706637	0.00340045	0.000616819	0.000572485	0.00053543	0.00286468	0.000168913	0.00013133	0.000581389	0.00138401	0.000393747	0.000738263	0.00116574	0.0033621	0.141023
250	-5201.45	-5218.82	17.3745	0.00448786	0.00109204	0.000215547	0.00388328	0.00202807	0.000877106	0.00213491	0.000288407	0.108956	0.000333393	0.00188196	0.000477895	0.000893987	0.000261334	0.00171834	0.000367024	0.000181323	0.000358922	0.00105224	0.000408521	0.000774805	0.00183914	0.00182555	0.136337
260	-5205.69	-5223.07	17.3826	0.00391509	0.00109975	0.000556357	0.000986023	0.00403438	0.000865858	0.00318145	0.000815506	0.100122	0.000333942	0.00463782	0.000487649	0.0028468	0.000656973	0.00215305	0.000944871	0.000874221	0.00112688	0.000829968	0.00040628	0.000556526	0.00133655	0.00275434	0.135523
270	-5196.88	-5214.12	17.2318	0.0054864	0.000992754	0.000611656	0.00100235	0.0026574	0.000523824	0.0025453	0.000300108	0.116871	0.00025176	0.00476151	0.000350785	0.00180715	0.000625778	0.00234958	0.000670775	0.000436734	0.000726851	0.00111855	0.000885847	0.000939229	0.00216994	0.00251991	0.150605
280	-5194	-5211.21	17.2131	0.00481229	0.00279105	0.000591943	0.0013312	0.00341243	0.000703656	0.00273764	0.000378743	0.11665	0.000764501	0.00187821	0.00027304	0.00230829	0.000763864	0.00214924	0.000947202	0.000380923	0.00104213	0.00252585	0.000504367	0.00182031	0.0015411	0.002162	0.15247
290	-5195.49	-5212.74	17.2469	0.00646486	0.00151031	0.000439608	0.000881526	0.00231192	0.000311602	0.00228224	2.94361e-05	0.11665	0.00178876	0.00115159	0.000582265	0.00101416	0.00107308	0.00328278	0.00165545	0.000987337	0.00103021	0.0019666	0.000448159	0.0010969	0.000842499	0.00129261	0.149094
300	-5201.03	-5218.23	17.2075	0.00512065	0.00285403	0.00128539	0.000721966	0.00334575	0.000964218	0.00457552	1.43738e-05	0.11023	0.0015405	0.00402145	0.00091348	0.0013258	0.000901074	0.00376096	0.000457548	0.00130227	0.00138535	0.00206527	0.000328539	0.000947578	0.00266953	0.00230051	0.153031
310	-5195.32	-5212.48	17.1657	0.00441854	0.00184821	0.0014977	0.00144258	0.00276727	0.000119589	0.00484118	2.74855e-05	0.122348	0.000609175	0.00191309	0.00138894	0.00185652	0.000613785	0.00231278	0.000979505	0.000252465	0.000352778	0.00146679	0.00046185	0.00155805	0.000866459	0.00327469	0.157218
320	-5192.85	-5210.16	17.3164	0.00574991	0.00153054	0.00105498	0.00165996	0.00219071	8.53134e-05	0.00296092	6.84381e-05	0.105428	0.000473971	0.00394899	0.000312275	0.00188911	0.0013309	0.00326924	0.00134269	0.000260379	0.000653476	0.000959191	0.000296171	0.00241255	0.000941807	0.00332762	0.142147
330	-5195.36	-5212.71	17.3499	0.00626162	0.000839068	0.00129025	0.000745278	0.00398948	7.7652e-05	0.00277827	8.66496e-05	0.105428	0.00108861	0.00228311	0.000222331	0.0020065	0.00116628	0.00165671	0.000886875	0.000142955	0.00046119	0.00108334	0.000280112	0.00355551	0.00133347	0.0011311	0.138794
340	-5194.16	-5211.46	17.3015	0.00729745	0.000870744	0.000915814	0.000569489	0.00288801	0.000285523	0.0029183	0.000151961	0.107926	0.00141342	0.00251195	0.000116711	0.00143812	0.00136683	0.00215111	0.00151152	0.000357593	0.000570942	0.000985268	0.00125244	0.00207051	0.00151776	0.0025481	0.143636
350	-5194.29	-5211.6	17.3172	0.00663323	0.000723253	0.00137032	0.0018771	0.00420498	0.000153964	0.00121363	0.000250552	0.108156	0.000666228	0.001453	0.000159626	0.00100123	0.000481614	0.0027656	0.000674418	0.000596068	0.00143488	0.00142348	0.00155808	0.00230133	0.00190842	0.00105326	0.14206
360	-5193.85	-5211.17	17.3191	0.00587301	0.000658463	0.000518418	0.00210205	0.00176091	5.38409e-05	0.00121363	0.000168921	0.114758	0.000259851	0.00135079	0.000468896	0.000592911	0.000775376	0.0014284	0.00182019	0.000514031	0.00165393	0.0010702	0.00122477	0.00165506	0.00118582	0.000771154	0.141879
370	-5193.61	-5211.01	17.3985	0.00509422	0.000642954	0.000748896	0.00183927	0.00229559	0.000376603	0.00223003	0.000184129	0.101302	0.00078582	0.0030807	0.00082692	0.000592175	0.00195659	0.00257671	0.00108129	0.000580353	0.000826873	0.00085773	0.00115177	0.00159573	0.00124931	0.00205997	0.133935
380	-5198.44	-5215.74	17.3058	0.00329032	0.00193545	0.000294601	0.0039752	0.00353787	0.000711974	0.00171415	0.000380176	0.110355	0.000443031	0.0023329	0.000405157	0.00188131	0.00100369	0.00266207	0.00129851	0.000691631	0.000246419	0.000630118	0.00143366	0.00157257	0.000760947	0.00164637	0.143203
390	-5196.9	-5214.11	17.2134	0.00455241	0.00172458	0.000161807	0.00162331	0.0045741	0.000255906	0.00347077	0.000559702	0.117379	0.000103654	0.00274785	0.0016799	0.00146359	0.00104218	0.0035475	0.00052395	0.000428732	0.000324155	0.0022542	0.000684909	0.000996386	0.00129783	0.00105291	0.152449
400	-5196.17	-5213.62	17.4445	0.00343611	0.00141679	0.000246266	0.000493885	0.00260728	0.00127192	0.00192097	0.00024824	0.104504	0.000257392	0.00140539	0.000760037	0.000726886	0.00144771	0.00230734	0.000775447	0.000218716	0.000458287	0.00183524	0.000441122	0.000573002	0.00122074	0.000763104	0.129336
