Iteration	Posterior	Likelihood	Prior	dp	glr[1]	glr[2]	csf[1]	csf[2]	csf[3]
620	-49.3094	-54.3476	5.03821	0.112662	0.0702278	0.073379	0.385588	0.262117	0.352295
630	-64.2548	-67.7456	3.49084	0.0843784	0.163782	0.162846	0.55884	0.344902	0.0962579
640	-43.5343	-46.7434	3.20907	0.156425	0.169398	0.11336	0.0911978	0.342542	0.56626
650	-50.5032	-55.6106	5.1074	0.0411201	0.136266	0.0719639	0.344421	0.305831	0.349748
660	-65.1109	-68.9484	3.8375	0.0232727	0.184841	0.168226	0.364314	0.404003	0.231683
670	-55.2576	-60.5216	5.26397	0.0200756	0.126719	0.0868993	0.577691	0.409825	0.0124837
680	-52.9729	-56.7738	3.80092	0.108028	0.196282	0.0756882	0.261071	0.25723	0.481699
690	-54.3612	-57.7211	3.35991	0.153555	0.168427	0.102117	0.307498	0.151763	0.540739
700	-48.1286	-51.8531	3.72446	0.132754	0.140386	0.114505	0.230816	0.567751	0.201433
710	-56.3728	-61.3176	4.94481	0.0328027	0.143316	0.0894912	0.379654	0.593531	0.0268147
720	-51.5977	-56.4632	4.86555	0.0265425	0.164578	0.0824142	0.78009	0.164946	0.054964
730	-42.3256	-46.9066	4.58101	0.0191438	0.176719	0.106127	0.651277	0.0827376	0.265985
740	-51.7061	-55.3145	3.60833	0.0363124	0.231432	0.131513	0.484598	0.506601	0.00880121
750	-54.9044	-58.6443	3.73992	0.0265241	0.190555	0.169019	0.408509	0.300581	0.29091
760	-43.5386	-47.9658	4.42717	0.0333922	0.230124	0.0538561	0.191253	0.321133	0.487614
770	-43.0013	-46.6241	3.62281	0.180187	0.156149	0.0614735	0.515185	0.237122	0.247693
780	-55.2	-57.0098	1.80972	0.107723	0.344628	0.126767	0.579674	0.145179	0.275147
790	-47.1894	-51.5127	4.3234	0.0712849	0.168862	0.0876035	0.0902318	0.454334	0.455434
800	-58.1396	-62.5134	4.37384	0.0370248	0.165259	0.120422	0.137724	0.505317	0.356959
810	-59.7388	-65.0014	5.26261	0.0128357	0.154497	0.0664973	0.40435	0.231956	0.363694
820	-45.3259	-50.7612	5.43532	0.00448751	0.11073	0.10134	0.694965	0.218882	0.086153
830	-60.8856	-66.4848	5.59924	0.00686876	0.144113	0.0491846	0.586344	0.164728	0.248928
840	-50.9937	-56.4858	5.49207	0.039903	0.110584	0.0603963	0.302527	0.093063	0.60441
850	-46.496	-51.0477	4.55164	0.12363	0.111296	0.0699995	0.311504	0.0576801	0.630816
860	-42.0371	-46.3304	4.29325	0.151753	0.107094	0.0719191	0.185669	0.472729	0.341602
870	-50.1316	-54.8274	4.69572	0.0278279	0.16192	0.100771	0.230308	0.458681	0.311011
880	-50.4512	-54.9791	4.52792	0.132473	0.102627	0.0721994	0.240667	0.455962	0.303371
890	-55.1007	-58.8805	3.77981	0.185681	0.136244	0.0601847	0.644834	0.186158	0.169008
900	-47.2231	-51.9668	4.74378	0.0812101	0.081179	0.123323	0.492851	0.160396	0.346752
910	-42.4666	-46.1637	3.69702	0.187932	0.118191	0.0842653	0.595043	0.389411	0.015546
920	-47.2079	-51.3624	4.15449	0.131891	0.156255	0.0564948	0.208894	0.368723	0.422383
930	-57.2175	-61.3786	4.1611	0.0717591	0.101325	0.170896	0.521036	0.465319	0.0136447
940	-54.8326	-56.7184	1.88585	0.187297	0.264662	0.119547	0.0503241	0.542369	0.407307
950	-63.9495	-65.413	1.46353	0.254536	0.222148	0.137052	0.306315	0.602971	0.0907145
960	-41.2143	-46.3044	5.09014	0.0574575	0.100777	0.0928423	0.389056	0.400795	0.21015
970	-41.0716	-46.5332	5.46165	0.0555628	0.0965372	0.061825	0.203892	0.100873	0.695236
980	-55.398	-59.2189	3.82095	0.137619	0.14479	0.0955863	0.109383	0.486059	0.404557
990	-46.992	-50.7251	3.73314	0.103947	0.168864	0.113965	0.573537	0.236532	0.189931
1000	-47.0179	-52.0789	5.06105	0.094661	0.107735	0.0515888	0.323003	0.111801	0.565197
1010	-54.4564	-58.1727	3.71626	0.0186157	0.223717	0.146132	0.503225	0.176457	0.320318
1020	-43.7208	-49.1668	5.44595	0.0173284	0.119765	0.0784018	0.142034	0.310026	0.547939
1030	-45.8656	-50.9422	5.0766	0.0776128	0.0961167	0.0787006	0.101134	0.527359	0.371508
1040	-52.5835	-56.8002	4.2167	0.0552225	0.159752	0.123445	0.850655	0.0689787	0.080366
1050	-50.2625	-55.2204	4.95792	0.0606416	0.125337	0.0783198	0.633181	0.29596	0.0708588
1060	-46.4329	-50.7258	4.29295	0.0742945	0.147388	0.109112	0.354517	0.45853	0.186953
1070	-49.9721	-53.923	3.9509	0.15015	0.16077	0.0540804	0.589698	0.0900071	0.320295
1080	-65.1136	-68.8661	3.75244	0.154084	0.0943275	0.136434	0.29968	0.564533	0.135787
1090	-42.0734	-46.7101	4.6367	0.146586	0.0801424	0.0696913	0.087608	0.625972	0.28642
1100	-53.8945	-54.6842	0.789704	0.383789	0.193535	0.103796	0.34658	0.541088	0.112332
1110	-48.7527	-52.8635	4.11077	0.0781532	0.100757	0.170104	0.310539	0.00540236	0.684058
1120	-43.6668	-46.7127	3.04595	0.251708	0.0929084	0.110878	0.205733	0.393332	0.400934
