Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	alpha	pinvar	TL
0	-5109.92	-5107.12	-2.79805	0.122759	0.247216	0.0206402	0.206951	0.248831	0.153603	0.299445	0.210868	0.201131	0.288556	0.90192	0.00423979	2.42051
10	-5120.41	-5106.27	-14.1398	0.159798	0.213601	0.0143582	0.202662	0.261299	0.148282	0.304089	0.202542	0.19049	0.302879	0.674213	0.00719373	3.55469
20	-5113.27	-5111.97	-1.29892	0.145528	0.211155	0.0151217	0.196349	0.297495	0.134351	0.306815	0.196041	0.21479	0.282353	0.97058	0.000784454	2.2706
30	-5126.56	-5111.45	-15.1133	0.204774	0.24107	0.0239257	0.115304	0.276001	0.138926	0.307364	0.216363	0.189497	0.286777	0.664181	0.00266524	3.65204
40	-5125.31	-5118.92	-6.3922	0.184062	0.199565	0.0198806	0.114152	0.342022	0.140318	0.307279	0.194965	0.199318	0.298438	0.764578	4.47945e-05	2.77993
50	-5116.94	-5113.62	-3.32302	0.174061	0.235113	0.0188004	0.145085	0.279536	0.147405	0.313566	0.201674	0.197704	0.287056	0.997326	0.014522	2.47301
60	-5112.88	-5120.01	7.12758	0.171916	0.230223	0.026196	0.142067	0.312474	0.117124	0.300936	0.208223	0.2033	0.287541	1.35161	0.00170297	1.42795
70	-5109.63	-5111.79	2.16654	0.149392	0.275828	0.0227639	0.123454	0.268917	0.159645	0.297191	0.214182	0.195555	0.293072	1.10873	0.00280294	1.92405
80	-5116.82	-5112.98	-3.83373	0.144989	0.270618	0.00978917	0.223487	0.210198	0.140918	0.302099	0.201205	0.198784	0.297912	0.774437	0.000987468	2.52408
90	-5121.21	-5113.7	-7.50832	0.11288	0.220096	0.0420842	0.227875	0.265867	0.131198	0.312861	0.194273	0.199815	0.293051	0.664338	0.000362695	2.89154
100	-5113.54	-5108.72	-4.82606	0.146957	0.236762	0.0102177	0.228185	0.286	0.0918777	0.306991	0.199459	0.199205	0.294345	0.842258	0.00459248	2.62331
110	-5107.95	-5107.06	-0.888986	0.166796	0.235877	0.0197764	0.118783	0.298424	0.160343	0.303704	0.206139	0.202497	0.28766	0.927139	0.0240368	2.22961
120	-5115.09	-5111.91	-3.18161	0.177618	0.198947	0.0187488	0.198469	0.242262	0.163955	0.296218	0.204858	0.201123	0.297801	0.939966	0.00261884	2.45887
130	-5114.11	-5104.54	-9.57141	0.153935	0.239606	0.0157158	0.14852	0.289571	0.152652	0.317215	0.198573	0.196981	0.287231	0.769851	0.00522792	3.09785
140	-5112.74	-5108.42	-4.32176	0.1731	0.249604	0.0142174	0.117444	0.268127	0.177507	0.306839	0.211706	0.196411	0.285044	0.853817	0.00488174	2.57288
150	-5116.94	-5110.98	-5.95988	0.171646	0.199541	0.01317	0.160237	0.344198	0.111208	0.318591	0.19696	0.198028	0.28642	0.859109	0.00696938	2.7367
160	-5104.19	-5107.14	2.95166	0.172507	0.193456	0.0301134	0.176569	0.265944	0.16141	0.298921	0.202581	0.20326	0.295238	1.22876	0.0239874	1.84554
170	-5116.79	-5112.68	-4.10842	0.192677	0.194201	0.0291068	0.167774	0.260228	0.156014	0.310966	0.193131	0.200275	0.295627	0.768373	0.000643296	2.55155
180	-5117.3	-5106.14	-11.1512	0.145675	0.214037	0.0368408	0.177748	0.298849	0.126851	0.316313	0.190533	0.205222	0.287932	0.682468	0.0105696	3.25583
190	-5127.74	-5116.88	-10.8528	0.16832	0.23503	0.0193051	0.197073	0.291768	0.0885043	0.31015	0.197009	0.209748	0.283094	0.707578	0.0177021	3.22598
200	-5118.2	-5101.92	-16.279	0.157891	0.225797	0.0181089	0.184862	0.27369	0.139652	0.308763	0.203539	0.19982	0.287879	0.571688	0.00115352	3.76861
210	-5108.89	-5104.32	-4.56923	0.192201	0.218854	0.016462	0.174059	0.271472	0.126951	0.294372	0.201679	0.2051	0.29885	0.833283	0.00261298	2.59763
220	-5106.61	-5106.09	-0.525698	0.197438	0.219489	0.0192309	0.156941	0.279581	0.127319	0.296736	0.208327	0.199657	0.295279	0.94687	0.000411621	2.19328
230	-5120.74	-5118.83	-1.90823	0.191374	0.21667	0.0178541	0.223821	0.232076	0.118205	0.307478	0.204237	0.201424	0.286861	0.858919	0.000620919	2.33153
240	-5112.61	-5106.2	-6.40456	0.151144	0.221172	0.0141009	0.144101	0.302123	0.167359	0.314639	0.196391	0.197584	0.291385	0.752257	0.0143249	2.78116
250	-5115.35	-5107.33	-8.01824	0.172213	0.205162	0.0163945	0.185947	0.280254	0.14003	0.309401	0.202573	0.199462	0.288563	0.738924	0.0012032	2.94253
260	-5104.71	-5098.79	-5.9153	0.177267	0.20698	0.0233504	0.166009	0.301378	0.125015	0.307517	0.203834	0.192186	0.296463	0.741218	0.000141874	2.73224
270	-5109.56	-5106.39	-3.16966	0.170739	0.237942	0.021739	0.161629	0.264235	0.143716	0.29861	0.220299	0.190814	0.290278	0.948809	0.00165327	2.45767
280	-5106.61	-5106.05	-0.554882	0.190754	0.231375	0.026723	0.160608	0.261835	0.128705	0.309415	0.198926	0.214946	0.276712	1.05685	0.00197927	2.1962
290	-5110.9	-5110.99	0.0900581	0.183417	0.250038	0.0328235	0.169505	0.253849	0.110367	0.284258	0.19928	0.20976	0.306702	1.04162	0.00253655	2.1317
300	-5121.22	-5115.45	-5.76094	0.178026	0.235755	0.0259095	0.203134	0.250054	0.107123	0.316412	0.196434	0.210669	0.276485	0.792762	0.00349685	2.7168
310	-5109.59	-5104.85	-4.7363	0.169545	0.215529	0.028221	0.148606	0.30123	0.136869	0.313923	0.192672	0.204837	0.288569	0.802819	0.000871956	2.61434
320	-5110.38	-5112.17	1.78659	0.162567	0.20406	0.0260473	0.183907	0.297092	0.126327	0.313263	0.183869	0.206093	0.296776	1.1346	0.0145382	1.96205
330	-5113.02	-5113.66	0.635188	0.172544	0.260554	0.0224527	0.138432	0.256093	0.149924	0.325481	0.20631	0.196796	0.271413	0.979735	0.00342425	2.07719
340	-5112.83	-5106.38	-6.45014	0.16476	0.23037	0.0213646	0.18192	0.229809	0.171776	0.303253	0.203767	0.207208	0.285772	0.845069	0.000370013	2.78572
350	-5123.06	-5106.21	-16.8526	0.161016	0.259447	0.0253637	0.15781	0.224586	0.171777	0.300892	0.204525	0.205193	0.289391	0.623824	0.00379784	3.82597
360	-5121.08	-5104.91	-16.1697	0.156249	0.223163	0.0174826	0.194288	0.280501	0.128317	0.310662	0.199514	0.205951	0.283873	0.595075	0.0125585	3.75768
370	-5121.47	-5111.25	-10.2162	0.163254	0.252954	0.0167269	0.192907	0.246753	0.127405	0.316427	0.201747	0.192907	0.28892	0.706258	0.0055285	3.16233
380	-5117.15	-5109.96	-7.18649	0.143202	0.248426	0.0282371	0.154803	0.239974	0.185357	0.307987	0.203369	0.189733	0.29891	0.720807	0.00369973	2.85936
390	-5114.58	-5107.34	-7.24181	0.174363	0.227964	0.0259114	0.21716	0.247691	0.10691	0.311227	0.19523	0.208989	0.284554	0.782937	0.0192464	2.86489
400	-5109.04	-5104.44	-4.601	0.147472	0.182902	0.0233317	0.231856	0.29289	0.121547	0.309682	0.199024	0.196266	0.295028	0.823664	0.00604184	2.60081
410	-5123.23	-5114.28	-8.94626	0.135341	0.235376	0.0203813	0.176611	0.326114	0.106177	0.319604	0.192267	0.200288	0.287841	0.699384	0.00116196	3.03533
420	-5124	-5109.31	-14.6908	0.157315	0.210717	0.018246	0.166696	0.31696	0.130066	0.31909	0.189449	0.207752	0.283709	0.577273	0.00727153	3.60979
430	-5111.85	-5105.48	-6.36827	0.162243	0.226127	0.0192306	0.161531	0.288998	0.141872	0.301814	0.209565	0.192861	0.29576	0.739122	0.00806766	2.77753
