Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	alpha	pinvar	TL
350	-5104.59	-5107.3	2.70644	0.156432	0.210017	0.0605224	0.101055	0.321599	0.150374	0.298941	0.206838	0.210113	0.284108	0.254273	0.00402654	1.87006
360	-5113.56	-5113.63	0.0710102	0.150583	0.226498	0.0582595	0.0751562	0.344752	0.144751	0.308908	0.213734	0.199094	0.278264	0.252233	0.0074134	2.13361
370	-5113.1	-5113.58	0.485059	0.12261	0.202771	0.0508322	0.196689	0.300801	0.126297	0.308006	0.21311	0.202388	0.276495	0.261974	0.0158556	2.0922
380	-5104.23	-5107.34	3.10988	0.125388	0.207366	0.02932	0.201147	0.307618	0.12916	0.30036	0.20782	0.197364	0.294457	0.288576	0.0117888	1.82972
390	-5103.85	-5106.19	2.33366	0.125388	0.207366	0.02932	0.201147	0.307618	0.12916	0.312446	0.209358	0.198601	0.279596	0.241472	0.00323233	1.90734
400	-5102.24	-5100.68	-1.55946	0.190524	0.191923	0.0271365	0.186167	0.284709	0.119541	0.305549	0.207233	0.196586	0.290632	0.237683	0.015616	2.29665
410	-5111.73	-5105.68	-6.04891	0.190534	0.192365	0.027199	0.184721	0.285365	0.119816	0.307596	0.208208	0.197903	0.286293	0.193798	0.000904504	2.7456
420	-5112.93	-5111.81	-1.11458	0.195	0.196874	0.0278365	0.189051	0.292053	0.0991863	0.306895	0.208419	0.198103	0.286583	0.206869	0.00883252	2.25217
430	-5114.83	-5108.18	-6.64804	0.195	0.196874	0.0278365	0.189051	0.292053	0.0991863	0.317089	0.197585	0.200844	0.284482	0.20657	0.000935963	2.80551
440	-5105.67	-5105.54	-0.130193	0.18485	0.185036	0.0261626	0.196523	0.314206	0.0932222	0.317089	0.197585	0.200844	0.284482	0.228024	0.00124901	2.15373
450	-5106.48	-5104.82	-1.66172	0.16673	0.209633	0.0235981	0.136013	0.283407	0.180618	0.30053	0.200824	0.204136	0.294511	0.231361	0.0117413	2.30688
460	-5097.96	-5096.04	-1.92287	0.170227	0.208754	0.0234991	0.135442	0.282218	0.17986	0.309485	0.198253	0.201522	0.29074	0.22492	0.00095887	2.33299
470	-5111.47	-5106.86	-4.60576	0.172266	0.199275	0.0237806	0.137065	0.285599	0.182015	0.309485	0.198253	0.201522	0.29074	0.171781	0.00333594	2.60128
480	-5113.66	-5101	-12.66	0.140651	0.206886	0.0246889	0.1423	0.296507	0.188967	0.313561	0.200864	0.202173	0.283403	0.147767	0.0116339	3.40671
490	-5114.61	-5105.56	-9.04939	0.140651	0.206886	0.0246889	0.1423	0.296507	0.188967	0.313561	0.200864	0.202173	0.283403	0.16604	0.00225575	3.04565
500	-5116.86	-5105.74	-11.1151	0.143346	0.21085	0.0251619	0.125867	0.302188	0.192588	0.318659	0.198838	0.196237	0.286265	0.174168	0.00790077	3.25222
510	-5119.75	-5108.55	-11.1961	0.116201	0.268223	0.0284841	0.119063	0.285852	0.182177	0.289432	0.206853	0.20591	0.297805	0.166912	0.0145297	3.26031
520	-5108.09	-5099.59	-8.50207	0.206523	0.200185	0.0212587	0.16879	0.248073	0.15517	0.327368	0.19581	0.194917	0.281905	0.181494	0.000397597	2.99091
530	-5112.09	-5105.4	-6.68861	0.181487	0.221307	0.0235018	0.127913	0.274248	0.171543	0.308601	0.193683	0.1928	0.304916	0.172253	0.00432709	2.80957
540	-5112.96	-5111.55	-1.41583	0.13151	0.234819	0.0249368	0.135723	0.290994	0.182017	0.318625	0.199974	0.199062	0.282339	0.188539	0.0016255	2.28229
550	-5108.29	-5103.55	-4.73847	0.120599	0.215338	0.0228679	0.200875	0.328869	0.111451	0.310261	0.217313	0.194412	0.278014	0.207913	0.00166938	2.61455
560	-5106.46	-5104.71	-1.75145	0.133165	0.237774	0.0252505	0.221804	0.241578	0.140429	0.296144	0.207425	0.201488	0.294943	0.224974	0.0150979	2.31585
570	-5099.44	-5098.45	-0.980786	0.140162	0.250267	0.0265773	0.180914	0.254272	0.147808	0.307594	0.20307	0.209279	0.280057	0.230722	0.00514452	2.23879
580	-5103.98	-5099.82	-4.1598	0.136106	0.243026	0.0154277	0.175679	0.322105	0.107656	0.315781	0.20755	0.189158	0.287511	0.213903	0.00514452	2.55669
590	-5101.19	-5096.06	-5.13066	0.175845	0.20534	0.016679	0.189929	0.271823	0.140384	0.316866	0.193011	0.201623	0.288499	0.19745	0.00408656	2.65377
600	-5115.67	-5113.24	-2.42666	0.105821	0.245018	0.0174969	0.199243	0.285153	0.147268	0.324523	0.197675	0.206495	0.271308	0.213164	0.0116803	2.38337
610	-5109.78	-5103.92	-5.85979	0.101315	0.23386	0.0128583	0.205647	0.294319	0.152002	0.307042	0.205005	0.2033	0.284653	0.179715	0.000616583	2.72669
620	-5111.51	-5103.76	-7.74809	0.154136	0.220114	0.0121025	0.19356	0.27702	0.143068	0.297002	0.207271	0.205547	0.290179	0.190027	0.000889182	2.91552
630	-5110.61	-5103.38	-7.22805	0.160431	0.229104	0.0125968	0.160624	0.288334	0.148911	0.311522	0.209367	0.193149	0.285962	0.191224	0.000368854	2.86351
640	-5109.06	-5102.12	-6.93838	0.160431	0.229104	0.0125968	0.160624	0.288334	0.148911	0.310827	0.211132	0.192718	0.285323	0.212021	0.0024911	2.83455
650	-5099.35	-5098.36	-0.994558	0.195502	0.240892	0.0132449	0.149135	0.279343	0.121883	0.316275	0.203113	0.196096	0.284516	0.230375	0.00240082	2.24016
660	-5105.11	-5104.07	-1.0479	0.185629	0.228726	0.012576	0.181869	0.265235	0.125965	0.300285	0.207127	0.200815	0.291772	0.235055	0.00240082	2.2455
670	-5106.38	-5100.76	-5.61939	0.179578	0.221271	0.0121661	0.175941	0.25659	0.154453	0.312637	0.211718	0.193908	0.281737	0.204146	0.00148219	2.70265
680	-5107.69	-5106.12	-1.56914	0.186703	0.230049	0.0119283	0.143969	0.26677	0.160581	0.308483	0.208905	0.204619	0.277993	0.232917	0.00308077	2.29762
690	-5102.36	-5105.32	2.96658	0.200537	0.221313	0.0114754	0.138502	0.273689	0.154483	0.310219	0.210081	0.200143	0.279557	0.290699	0.000531824	1.84405
700	-5107.04	-5110.04	2.99166	0.194565	0.222967	0.0115611	0.139537	0.275734	0.155637	0.305985	0.218171	0.197411	0.278433	0.279605	0.0145185	1.84154
710	-5097.76	-5101.35	3.58879	0.180537	0.248041	0.0107275	0.160428	0.255853	0.144415	0.311329	0.212643	0.204651	0.271377	0.285502	0.00756265	1.78183
720	-5109.39	-5109.82	0.435857	0.176868	0.244941	0.0105934	0.172332	0.252655	0.14261	0.316847	0.216412	0.190554	0.276187	0.239238	0.00476429	2.09712
730	-5108.76	-5106.19	-2.57434	0.165566	0.229288	0.00991648	0.161319	0.300414	0.133497	0.316847	0.216412	0.190554	0.276187	0.234802	0.00476429	2.39814
