Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	alpha	pinvar	TL
0	-5111.55	-5125.75	14.1999	0.17178	0.193193	0.0283238	0.194453	0.278011	0.134239	0.311724	0.206567	0.189021	0.292687	5.88628	0.0135719	1.15748
10	-5117.05	-5119.7	2.64565	0.17089	0.18344	0.0268938	0.174806	0.331053	0.112917	0.311355	0.194276	0.200639	0.29373	4.13499	0.00148264	1.73519
20	-5104.79	-5112.15	7.35584	0.184586	0.231708	0.0236662	0.163683	0.291192	0.105164	0.319309	0.202569	0.202778	0.275344	4.54755	0.00148264	1.49968
30	-5123.42	-5120.37	-3.05013	0.166908	0.177949	0.0316287	0.184934	0.283936	0.154644	0.316571	0.202327	0.206678	0.274423	3.54977	0.00857354	2.01998
40	-5105.14	-5111.37	6.22782	0.177172	0.220115	0.0232436	0.194873	0.251343	0.133253	0.304935	0.19732	0.209767	0.287978	3.96334	0.00857354	1.55608
50	-5094.82	-5109.3	14.4856	0.180125	0.212147	0.0236311	0.178914	0.252441	0.152742	0.310092	0.214879	0.193055	0.281974	6.01833	0.000480133	1.1432
60	-5104.81	-5114.61	9.80081	0.169632	0.199787	0.0337035	0.169061	0.237734	0.190082	0.305796	0.206212	0.195457	0.292535	5.56093	0.00396238	1.37743
70	-5117.31	-5126.48	9.17063	0.157472	0.210866	0.0300115	0.167534	0.264857	0.16926	0.318558	0.185731	0.205755	0.289956	4.24631	0.0228626	1.40894
80	-5107.38	-5113.74	6.35877	0.131984	0.221792	0.0314153	0.206144	0.258492	0.150174	0.325012	0.20023	0.199219	0.27554	4.66162	0.00275373	1.54953
90	-5106.51	-5117.92	11.4038	0.172425	0.202546	0.0278574	0.16207	0.267531	0.167571	0.313149	0.195463	0.198777	0.292612	5.41819	0.000827696	1.29728
100	-5108.55	-5117.85	9.30309	0.158053	0.220865	0.0260864	0.18012	0.277248	0.137626	0.312349	0.194109	0.19716	0.296382	4.21224	5.97832e-06	1.40232
110	-5118.98	-5118.35	-0.628506	0.193624	0.171791	0.0253249	0.151098	0.253575	0.204587	0.325378	0.19528	0.20848	0.270861	3.33689	0.00215794	1.8989
120	-5108.48	-5119.13	10.648	0.175986	0.276786	0.0250654	0.14955	0.260694	0.11192	0.302987	0.214582	0.202431	0.28	5.00087	0.00527555	1.33507
130	-5108.55	-5122.36	13.807	0.102741	0.222227	0.0232013	0.209152	0.323358	0.11932	0.325641	0.208201	0.196412	0.269746	5.49318	0.00169616	1.17712
140	-5095.94	-5112.25	16.3045	0.146005	0.197738	0.033477	0.19369	0.261385	0.167705	0.320667	0.204271	0.193041	0.282021	6.35034	0.00337774	1.05225
150	-5100.31	-5116.52	16.2042	0.12231	0.210612	0.0202908	0.227044	0.27409	0.145653	0.318996	0.197964	0.197846	0.285194	6.52078	0.00491449	1.05727
160	-5093.91	-5106.57	12.6617	0.157566	0.200826	0.0292019	0.198125	0.282908	0.131373	0.314557	0.206106	0.194962	0.284375	5.2626	0.00132407	1.23439
170	-5105.64	-5120.48	14.8437	0.151309	0.204896	0.0280422	0.160009	0.31804	0.137705	0.29229	0.199522	0.214602	0.293586	5.58313	0.0219337	1.12529
180	-5098.57	-5116.24	17.663	0.148717	0.204697	0.0275619	0.192366	0.317692	0.108966	0.320069	0.191324	0.206333	0.282274	6.65237	0.00210981	0.984322
190	-5096.34	-5114.35	18.0053	0.157657	0.213749	0.0292186	0.180709	0.283139	0.135528	0.307598	0.200777	0.200686	0.29094	6.85925	0.0117173	0.967209
200	-5112.41	-5116.78	4.37168	0.185808	0.22829	0.0136879	0.16213	0.280987	0.129098	0.314865	0.199223	0.195817	0.290095	4.45935	0.0162004	1.64889
210	-5111.67	-5119.98	8.30447	0.164161	0.182169	0.013168	0.206518	0.293134	0.140849	0.30647	0.197391	0.206823	0.289316	4.93841	0.0340852	1.45225
220	-5118.11	-5124.52	6.40969	0.187986	0.169512	0.0437445	0.192169	0.259861	0.146728	0.307644	0.21337	0.200476	0.27851	4.60529	0.000783286	1.54699
230	-5095.65	-5109.41	13.7614	0.153554	0.187332	0.0294825	0.211924	0.287179	0.130528	0.315153	0.198562	0.201526	0.284759	6.08178	0.000333584	1.1794
240	-5105.86	-5117.88	12.0175	0.177104	0.216062	0.034004	0.161844	0.27402	0.136967	0.292922	0.199036	0.205794	0.302248	5.41067	0.00130589	1.2666
250	-5101.72	-5115.63	13.917	0.172836	0.196136	0.0352685	0.16619	0.295903	0.133666	0.315656	0.200368	0.199386	0.28459	5.78203	0.00305276	1.17162
260	-5104.43	-5119.47	15.0394	0.184112	0.193242	0.0274837	0.148106	0.315208	0.131847	0.305633	0.194006	0.217961	0.2824	5.93215	0.00714917	1.1155
270	-5097.43	-5115.79	18.3564	0.18132	0.23015	0.0270668	0.110103	0.310427	0.140934	0.303258	0.20779	0.201626	0.287325	7.41916	0.000654293	0.949655
280	-5096.69	-5113.87	17.1856	0.16309	0.232004	0.025168	0.189426	0.23648	0.153831	0.302126	0.2178	0.197456	0.282618	7.21927	0.00894921	1.00819
290	-5093.84	-5112.8	18.9575	0.150609	0.201344	0.0469874	0.206766	0.252235	0.142058	0.306721	0.206161	0.194125	0.292992	7.26529	0.00498133	0.919598
300	-5095.86	-5118.89	23.0308	0.171714	0.214544	0.0369705	0.19448	0.234547	0.147744	0.313707	0.199172	0.193119	0.294001	8.84106	0.0108228	0.715931
310	-5092.33	-5112.96	20.6274	0.141039	0.243831	0.0309835	0.162986	0.27132	0.14984	0.304927	0.212284	0.200472	0.282318	7.11571	3.51335e-05	0.836101
320	-5105.79	-5115.98	10.1916	0.133991	0.193033	0.0245285	0.185308	0.286306	0.176833	0.328099	0.203812	0.197037	0.271052	5.14704	0.00240291	1.35789
330	-5098.96	-5114.62	15.6553	0.180171	0.181223	0.0225324	0.162043	0.291589	0.162442	0.316195	0.2068	0.201981	0.275024	5.29375	0.0105564	1.08471
340	-5093.87	-5109.17	15.3057	0.161728	0.217664	0.0213322	0.161071	0.292857	0.145348	0.296139	0.209786	0.209209	0.284866	6.33319	0.00830767	1.10219
350	-5100.37	-5119.32	18.9579	0.172983	0.211486	0.0393653	0.211396	0.241824	0.122946	0.312206	0.206712	0.199066	0.282017	7.35546	0.0020798	0.919577
360	-5100.43	-5111.92	11.4888	0.153933	0.241283	0.029843	0.133817	0.283284	0.15784	0.295954	0.206562	0.205206	0.292277	5.3703	0.000275055	1.29303
370	-5114.7	-5128.56	13.8601	0.188964	0.22896	0.0317062	0.160305	0.277971	0.112093	0.304457	0.200871	0.207926	0.286746	5.78913	0.00815767	1.17447
380	-5099.22	-5114.82	15.5996	0.184557	0.202304	0.0271344	0.154201	0.299322	0.132481	0.303214	0.184992	0.215245	0.29655	6.19023	0.00128211	1.0875
390	-5115.66	-5127.02	11.3615	0.107492	0.271319	0.0252331	0.159784	0.320271	0.115901	0.294184	0.199491	0.206649	0.299676	5.15027	0.0073967	1.2994
400	-5106.61	-5122.45	15.8452	0.133649	0.214574	0.0250423	0.167227	0.311607	0.1479	0.319022	0.202068	0.207189	0.271721	6.08644	0.00674928	1.07522
410	-5097.19	-5117.04	19.8478	0.170384	0.255564	0.0241685	0.120208	0.286936	0.14274	0.310506	0.201031	0.195809	0.292654	8.60884	0.0286009	0.875081
420	-5102.03	-5123.06	21.0249	0.18059	0.222084	0.0320011	0.130363	0.273358	0.161604	0.30743	0.205335	0.186271	0.300964	8.22066	0.0041651	0.816228
430	-5099.29	-5121.14	21.8519	0.166014	0.178089	0.0373698	0.211694	0.254436	0.152397	0.311605	0.20994	0.194347	0.284107	9.43913	0.00615427	0.774879
440	-5102.21	-5121.77	19.5644	0.159907	0.171506	0.0364708	0.207194	0.277363	0.147559	0.310115	0.190929	0.200171	0.298785	8.46362	0.000376912	0.889252
450	-5093.91	-5111.46	17.5534	0.147987	0.209738	0.0298824	0.18943	0.302797	0.120166	0.303812	0.208449	0.19777	0.289969	6.75364	0.0035887	0.989805
460	-5097.46	-5116.88	19.4245	0.173501	0.188584	0.0300306	0.178329	0.308794	0.120762	0.314482	0.186628	0.213043	0.285848	7.46936	0.00477205	0.89625
470	-5096.43	-5116.33	19.8986	0.178929	0.186464	0.0296931	0.176325	0.299409	0.12918	0.306907	0.211357	0.198546	0.28319	8.16945	0.0155506	0.872545
