Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	alpha	pinvar	TL
0	-9946.98	-9944.66	-2.32657	0.0813258	0.190659	0.509235	0.145555	0.0246872	0.0485375	0.291678	0.297196	0.39052	0.0206055	22.831	0.300808	2.37336
10	-5578.8	-5578.02	-0.780863	0.122784	0.248341	0.0413768	0.145965	0.17734	0.264194	0.239757	0.244293	0.206618	0.309332	2.58407	0.46653	2.21879
20	-5387.55	-5393.63	6.0752	0.166736	0.17844	0.0297305	0.10488	0.313172	0.207041	0.24536	0.226633	0.211446	0.316561	2.58407	0.0470612	1.53319
30	-5311.91	-5317.16	5.24874	0.144532	0.24554	0.0257712	0.0909132	0.271467	0.221777	0.24536	0.226633	0.211446	0.316561	2.58407	0.00817092	1.61583
40	-5272.81	-5278.61	5.80021	0.146783	0.249364	0.0261725	0.0923289	0.275694	0.209658	0.280305	0.222319	0.186841	0.310535	2.58407	0.00756854	1.56069
50	-5262.74	-5270.45	7.71727	0.132946	0.225857	0.0237053	0.177892	0.249705	0.189894	0.297609	0.236043	0.198375	0.267973	2.58407	0.00273438	1.36898
60	-5263.44	-5270.26	6.81568	0.131327	0.223107	0.0234167	0.190806	0.24302	0.188324	0.297609	0.236043	0.198375	0.267973	2.58407	0.00102212	1.45914
70	-5264.84	-5270.82	5.98588	0.137586	0.23374	0.0245327	0.152239	0.254603	0.197299	0.297609	0.236043	0.198375	0.267973	2.58407	0.00264737	1.54212
80	-5258.17	-5265.63	7.46559	0.137586	0.23374	0.0245327	0.152239	0.254603	0.197299	0.297609	0.236043	0.198375	0.267973	2.58407	0.00540658	1.39415
90	-5239.85	-5247.7	7.85038	0.137586	0.23374	0.0245327	0.152239	0.254603	0.197299	0.297609	0.236043	0.198375	0.267973	2.58407	0.011193	1.35567
100	-5214.75	-5222.04	7.28897	0.137586	0.23374	0.0245327	0.152239	0.254603	0.197299	0.29568	0.234513	0.203572	0.266236	2.58407	0.0137432	1.41181
110	-5187.73	-5194.67	6.93208	0.137586	0.23374	0.0245327	0.152239	0.254603	0.197299	0.31663	0.227537	0.197516	0.258316	2.58407	0.00297121	1.4475
120	-5165.11	-5173.88	8.76581	0.132031	0.224302	0.0235421	0.146092	0.284701	0.189333	0.31663	0.227537	0.197516	0.258316	2.58407	0.00664274	1.26413
130	-5161.29	-5168.64	7.35066	0.142945	0.242845	0.0254883	0.158169	0.308236	0.122316	0.31663	0.227537	0.197516	0.258316	2.58407	0.00426302	1.40564
140	-5168.71	-5175.83	7.11433	0.144483	0.245457	0.0257624	0.15987	0.300796	0.123632	0.31663	0.227537	0.197516	0.258316	2.58407	0.0204403	1.42927
150	-5146.03	-5153.65	7.6202	0.144483	0.245457	0.0257624	0.15987	0.300796	0.123632	0.31663	0.227537	0.197516	0.258316	2.63578	0.000487477	1.37869
160	-5151.12	-5158.36	7.23932	0.139159	0.236412	0.0248132	0.15398	0.289713	0.155923	0.31663	0.227537	0.197516	0.258316	2.63578	0.00325833	1.41678
170	-5113.38	-5121.13	7.74221	0.139159	0.236412	0.0248132	0.15398	0.289713	0.155923	0.31663	0.227537	0.197516	0.258316	2.63578	7.82214e-05	1.36649
180	-5117.16	-5123.2	6.03521	0.139159	0.236412	0.0248132	0.15398	0.289713	0.155923	0.309521	0.222429	0.208986	0.259064	2.42154	0.00510658	1.53719
190	-5109.84	-5117.86	8.02697	0.13848	0.235259	0.0295702	0.153229	0.2883	0.155162	0.309521	0.222429	0.208986	0.259064	2.44749	0.0021906	1.33801
200	-5113.97	-5119.99	6.02127	0.136437	0.235817	0.0296403	0.153592	0.288983	0.15553	0.309521	0.222429	0.208986	0.259064	2.44749	0.00738901	1.53858
210	-5115.12	-5121.76	6.64054	0.143805	0.248552	0.031241	0.161886	0.250586	0.163929	0.309521	0.222429	0.208986	0.259064	2.44749	0.0109412	1.47665
220	-5117.32	-5121.89	4.57378	0.143805	0.248552	0.031241	0.161886	0.250586	0.163929	0.319874	0.196421	0.215976	0.267729	1.97868	0.0109412	1.68333
