Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	alpha	pinvar	TL
0	-10938.6	-10935.6	-2.99872	0.0166592	0.127684	0.574287	0.196973	0.0370644	0.0473319	0.0038279	0.6832	0.255026	0.057946	13.8733	0.854324	2.44058
10	-10576.3	-10574.3	-1.99822	0.0166592	0.127684	0.574287	0.196973	0.0370644	0.0473319	0.0038279	0.6832	0.255026	0.057946	1.42268	0.715241	2.34053
20	-10338.7	-10337.1	-1.61888	0.0166592	0.127684	0.574287	0.196973	0.0370644	0.0473319	0.0038279	0.6832	0.255026	0.057946	1.42268	0.139638	2.3026
30	-10322.8	-10322	-0.851798	0.0166592	0.127684	0.574287	0.196973	0.0370644	0.0473319	0.00420135	0.749854	0.182346	0.0635993	1.42268	0.139638	2.22589
40	-10199.6	-10198.1	-1.53652	0.0166592	0.127684	0.574287	0.196973	0.0370644	0.0473319	0.00420135	0.749854	0.182346	0.0635993	1.42268	0.139638	2.29436
50	-10186.9	-10186	-0.944405	0.0166592	0.127684	0.574287	0.196973	0.0370644	0.0473319	0.00420135	0.749854	0.182346	0.0635993	1.42268	0.139638	2.23515
60	-10184.1	-10183.1	-0.921372	0.0166592	0.127684	0.574287	0.196973	0.0370644	0.0473319	0.00420135	0.749854	0.182346	0.0635993	1.42268	0.139638	2.23284
70	-10119.3	-10118	-1.25895	0.0166592	0.127684	0.574287	0.196973	0.0370644	0.0473319	0.00420135	0.749854	0.182346	0.0635993	1.42268	0.139638	2.2666
80	-10080.9	-10080.1	-0.812733	0.0166592	0.127684	0.574287	0.196973	0.0370644	0.0473319	0.00420135	0.749854	0.182346	0.0635993	0.695316	0.139638	2.22198
90	-10068.9	-10069.7	0.849783	0.0166592	0.127684	0.574287	0.196973	0.0370644	0.0473319	0.00420135	0.749854	0.182346	0.0635993	0.695316	0.139638	2.05573
100	-10032.4	-10033.9	1.53291	0.0166592	0.127684	0.574287	0.196973	0.0370644	0.0473319	0.00420135	0.749854	0.182346	0.0635993	0.695316	0.00388276	1.98742
110	-10026.3	-10028.6	2.31769	0.0166592	0.127684	0.574287	0.196973	0.0370644	0.0473319	0.00420135	0.749854	0.182346	0.0635993	0.695316	0.00388276	1.90894
120	-9861.14	-9864.06	2.92407	0.0166592	0.127684	0.574287	0.196973	0.0370644	0.0473319	0.00222437	0.397004	0.0965415	0.50423	0.695316	0.00388276	1.8483
130	-9849.22	-9852.63	3.40317	0.0166592	0.127684	0.574287	0.196973	0.0370644	0.0473319	0.00222437	0.397004	0.0965415	0.50423	0.695316	0.0093686	1.80039
140	-6510.35	-6513.65	3.29717	0.0166592	0.127684	0.574287	0.196973	0.0370644	0.0473319	0.44492	0.22086	0.0537077	0.280512	0.695316	0.0093686	1.81099
150	-6189.59	-6193.36	3.76473	0.0297804	0.228252	0.238986	0.352113	0.0662573	0.0846117	0.44492	0.22086	0.0537077	0.280512	0.695316	0.000924424	1.76423
160	-6186.68	-6190.73	4.04728	0.0297804	0.228252	0.238986	0.352113	0.0662573	0.0846117	0.44492	0.22086	0.0537077	0.280512	0.695316	0.000924424	1.73598
170	-5828.45	-5833.1	4.65043	0.0297804	0.228252	0.238986	0.352113	0.0662573	0.0846117	0.379734	0.188501	0.192352	0.239413	0.695316	0.000563415	1.67566
180	-5795.48	-5799.89	4.40723	0.29544	0.165753	0.173548	0.2557	0.0481151	0.0614438	0.379734	0.188501	0.192352	0.239413	0.695316	0.000563415	1.69998
190	-5796.21	-5800.71	4.4973	0.29544	0.165753	0.173548	0.2557	0.0481151	0.0614438	0.379734	0.188501	0.192352	0.239413	0.695316	0.00178932	1.69098
200	-5794.69	-5799.11	4.41815	0.29544	0.165753	0.173548	0.2557	0.0481151	0.0614438	0.379734	0.188501	0.192352	0.239413	0.695316	0.00178932	1.69889
210	-5793.45	-5797.78	4.32847	0.29544	0.165753	0.173548	0.2557	0.0481151	0.0614438	0.379734	0.188501	0.192352	0.239413	0.695316	0.00178932	1.70786
220	-5770.6	-5774.83	4.22455	0.29544	0.165753	0.173548	0.2557	0.0481151	0.0614438	0.379734	0.188501	0.192352	0.239413	0.695316	0.00178932	1.71825
230	-5700.39	-5702.82	2.43102	0.29544	0.165753	0.173548	0.2557	0.0481151	0.0614438	0.379734	0.188501	0.192352	0.239413	0.695316	0.00178932	1.89761
240	-5671.3	-5673.64	2.3462	0.29544	0.165753	0.173548	0.2557	0.0481151	0.0614438	0.348984	0.197846	0.201888	0.251282	0.695316	0.00178932	1.90609
250	-5665.14	-5667.61	2.46663	0.22184	0.12446	0.130313	0.191999	0.0361285	0.295259	0.348984	0.197846	0.201888	0.251282	0.695316	0.00178932	1.89404
260	-5667.6	-5669.76	2.16044	0.209408	0.117486	0.123011	0.237278	0.034104	0.278713	0.348984	0.197846	0.201888	0.251282	0.695316	0.000100662	1.92466
270	-5660.53	-5662.4	1.86917	0.209408	0.117486	0.123011	0.237278	0.034104	0.278713	0.348984	0.197846	0.201888	0.251282	0.695316	0.000100662	1.95379
280	-5504.73	-5507.37	2.64791	0.137989	0.0774169	0.0810576	0.156354	0.363526	0.183657	0.348984	0.197846	0.201888	0.251282	0.695316	0.000100662	1.87592
290	-5487.29	-5490.1	2.81225	0.137989	0.0774169	0.0810576	0.156354	0.363526	0.183657	0.348984	0.197846	0.201888	0.251282	0.695316	0.000100662	1.85948
300	-5492.49	-5494.77	2.27929	0.137989	0.0774169	0.0810576	0.156354	0.363526	0.183657	0.348984	0.197846	0.201888	0.251282	0.695316	0.00196582	1.91278
310	-5497.4	-5499.25	1.8534	0.194046	0.0723824	0.0757864	0.146186	0.339886	0.171714	0.348984	0.197846	0.201888	0.251282	0.695316	0.000222176	1.95537
320	-5495.06	-5497.17	2.11544	0.194046	0.0723824	0.0757864	0.146186	0.339886	0.171714	0.348984	0.197846	0.201888	0.251282	0.695316	0.000222176	1.92916
330	-5494.36	-5496.53	2.16417	0.194046	0.0723824	0.0757864	0.146186	0.339886	0.171714	0.348984	0.197846	0.201888	0.251282	0.695316	0.000222176	1.92429
340	-5429	-5426.89	-2.11199	0.194046	0.0723824	0.0757864	0.146186	0.339886	0.171714	0.348984	0.197846	0.201888	0.251282	0.695316	0.000222176	2.35191
350	-5430.79	-5429	-1.79678	0.194046	0.0723824	0.0757864	0.146186	0.339886	0.171714	0.348984	0.197846	0.201888	0.251282	0.695316	0.0222313	2.32039
360	-5431.37	-5429.15	-2.22701	0.194046	0.0723824	0.0757864	0.146186	0.339886	0.171714	0.348984	0.197846	0.201888	0.251282	0.695316	0.0222313	2.36341
370	-5431.37	-5429.21	-2.15794	0.194046	0.0723824	0.0757864	0.146186	0.339886	0.171714	0.348984	0.197846	0.201888	0.251282	0.695316	0.0222313	2.3565
380	-5424.35	-5423.14	-1.21581	0.194046	0.0723824	0.0757864	0.146186	0.339886	0.171714	0.348984	0.197846	0.201888	0.251282	0.695316	0.0222313	2.26229
390	-5423.33	-5422.28	-1.05066	0.194046	0.0723824	0.0757864	0.146186	0.339886	0.171714	0.348984	0.197846	0.201888	0.251282	0.695316	0.0222313	2.24577
400	-5421.98	-5421.19	-0.789053	0.194046	0.0723824	0.0757864	0.146186	0.339886	0.171714	0.348984	0.197846	0.201888	0.251282	0.695316	0.0222313	2.21961
410	-5421.5	-5420.61	-0.88938	0.194046	0.0723824	0.0757864	0.146186	0.339886	0.171714	0.348984	0.197846	0.201888	0.251282	0.695316	0.0222313	2.22965
420	-5380.39	-5372.68	-7.7091	0.194046	0.0723824	0.0757864	0.146186	0.339886	0.171714	0.348984	0.197846	0.201888	0.251282	0.695316	0.0222313	2.91162
430	-5380.41	-5373.04	-7.36794	0.194046	0.0723824	0.0757864	0.146186	0.339886	0.171714	0.348984	0.197846	0.201888	0.251282	0.695316	0.0222313	2.8775
440	-5373.21	-5358.86	-14.3425	0.194046	0.0723824	0.0757864	0.146186	0.339886	0.171714	0.348984	0.197846	0.201888	0.251282	0.695316	0.000713321	3.57495
450	-5361.2	-5346.79	-14.4117	0.194046	0.0723824	0.0757864	0.146186	0.339886	0.171714	0.348984	0.197846	0.201888	0.251282	0.695316	0.000713321	3.58188
460	-5361.89	-5347.57	-14.311	0.194046	0.0723824	0.0757864	0.146186	0.339886	0.171714	0.348984	0.197846	0.201888	0.251282	0.695316	0.000713321	3.57181
470	-5354.82	-5341.21	-13.6155	0.194046	0.0723824	0.0757864	0.146186	0.339886	0.171714	0.348984	0.197846	0.201888	0.251282	0.695316	0.000713321	3.50226
480	-5360.64	-5346.34	-14.2991	0.194046	0.0723824	0.0757864	0.146186	0.339886	0.171714	0.348984	0.197846	0.201888	0.251282	0.695316	0.0184788	3.57062
490	-5329.77	-5315.73	-14.0354	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.695316	0.0184788	3.54425
500	-5316.74	-5302.28	-14.4594	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.695316	0.00217843	3.58664
510	-5313.02	-5299.54	-13.4843	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.695316	0.00217843	3.48913
520	-5311.56	-5298.16	-13.3915	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.695316	0.00217843	3.47986
530	-5310.55	-5297.54	-13.0186	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.695316	0.00217843	3.44257
540	-5311.26	-5298.16	-13.0924	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.695316	0.00217843	3.44995
550	-5311.49	-5298	-13.4848	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.695316	0.00217843	3.48919
560	-5308.81	-5295.33	-13.4757	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.00144766	3.48828
570	-5307.99	-5294.31	-13.6776	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.00144766	3.50847
580	-5307.58	-5293.42	-14.1657	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.00144766	3.55727
590	-5308.65	-5294.43	-14.2284	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.00144766	3.56355
600	-5309.02	-5294.62	-14.3949	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.00144766	3.5802
610	-5309.04	-5294.98	-14.0623	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.00144766	3.54693
620	-5311.76	-5297.23	-14.5289	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.00144766	3.59359
630	-5304.12	-5289.66	-14.4631	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.00144766	3.58702
640	-5275.03	-5260.76	-14.2729	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.00144766	3.568
650	-5274.14	-5259.9	-14.2428	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.00322262	3.56499
660	-5272.26	-5258.17	-14.095	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.000650454	3.55021
670	-5272.67	-5258.51	-14.1571	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.000650454	3.55642
680	-5268.02	-5253.21	-14.8081	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.000650454	3.62151
690	-5269.33	-5254.2	-15.1323	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.000650454	3.65394
700	-5268.08	-5253.34	-14.7465	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.000650454	3.61536
710	-5268.45	-5253.78	-14.6668	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.000650454	3.60739
720	-5266.49	-5252.55	-13.9343	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.000650454	3.53414
730	-5268.24	-5254.06	-14.1765	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.000650454	3.55836
740	-5268.59	-5254.45	-14.1408	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.000650454	3.55479
750	-5267.28	-5253.13	-14.157	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.000650454	3.55641
760	-5267.11	-5253.35	-13.7538	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.000650454	3.51609
770	-5268.99	-5255.02	-13.9683	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.000650454	3.53754
780	-5270.4	-5255.97	-14.429	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.000650454	3.5836
790	-5269.95	-5255.75	-14.208	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.000650454	3.56151
800	-5270.11	-5256.04	-14.071	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.000568818	3.54781
810	-5254.23	-5240.31	-13.9286	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.000568818	3.53357
820	-5251.41	-5237.88	-13.5224	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.000568818	3.49295
830	-5251.94	-5238.41	-13.5213	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.000568818	3.49284
840	-5252.97	-5238.93	-14.0439	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.000568818	3.54509
850	-5251.64	-5238.09	-13.5443	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.000568818	3.49514
860	-5253.72	-5240.17	-13.5543	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.000568818	3.49614
870	-5253.78	-5240.53	-13.2517	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.000568818	3.46588
880	-5249.94	-5237.07	-12.8761	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.348984	0.197846	0.201888	0.251282	0.620212	0.000568818	3.42832
890	-5241.99	-5228.75	-13.2396	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.338609	0.191965	0.195886	0.27354	0.620212	0.000568818	3.46466
900	-5243.5	-5230.01	-13.4899	0.170412	0.185359	0.0665562	0.128382	0.29849	0.1508	0.338609	0.191965	0.195886	0.27354	0.620212	0.000568818	3.4897
